ss_d,ss_sbclllr_frctn,tss_d,ss_tx_d,crtd_b,ss_rgnsm,dc_d,chmbl_d,td,ss_strn,cll_d,ss_tss,dscrptn,vrnt_d,ss_tp,src_d,rltnshp_tp,cnfdnc_scr,src_ss_d,b_frmt
1,,,,Autocuration,,11087,CHEMBL615117,12052,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,B,1,H,8,,BAO_0000019
2,,,,Autocuration,,684,CHEMBL615118,22226,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,F,1,U,0,,BAO_0000219
3,,,,Autocuration,,15453,CHEMBL615119,22226,,,,,,B,1,U,0,,BAO_0000019
4,,,9913.0,Autocuration,Bos taurus,17841,CHEMBL615120,104729,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,B,1,H,4,,BAO_0000249
5,,,9606.0,Intermediate,Homo sapiens,17430,CHEMBL615121,80001,,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,F,1,N,1,,BAO_0000219
6,,,9606.0,Intermediate,Homo sapiens,17430,CHEMBL615122,80001,,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,F,1,N,1,,BAO_0000219
7,,,10090.0,Intermediate,Mus musculus,13799,CHEMBL615123,80001,,163.0,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,F,1,N,1,,BAO_0000219
8,,,9606.0,Expert,Homo sapiens,17774,CHEMBL615124,80001,,163.0,,In vitro cell cytotoxicity was determined against 143B cell line,,F,1,N,1,,BAO_0000219
9,,,9606.0,Intermediate,Homo sapiens,3801,CHEMBL615125,80001,,163.0,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,F,1,N,1,,BAO_0000219
10,,,9606.0,Intermediate,Homo sapiens,17430,CHEMBL615126,80001,,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,F,1,N,1,,BAO_0000219
11,,,9606.0,Intermediate,Homo sapiens,17430,CHEMBL615127,80001,,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,F,1,N,1,,BAO_0000219
12,,,9606.0,Expert,Homo sapiens,17774,CHEMBL615128,80001,,163.0,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,F,1,N,1,,BAO_0000219
13,,,1280.0,Intermediate,Staphylococcus aureus,11324,CHEMBL857900,50185,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,F,1,N,1,,BAO_0000218
14,,,1280.0,Intermediate,Staphylococcus aureus,11324,CHEMBL615129,50185,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,F,1,N,1,,BAO_0000218
15,,,1280.0,Intermediate,Staphylococcus aureus,11324,CHEMBL615130,50185,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,F,1,N,1,,BAO_0000218
16,,,1280.0,Intermediate,Staphylococcus aureus,11324,CHEMBL615131,50185,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,F,1,N,1,,BAO_0000218
17,,,10116.0,Expert,Rattus norvegicus,11347,CHEMBL884521,100122,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,A,1,D,9,,BAO_0000357
18,,,,Autocuration,,16474,CHEMBL615132,12054,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,B,1,H,8,,BAO_0000357
19,,,,Autocuration,,10091,CHEMBL615133,12054,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,B,1,H,8,,BAO_0000019
20,,,,Autocuration,,16474,CHEMBL615134,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,B,1,H,8,,BAO_0000357
21,,,,Autocuration,,16474,CHEMBL615135,12054,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,B,1,H,8,,BAO_0000357
22,,,,Autocuration,,16474,CHEMBL615136,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,B,1,H,8,,BAO_0000357
23,,,,Autocuration,,16474,CHEMBL615137,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,B,1,H,8,,BAO_0000357
24,,,,Autocuration,,16474,CHEMBL615138,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,B,1,H,8,,BAO_0000357
25,,,,Autocuration,,14352,CHEMBL836324,22226,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,B,1,U,0,,BAO_0000219
26,,,9986.0,Autocuration,Oryctolagus cuniculus,5646,CHEMBL615139,12054,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,B,1,H,8,,BAO_0000357
27,,,9986.0,Autocuration,Oryctolagus cuniculus,5646,CHEMBL615140,12054,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,B,1,H,8,,BAO_0000357
28,,,,Autocuration,,10997,CHEMBL615141,12426,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,B,1,H,8,,BAO_0000219
29,,,3847.0,Autocuration,soya bean,6309,CHEMBL615142,12054,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,B,1,H,8,,BAO_0000357
30,,,3847.0,Autocuration,Glycine max,167,CHEMBL615143,12054,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,B,1,H,8,,BAO_0000357
31,,,3847.0,Autocuration,Glycine max,167,CHEMBL615144,12054,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,B,1,H,8,,BAO_0000357
32,,,3847.0,Autocuration,Glycine max,11087,CHEMBL872867,12054,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,B,1,H,8,,BAO_0000357
33,,,3847.0,Autocuration,Glycine max,11087,CHEMBL615145,12054,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,B,1,H,8,,BAO_0000357
34,,,3847.0,Autocuration,Glycine max,13622,CHEMBL615146,12054,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,B,1,H,8,,BAO_0000357
35,,,3847.0,Autocuration,Glycine max,13622,CHEMBL615147,12054,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,B,1,H,8,,BAO_0000357
36,,,10116.0,Autocuration,Rattus norvegicus,11347,CHEMBL615148,22226,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,A,1,U,0,,BAO_0000019
37,,,562.0,Autocuration,Escherichia coli,5926,CHEMBL615149,22226,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,B,1,U,0,,BAO_0000019
38,,,,Autocuration,,4567,CHEMBL615150,22226,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,B,1,U,0,,BAO_0000019
39,,,,Intermediate,,3782,CHEMBL615151,22222,,,,Dissociation constant towards 16S rRNA construct A,,B,1,M,3,,BAO_0000225
40,,,,Intermediate,,3782,CHEMBL615152,22222,,,,Dissociation constant towards 16S rRNA construct B,,B,1,M,3,,BAO_0000225
41,,,562.0,Expert,Escherichia coli,4466,CHEMBL615153,100263,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,B,1,M,3,,BAO_0000225
42,,,562.0,Expert,Escherichia coli,6592,CHEMBL615154,100263,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,B,1,M,3,,BAO_0000225
43,,,,Autocuration,,898,CHEMBL615155,13053,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,B,1,H,8,,BAO_0000019
