Fiscal year,Organisation class,Organisation type,Trade development (marker),Biodiversity (marker),Continent ID,Fund centre ID,Organisation sub-class,Knowledge for development (marker),Bilateral aid (international marker),Indigenous issues (marker),Amount spent,ICT as a tool for development (marker),Section name,Continent name,Organisation ID,Climate change mitigation (marker),Children issues (marker),CountryRegion percent,Sector percent,Maximum CIDA contribution (project-level),IRTC percent,Climate change adaptation (marker),CountryRegion name,Urban issues (marker),Project number,Status,Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old)
2009/2010,Individual,Canadian Profit Making,0,0,3,4122,CONSULTANT,0,1,0,3932.842,0,Bangladesh Section,Asia,Information not available,0,0,1.0,0.2,8500267.65,0.0,0,Bangladesh,0,A017716001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,3,4122,CONSULTANT,0,1,0,5899.263000000001,0,Bangladesh Section,Asia,Information not available,0,0,1.0,0.3,8500267.65,0.0,0,Bangladesh,0,A017716001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,3,4122,CONSULTANT,0,1,0,9832.105,0,Bangladesh Section,Asia,Information not available,0,0,1.0,0.5,8500267.65,0.0,0,Bangladesh,0,A017716001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4265,FEDERAL,0,1,0,20502.06,0,West Bank Gaza & Palestinian Refugees,Asia,10050,0,0,1.0,1.0,500458.33,0.0,0,West Bank Gaza,0,A018652001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,0,West Bank Gaza,0.0,0.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4216,FEDERAL,0,1,0,14226.985,0,Mali Program Section,Africa,10050,0,0,1.0,0.5,14410076.46,0.0,0,Mali,1,A018893001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4216,FEDERAL,0,1,0,11381.588,0,Mali Program Section,Africa,10050,0,0,1.0,0.4,14410076.46,0.0,0,Mali,1,A018893001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4216,FEDERAL,0,1,0,2845.397,0,Mali Program Section,Africa,10050,0,0,1.0,0.1,14410076.46,0.0,0,Mali,1,A018893001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4124,FEDERAL,0,1,0,142315.2,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,10050,0,0,1.0,0.4,13743220.56,0.0,0,Pakistan,0,A019043001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4124,FEDERAL,0,1,0,142315.2,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,10050,0,0,1.0,0.4,13743220.56,0.0,0,Pakistan,0,A019043001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4124,FEDERAL,0,1,0,71157.6,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,10050,0,0,1.0,0.2,13743220.56,0.0,0,Pakistan,0,A019043001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive
2009/2010,Civil Society,Canadian Profit Making,0,0,1,4439,CONSULTING SERVICES,0,1,0,13163.27,1,Caricom - Adm,America,1000378,0,0,1.0,1.0,3441416.83,0.0,0,Jamaica,0,A019362001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive
