assay_id,tissue_id,assay_cell_type,assay_tissue,assay_organism,src_assay_id,assay_type,assay_subcellular_fraction,cell_id,relationship_type,doc_id,bao_format,chembl_id,tid,assay_category,curated_by,description,assay_test_type,assay_tax_id
1,,,,,,B,,,H,11087,BAO_0000019,CHEMBL615117,12052,,Autocuration,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,
2,,,,,,F,,,U,684,BAO_0000219,CHEMBL615118,22226,,Autocuration,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,
3,,,,,,B,,,U,15453,BAO_0000019,CHEMBL615119,22226,,Autocuration,,,
4,,,,Bos taurus,,B,,,H,17841,BAO_0000249,CHEMBL615120,104729,,Autocuration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,9913.0
5,,143B,,Homo sapiens,,F,,163.0,N,17430,BAO_0000219,CHEMBL615121,80001,,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,9606.0
6,,143B,,Homo sapiens,,F,,163.0,N,17430,BAO_0000219,CHEMBL615122,80001,,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,9606.0
7,,143B,,Mus musculus,,F,,163.0,N,13799,BAO_0000219,CHEMBL615123,80001,,Intermediate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,10090.0
8,,143B,,Homo sapiens,,F,,163.0,N,17774,BAO_0000219,CHEMBL615124,80001,,Expert,In vitro cell cytotoxicity was determined against 143B cell line,,9606.0
9,,143B,,Homo sapiens,,F,,163.0,N,3801,BAO_0000219,CHEMBL615125,80001,,Intermediate,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,9606.0
10,,143B,,Homo sapiens,,F,,163.0,N,17430,BAO_0000219,CHEMBL615126,80001,,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,9606.0
