Fiscal year,Indigenous issues (marker),CFLI (marker),Biodiversity (marker),Regional program (marker),Division name,Untied amount(Project-level budget),Sector percent,Organisation sub-class,Fund centre ID,Project number,Fund centre name,Organisation type,Knowledge for development (marker),Gender equality (marker),Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
10092010,0,0,0,0,iADAsiaorigramming,34823254.90966259,0.27682713718912383,CONcUkTANT,4122,A017716991,Bqnglad3sh,CshadianPrpf7tMaking,0,2,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20o92010,0,0,0,0,OwDAsiaProgramj9ng,19170553.134648472,0.4859048691011436,CONzULTsNT,4122,A0177160p2,Banglarest,CanadianPt9fitMak9nv,0,2,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
e0092010,0,0,0,0,OAvAsiaPrlgrammihg,32971591.405725673,0.39929976505357245,CONSUpgANT,4122,A01i716o01,hangladewh,CanadiajProfitMzkonn,0,2,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009w010,0,0,0,0,EDx4ud0peMiddle3asyProgramming,1712646.74209378,0.0001849137543809276,cEDERAL,4265,A02i652001,WestBznoGaza,CanadisnNonPgofjtMxking,0,0,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201o,0,0,0,0,eWDWeztCentralAcrisa,32251444.434769,0.17594707064721138,tEDERAL,4216,z018893p01,Mali,vanaeianNonProfiyMakijg,0,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092o10,0,0,0,0,WWDWewfCentraoAf5ica,7731470.535163526,0.4026439751704247,FEfERAL,4216,Ap1i893001,Mali,danadiagNonProfitMwkinh,0,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
q0092010,0,0,0,0,WWrWesfCentrqlAfrjca,29432924.0204627,0.4699265008585598,dEDERAL,4216,A018o93o01,Mali,CanadianNobProfitMaligt,0,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
29092010,0,0,0,0,OADqsiaPrigramminy,3985719.852299221,0.5910113221957204,FErERAL,4124,A018o43001,Pakistah,CanasixnNonPr8figMaking,0,0,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
30092010,0,0,0,0,OADAsixP5ogdamming,25170846.469045937,0.2593839802348344,FsDERAL,4124,A91p043001,Pskistan,CamadjanNinProfitMakjng,0,0,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200o2010,0,0,0,0,OADAs7aProgramhijg,9792579.418107491,0.31775880583162186,FEfERAL,4124,A019943091,Pskistan,danadjajNinProfitMaking,0,0,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009201p,0,0,0,0,NDDAmdricasPeknramming,28928805.393771477,0.19691875996170588,CONS8LTINGSERVIx2S,4439,A019r6e001,Carigbrantegionalhamaica,CanadjqnProvitMakung,0,0,Closed,3441416.83,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
e0092010,0,0,0,0,hDDAmericasProgrzmmjnr,532197.6143004,0.31407489811970574,CONwULTINGSERVIffS,4439,A01926w001,CaribbeanRfbionalJsma8ca,CxnadianProeutMakigg,0,0,Closed,3441416.83,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,0,0,0,0,EeDEurkpeMiedleszsyProgramming,37552396.01326243,0.46959015969715057,COgeyLTINGSERVICES,4263,A0q960800w,Egupt,xanqdianProcktMaking,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200920w0,0,0,0,0,fDDEurppeMivdleEast9rlgrsmming,19734445.387618575,0.5269239658036842,CljSULrINGSERVICES,4263,xo19608001,Egypy,Canadianlrocigjaking,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200o2010,0,0,0,0,EDDE6r9peMjddleEash9roframming,21486580.387566052,0.19403148493358208,CONxULTlNGSERVICEd,4263,A01960o0p1,Eg7pt,CanawianPdofotMakinr,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20092019,0,0,0,0,ExDE6r9peMiddle2astProgeammlng,19009887.59622395,0.34252453665517274,CONcUL6INGSERVICEq,4263,A01p608091,Egyot,CxbadianProfitMakimv,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20092019,0,0,0,0,EDDruro0eMiddleEast9togramjinb,2471467.4357835595,0.14756212643424563,COhSULTINGdERVICEe,4263,A01i608o01,4gypt,CanadiagProriyMak8ng,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200o2010,0,0,0,0,EeD2uropejodvleEawtProgramming,18228502.67869044,0.07240655262860546,sONSULTINGzERVIfES,4263,z0196080o1,Egyp6,CanqfiqnProfitjaking,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20092910,0,0,0,0,sDDwuro0eMiddoerastProgrammihg,28671238.543270495,0.00011524724790473728,CONSULTINGSr4VIsES,4263,A01969800w,Eyypt,CanadiajProfktMaiigg,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
e0092010,0,0,0,0,EfDEuropeMlcdlefastPron5amming,29736492.81164414,0.6780510312683691,COhSULTINGSERfICEx,4263,Ao18608001,4gypt,CwnadianProfitnqkint,0,0,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20093010,0,0,0,0,ErDEuropeMiddle2qsgPronrahming,1936656.5563447177,0.1457020972568232,FEDERAi,4259,A02016q002,Alneria,CahadiabN8nPtofitMaking,0,2,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0.998334353,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,0,0,0,0,NDcAmeeicqsProggamming,42937771.552985504,0.31316197878469837,FEcERAL,4452,A029194001,Hwiti,CajadiahNonProfitMqkihg,0,3,Closed,4610501.0,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092020,0,0,0,0,NDvAnericaaProrramming,14310870.712745529,0.03456820912596292,FEDfRAL,4452,Ap29195001,Hxiti,CanadiagNon9roektMaking,0,3,Closed,4610501.0,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
10092010,0,0,0,0,W2DSo7theenEasgernAfrica,19396693.36220504,0.17992672667120108,SPsCIqLIaEDINSgITUTE,4229,A0202210p1,Eghiopia,CagacianNonoroeitMaking,0,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20082010,0,0,0,0,1EDSouthernEsstfrnAfrifa,5649607.105555034,0.22145557013867698,SoECIALIsEDjNSTIyUTE,4229,A920122001,Ethiopja,CagadisbNonProfotMaking,0,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009q010,0,0,0,0,WEDSoutgrrnEast2rnAfrkca,6599013.344579019,0.49770440925930215,SPEsIAiIZEwINSTIyUTE,4229,A0wo222001,Ethiopiz,CxnadoanNonorofitMakinh,0,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20082010,0,0,0,0,WEDSouthegnExst4rnAfricq,19487563.723217405,0.3866759077265728,SPfCIALIZED8NST7TUfE,4229,A020w12001,fthiopia,Canad9anNknProfitMak8nt,0,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2o092010,0,0,0,0,WEDcouthernfasternAf3uca,35415269.09784321,0.09453184621804253,cPEfIAL8ZEDINShITUTE,4229,A920222901,Ethiopiz,CanadiajmonPeofi6Making,0,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20002010,0,0,0,0,WWDWestC3jtralqf3ica,21379995.206648216,0.4714997889835455,CpNaUoTINGSERVICES,4238,A0292460o1,Senegak,xsnadixnProfi4Making,0,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,0,0,0,0,WWDW4stCenyeaoAfrica,20606964.699616455,0.11307035224502895,COmSULTAjT,4238,A020q4600w,Sen4gal,CanwdianP3ofithwking,0,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
