cell_id,bao_format,assay_subcellular_fraction,assay_test_type,doc_id,variant_id,tissue_id,assay_strain,assay_cell_type,confidence_score,assay_id,assay_category,description,curated_by,assay_organism,src_id,assay_tax_id,src_assay_id,assay_tissue,tid,assay_type,relationship_type,chembl_id
,BAO_0000218,,In vivo,9866,,2113.0,,,1,7524,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Kidney,50597,A,N,CHEMBL618647
,BAO_0000218,,In vivo,9866,,2113.0,,,1,7525,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Intermediate,Rattus norvegicus,1,10116.0,,Kidney,50597,A,N,CHEMBL618648
,BAO_0000218,,In vivo,9866,,2113.0,,,1,7526,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Kidney,50597,A,N,CHEMBL618649
,BAO_0000218,,In vivo,9866,,2107.0,,,1,7527,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Liver,50597,A,N,CHEMBL618650
,BAO_0000218,,In vivo,9866,,2107.0,,,1,7528,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Intermediate,Rattus norvegicus,1,10116.0,,Liver,50597,A,N,CHEMBL618651
,BAO_0000218,,In vivo,9866,,2107.0,,,1,7529,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Liver,50597,A,N,CHEMBL876497
,BAO_0000218,,In vivo,9866,,2048.0,,,1,7530,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Lung,50597,A,N,CHEMBL618652
,BAO_0000218,,In vivo,9866,,2048.0,,,1,7531,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Intermediate,Rattus norvegicus,1,10116.0,,Lung,50597,A,N,CHEMBL618653
,BAO_0000218,,In vivo,9866,,2048.0,,,1,7532,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,Rattus norvegicus,1,10116.0,,Lung,50597,A,N,CHEMBL618654
,BAO_0000218,,,6351,,,,,1,7533,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618655
,BAO_0000218,,,1465,,,,,1,7534,,Compound was tested for solubility in water,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618656
