assay_id,assay_test_type,tissue_id,tid,assay_tax_id,curated_by,src_id,assay_tissue,assay_type,cell_id,description,assay_subcellular_fraction,assay_category,bao_format,relationship_type,assay_strain,doc_id,assay_organism,assay_cell_type
1,,,12052,,Autocuration,1,,B,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,BAO_0000019,H,,11087,,
2,,,22226,,Autocuration,1,,F,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,BAO_0000219,U,,684,,
3,,,22226,,Autocuration,1,,B,,,,,BAO_0000019,U,,15453,,
4,,,104729,9913.0,Autocuration,1,,B,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,BAO_0000249,H,,17841,Bos taurus,
5,,,80001,9606.0,Intermediate,1,,F,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,BAO_0000219,N,,17430,Homo sapiens,143B
6,,,80001,9606.0,Intermediate,1,,F,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,BAO_0000219,N,,17430,Homo sapiens,143B
7,,,80001,10090.0,Intermediate,1,,F,163.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,BAO_0000219,N,,13799,Mus musculus,143B
8,,,80001,9606.0,Expert,1,,F,163.0,In vitro cell cytotoxicity was determined against 143B cell line,,,BAO_0000219,N,,17774,Homo sapiens,143B
9,,,80001,9606.0,Intermediate,1,,F,163.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,BAO_0000219,N,,3801,Homo sapiens,143B
10,,,80001,9606.0,Intermediate,1,,F,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,BAO_0000219,N,,17430,Homo sapiens,143B
11,,,80001,9606.0,Intermediate,1,,F,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,BAO_0000219,N,,17430,Homo sapiens,143B
12,,,80001,9606.0,Expert,1,,F,163.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,BAO_0000219,N,,17774,Homo sapiens,143B
13,,,50185,1280.0,Intermediate,1,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,BAO_0000218,N,,11324,Staphylococcus aureus,
14,,,50185,1280.0,Intermediate,1,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,BAO_0000218,N,,11324,Staphylococcus aureus,
15,,,50185,1280.0,Intermediate,1,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,BAO_0000218,N,,11324,Staphylococcus aureus,
16,,,50185,1280.0,Intermediate,1,,F,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,BAO_0000218,N,,11324,Staphylococcus aureus,
17,,,100122,10116.0,Expert,1,,A,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,BAO_0000357,D,,11347,Rattus norvegicus,
18,,,12054,,Autocuration,1,,B,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,BAO_0000357,H,,16474,,
19,,,12054,,Autocuration,1,,B,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,BAO_0000019,H,,10091,,
20,,,12054,,Autocuration,1,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,BAO_0000357,H,,16474,,
21,,,12054,,Autocuration,1,,B,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,BAO_0000357,H,,16474,,
22,,,12054,,Autocuration,1,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,BAO_0000357,H,,16474,,
23,,,12054,,Autocuration,1,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,BAO_0000357,H,,16474,,
24,,,12054,,Autocuration,1,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,BAO_0000357,H,,16474,,
25,,,22226,,Autocuration,1,,B,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,BAO_0000219,U,,14352,,
26,,,12054,9986.0,Autocuration,1,,B,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,BAO_0000357,H,,5646,Oryctolagus cuniculus,
27,,,12054,9986.0,Autocuration,1,,B,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,BAO_0000357,H,,5646,Oryctolagus cuniculus,
28,,,12426,,Autocuration,1,,B,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,BAO_0000219,H,,10997,,
29,,,12054,3847.0,Autocuration,1,,B,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,BAO_0000357,H,,6309,soya bean,
30,,,12054,3847.0,Autocuration,1,,B,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,BAO_0000357,H,,167,Glycine max,
31,,,12054,3847.0,Autocuration,1,,B,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,BAO_0000357,H,,167,Glycine max,
32,,,12054,3847.0,Autocuration,1,,B,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,BAO_0000357,H,,11087,Glycine max,
33,,,12054,3847.0,Autocuration,1,,B,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,BAO_0000357,H,,11087,Glycine max,
34,,,12054,3847.0,Autocuration,1,,B,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,BAO_0000357,H,,13622,Glycine max,
35,,,12054,3847.0,Autocuration,1,,B,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,BAO_0000357,H,,13622,Glycine max,
36,,,22226,10116.0,Autocuration,1,,A,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,BAO_0000019,U,,11347,Rattus norvegicus,
37,,,22226,562.0,Autocuration,1,,B,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,BAO_0000019,U,,5926,Escherichia coli,
38,,,22226,,Autocuration,1,,B,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,BAO_0000019,U,,4567,,
39,,,22222,,Intermediate,1,,B,,Dissociation constant towards 16S rRNA construct A,,,BAO_0000225,M,,3782,,
40,,,22222,,Intermediate,1,,B,,Dissociation constant towards 16S rRNA construct B,,,BAO_0000225,M,,3782,,
41,,,100263,562.0,Expert,1,,B,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,BAO_0000225,M,,4466,Escherichia coli,
42,,,100263,562.0,Expert,1,,B,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,BAO_0000225,M,,6592,Escherichia coli,
43,,,13053,,Autocuration,1,,B,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,BAO_0000019,H,,898,,
