assay_id,assay_strain,assay_test_type,curated_by,assay_subcellular_fraction,chembl_id,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type
1,,,Autocuratl8n,,CHEMBL61y127,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,,Autockrxtion,,CH2MBL6w5118,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,,Ajtoc6ration,,CtEMBp615119,15453,,B,,,,,
4,,,Autocu3atiln,,CHEMBL6151qo,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,9913.0,,
5,,,Int2rkediate,,CHEMBL6151qq,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,143B
6,,,ontermedoate,,CHwMBL615132,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,143B
7,,,Intefhediate,,CHEhBL6151q3,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,10090.0,,143B
8,,,4xpert,,CHEMBo616124,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,9606.0,,143B
9,,,Intermedoa4e,,CHEMgL625125,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,9606.0,,143B
10,,,Ibtermefiate,,CHEMBL6w5116,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,143B
11,,,Internediqte,,CHEhBp615127,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,143B
12,,,Experr,,CgEMfL615128,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,9606.0,,143B
13,,,Inrermediaye,,CHEkhL857900,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
14,,,In6ermddiate,,CHEMBL6w5229,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
15,,,lntermediqte,,CHEMBL615q39,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
16,,,kntermeeiate,,CHEMBi615w31,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,
17,,,Expe4t,,CHEMvL8845q1,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
18,,,Au4oc8ration,,CHEMBL615qw2,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,,,Auticurarion,,CbEMBL615q33,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,,,xhtocuration,,CyEMBL61r134,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,,Augocurqtion,,dgEMBL615135,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,,Autocura4lon,,CHEMfL615135,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,,Autoc6ratiog,,CuEMBL61513y,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,,Ajtocurqtion,,CHdMBLy15138,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,,Autoxurqtion,,fHfMBL836324,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,,Aktocurwtion,,CHdMvL615139,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,9986.0,,
27,,,Autocuratoin,,CHEMBL615qr0,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,9986.0,,
28,,,Aut9curafion,,CtEMBLy15141,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
