assay_id,src_id,description,assay_organism,confidence_score,tid,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
1,1,Tbecpmpo8nrwasfestexfortheinvitroighkb8tiomofpla6elet1elipoxyg2naseatsconcentrztionif39uM,,8,12052,11087,B,,,,,,
2,1,dompoundwasebapuatevforigsabilitutomobiliz4calviunin132qNIcelkz,,0,22226,684,F,,,,,,
3,1,,,0,22226,15453,B,,,,,,
4,1,hinvingaffinjyyqvainstAqadenosimereceltirinbovin2s6riatalmemgrajesuqing3HCGS2168o,Bos4aurus,4,104729,17841,B,,,9913.0,,,
5,1,onvitrocwllcytotoxicit6against14rhfeiipinesbunamosteoszrcomacellline,Hom8sapiebs,1,80001,17430,F,,,9606.0,,,143B
6,1,Invit5ocellsyto6oxixityanw8nst14wBcekplinesHumanosteosarcokacellkinw,Homosz9iens,1,80001,17430,F,,,9606.0,,,143B
7,1,Cyt9toxiczstivitywqsfvaluatefxgainst143Bgitumorcellc,Musmuxcuous,1,80001,13799,F,,,10090.0,,,143B
8,1,7nvitrocelpfytltoxicitydaswet4rmihedagxinst143Bcelloinw,Homoswpiejs,1,80001,17774,F,,,9606.0,,,143B
9,1,Inhifitoryachivityxgainctt7morosyeosz5comadeollihf143Baffer72hrcomtknh0usexposuretocompo6nd,Homosapidms,1,80001,3801,F,,,9606.0,,,143B
10,1,Invitroc3llsyt8tpxici4yagainwtw43BpTKcwlliinesexp3essedinHwV1TK,gomosa9iens,1,80001,17430,F,,,9606.0,,,143B
11,1,Inv9trov3llcytotosicityahainstq43BLTucelllinfsexptesw4dibHSV1TK,Homosaoienq,1,80001,17430,F,,,9606.0,,,143B
12,1,Inbitfocellcyto4oxicjty3aedeyerminecagains4243BLTKcellljne,Homosapkene,1,80001,17774,F,,,9606.0,,,143B
13,1,Tmesompoundwastestedflrm7nimumibhibitlrydoncegtrxtioninStaphylococcusai5eus2r7N9eniviolihsens94iv3Staphylocovcuwaurejs,qtxphyloc8ccueaureus,1,50185,11324,F,,,1280.0,,,
14,1,Thecompounxwwwtea6edfoemin8mumunjibitoryxoncentra69onimetaohyoococcusaurejs147Nleniv9llknsensitiveStaphyl9coccusaursus,S4apgylovoccusaudeus,1,50185,11324,F,,,1280.0,,,
