assay_id,assay_tissue,curated_by,description,src_id,variant_id,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_cell_type
1,,Autocuration,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,,11087,B,,,,,,
2,,Autocuration,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,1,,684,F,,,,,,
3,,Autocuration,,1,,15453,B,,,,,,
4,,Autocuration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,1,,17841,B,,,Bos taurus,9913.0,,
5,,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,17430,F,,,Homo sapiens,9606.0,,143B
6,,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,,17430,F,,,Homo sapiens,9606.0,,143B
7,,Intermediate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,,13799,F,,,Mus musculus,10090.0,,143B
8,,Expert,In vitro cell cytotoxicity was determined against 143B cell line,1,,17774,F,,,Homo sapiens,9606.0,,143B
9,,Intermediate,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,,3801,F,,,Homo sapiens,9606.0,,143B
10,,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,17430,F,,,Homo sapiens,9606.0,,143B
11,,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,,17430,F,,,Homo sapiens,9606.0,,143B
12,,Expert,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,,17774,F,,,Homo sapiens,9606.0,,143B
13,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,11324,F,,,Staphylococcus aureus,1280.0,,
14,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,11324,F,,,Staphylococcus aureus,1280.0,,
15,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,11324,F,,,Staphylococcus aureus,1280.0,,
16,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,11324,F,,,Staphylococcus aureus,1280.0,,
17,,Expert,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,1,,11347,A,,,Rattus norvegicus,10116.0,,
18,,Autocuration,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),1,,16474,B,,,,,,
19,,Autocuration,Inhibition of partially purified 15-lipoxygenase from human leukocytes,1,,10091,B,,,,,,
20,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,16474,B,,,,,,
21,,Autocuration,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),1,,16474,B,,,,,,
22,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,16474,B,,,,,,
23,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,16474,B,,,,,,
24,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,16474,B,,,,,,
25,,Autocuration,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",1,,14352,B,,,,,,
26,,Autocuration,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,1,,5646,B,,,Oryctolagus cuniculus,9986.0,,
27,,Autocuration,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),1,,5646,B,,,Oryctolagus cuniculus,9986.0,,
28,,Autocuration,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,1,,10997,B,,,,,,
29,,Autocuration,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,1,,6309,B,,,soya bean,3847.0,,
30,,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated,1,,167,B,,,Glycine max,3847.0,,
31,,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,1,,167,B,,,Glycine max,3847.0,,
32,,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,1,,11087,B,,,Glycine max,3847.0,,
33,,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,1,,11087,B,,,Glycine max,3847.0,,
34,,Autocuration,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,13622,B,,,Glycine max,3847.0,,
35,,Autocuration,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,13622,B,,,Glycine max,3847.0,,
36,,Autocuration,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,1,,11347,A,,,Rattus norvegicus,10116.0,,
37,,Autocuration,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,1,,5926,B,,,Escherichia coli,562.0,,
38,,Autocuration,Dissociation constant with dimeric 16S rRNA RNA construct B,1,,4567,B,,,,,,
39,,Intermediate,Dissociation constant towards 16S rRNA construct A,1,,3782,B,,,,,,
40,,Intermediate,Dissociation constant towards 16S rRNA construct B,1,,3782,B,,,,,,
41,,Expert,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,1,,4466,B,,,Escherichia coli,562.0,,
42,,Expert,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,1,,6592,B,,,Escherichia coli,562.0,,
43,,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,898,B,,,,,,
44,,Autocuration,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,898,B,,,,,,
45,,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,,13163,B,,,Homo sapiens,9606.0,,
46,,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,,13163,B,,,Homo sapiens,9606.0,,
47,,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,,10691,B,,,Rattus norvegicus,10116.0,,
48,,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,,10691,B,,,Rattus norvegicus,10116.0,,
49,,Expert,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,,10691,B,,,Rattus norvegicus,10116.0,,
50,,Expert,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,,10691,B,,,Rattus norvegicus,10116.0,,
51,,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,898,B,,,,,,
52,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),1,,912,B,,,,,,
53,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,1,,912,B,,,,,,
54,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,1,,912,B,,,,,,
55,,Autocuration,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,1,,15103,B,,,Rattus norvegicus,10116.0,,
56,,Intermediate,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,1,,5116,F,,,Homo sapiens,9606.0,,1A9
57,,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,1,,14578,F,,,Rattus norvegicus,10116.0,,Oocytes
58,,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,1,,14578,F,,,Rattus norvegicus,10116.0,,Oocytes
59,,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,1,,14578,F,,,Rattus norvegicus,10116.0,,Oocytes
60,,Expert,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,1,,4787,F,,,Homo sapiens,9606.0,,1A9
