ASI,ASSTY,ASTTY,ASSTI,ASSTR,Ti,CURB,Des,SRASSI,CHEI,ASCATE,CONSC,SI,CI,BFOR,TII,VARII
7524,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,CHEMBL618647,,1,1,,BAO_0000218,2113.0,
7525,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,CHEMBL618648,,1,1,,BAO_0000218,2113.0,
7526,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,CHEMBL618649,,1,1,,BAO_0000218,2113.0,
7527,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,CHEMBL618650,,1,1,,BAO_0000218,2107.0,
7528,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,CHEMBL618651,,1,1,,BAO_0000218,2107.0,
7529,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,CHEMBL876497,,1,1,,BAO_0000218,2107.0,
7530,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,CHEMBL618652,,1,1,,BAO_0000218,2048.0,
7531,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,CHEMBL618653,,1,1,,BAO_0000218,2048.0,
7532,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,CHEMBL618654,,1,1,,BAO_0000218,2048.0,
7533,A,,10116.0,,50597,Intermediate,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,CHEMBL618655,,1,1,,BAO_0000218,,
7534,A,,10116.0,,50597,Intermediate,Compound was tested for solubility in water,,CHEMBL618656,,1,1,,BAO_0000218,,
7535,P,,,,22229,Intermediate,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,CHEMBL618657,,0,1,,BAO_0000100,,
7536,A,,10116.0,,50597,Intermediate,Solubility was determined,,CHEMBL618658,,1,1,,BAO_0000218,,
7537,A,,10116.0,,50597,Intermediate,solubility in water (ug/mL) at 37 degree C.,,CHEMBL618659,,1,1,,BAO_0000218,,
7538,A,,10116.0,,50597,Intermediate,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,CHEMBL618660,,1,1,,BAO_0000218,,
7539,A,,10116.0,,50597,Intermediate,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,CHEMBL618661,,1,1,,BAO_0000218,,
7540,A,,10116.0,,50597,Intermediate,Half life in rats,,CHEMBL873807,,1,1,,BAO_0000218,,
7541,A,,10116.0,,50597,Intermediate,Half life in Dawley rat,,CHEMBL618662,,1,1,,BAO_0000218,,
7542,A,In vivo,10116.0,,50597,Intermediate,Half life period after 3 mg/kg iv administration,,CHEMBL618663,,1,1,,BAO_0000218,,
7543,A,In vivo,10116.0,,50597,Intermediate,Half life period after 3 mg/kg iv administration in rat,,CHEMBL618664,,1,1,,BAO_0000218,,
7544,A,In vivo,10116.0,,50597,Intermediate,Half life period after 3 mg/kg iv administration in the rat,,CHEMBL618665,,1,1,,BAO_0000218,,
7545,A,,10116.0,,50597,Intermediate,Half life period in female Sprague-Dawley rats,,CHEMBL876498,,1,1,,BAO_0000218,,
7546,A,,10116.0,,50597,Intermediate,Half life period in rat,,CHEMBL618666,,1,1,,BAO_0000218,,
7547,A,,10116.0,,50597,Intermediate,Half-life in rats was determined,,CHEMBL620440,,1,1,,BAO_0000218,,
7548,A,,10116.0,,50597,Intermediate,Half-life in rats with metabolic oxidation,,CHEMBL620441,,1,1,,BAO_0000218,,
7549,A,,10116.0,,50597,Intermediate,Half-life in rats,,CHEMBL620442,,1,1,,BAO_0000218,,
7550,A,In vivo,10116.0,,50597,Intermediate,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,CHEMBL620443,,1,1,,BAO_0000218,,
7551,A,In vivo,10116.0,,50597,Intermediate,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,CHEMBL620444,,1,1,,BAO_0000218,,
7552,A,In vivo,10116.0,,50597,Intermediate,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,CHEMBL620445,,1,1,,BAO_0000218,,
7553,A,In vivo,10116.0,,50597,Intermediate,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,CHEMBL620446,,1,1,,BAO_0000218,,
7554,A,,10116.0,,50597,Intermediate,Biological half-life measured in plasma of rat,,CHEMBL620447,,1,1,,BAO_0000218,1969.0,
