assay_test_type,bao_format,assay_tissue,assay_category,assay_id,src_id,src_assay_id,assay_subcellular_fraction,description,tid,assay_type,cell_id,chembl_id,assay_cell_type,doc_id,assay_tax_id,curated_by,assay_strain,variant_id,confidence_score,relationship_type,assay_organism,tissue_id
,BAO_0000019,,,1,1,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,B,,CHEMBL615117,,11087,,Autocuration,,,8,H,,
,BAO_0000219,,,2,1,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,F,,CHEMBL615118,,684,,Autocuration,,,0,U,,
,BAO_0000019,,,3,1,,,,22226,B,,CHEMBL615119,,15453,,Autocuration,,,0,U,,
,BAO_0000249,,,4,1,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,B,,CHEMBL615120,,17841,9913.0,Autocuration,,,4,H,Bos taurus,
,BAO_0000219,,,5,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,F,163.0,CHEMBL615121,143B,17430,9606.0,Intermediate,,,1,N,Homo sapiens,
,BAO_0000219,,,6,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,F,163.0,CHEMBL615122,143B,17430,9606.0,Intermediate,,,1,N,Homo sapiens,
,BAO_0000219,,,7,1,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,F,163.0,CHEMBL615123,143B,13799,10090.0,Intermediate,,,1,N,Mus musculus,
,BAO_0000219,,,8,1,,,In vitro cell cytotoxicity was determined against 143B cell line,80001,F,163.0,CHEMBL615124,143B,17774,9606.0,Expert,,,1,N,Homo sapiens,
,BAO_0000219,,,9,1,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,F,163.0,CHEMBL615125,143B,3801,9606.0,Intermediate,,,1,N,Homo sapiens,
,BAO_0000219,,,10,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,F,163.0,CHEMBL615126,143B,17430,9606.0,Intermediate,,,1,N,Homo sapiens,
,BAO_0000219,,,11,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,F,163.0,CHEMBL615127,143B,17430,9606.0,Intermediate,,,1,N,Homo sapiens,
,BAO_0000219,,,12,1,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,F,163.0,CHEMBL615128,143B,17774,9606.0,Expert,,,1,N,Homo sapiens,
