ss_d,ss_rgnsm,b_frmt,tss_d,vrnt_d,cnfdnc_scr,ss_tss,chmbl_d,ss_ctgr,crtd_b,ss_tst_tp,dc_d,src_ss_d,rltnshp_tp,td,src_d,ss_strn,ss_cll_tp,ss_sbclllr_frctn,cll_d
7524,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL618647,,Intermediate,In vivo,9866,,N,50597,1,,,,
7525,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL618648,,Intermediate,In vivo,9866,,N,50597,1,,,,
7526,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL618649,,Intermediate,In vivo,9866,,N,50597,1,,,,
7527,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL618650,,Intermediate,In vivo,9866,,N,50597,1,,,,
7528,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL618651,,Intermediate,In vivo,9866,,N,50597,1,,,,
7529,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL876497,,Intermediate,In vivo,9866,,N,50597,1,,,,
7530,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL618652,,Intermediate,In vivo,9866,,N,50597,1,,,,
7531,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL618653,,Intermediate,In vivo,9866,,N,50597,1,,,,
7532,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL618654,,Intermediate,In vivo,9866,,N,50597,1,,,,
7533,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618655,,Intermediate,,6351,,N,50597,1,,,,
7534,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618656,,Intermediate,,1465,,N,50597,1,,,,
7535,,BAO_0000100,,,0,,CHEMBL618657,,Intermediate,,5182,,U,22229,1,,,,
7536,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618658,,Intermediate,,17847,,N,50597,1,,,,
7537,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618659,,Intermediate,,15339,,N,50597,1,,,,
7538,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618660,,Intermediate,,5202,,N,50597,1,,,,
7539,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618661,,Intermediate,,1088,,N,50597,1,,,,
7540,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL873807,,Intermediate,,3169,,N,50597,1,,,,
7541,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618662,,Intermediate,,5353,,N,50597,1,,,,
7542,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618663,,Intermediate,In vivo,2864,,N,50597,1,,,,
7543,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618664,,Intermediate,In vivo,2864,,N,50597,1,,,,
7544,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618665,,Intermediate,In vivo,2864,,N,50597,1,,,,
7545,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876498,,Intermediate,,6362,,N,50597,1,,,,
7546,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618666,,Intermediate,,6249,,N,50597,1,,,,
7547,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620440,,Intermediate,,3169,,N,50597,1,,,,
7548,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620441,,Intermediate,,3169,,N,50597,1,,,,
7549,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620442,,Intermediate,,3169,,N,50597,1,,,,
7550,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620443,,Intermediate,In vivo,17260,,N,50597,1,,,,
7551,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620444,,Intermediate,In vivo,17260,,N,50597,1,,,,
7552,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620445,,Intermediate,In vivo,17260,,N,50597,1,,,,
7553,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620446,,Intermediate,In vivo,17260,,N,50597,1,,,,
7554,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL620447,,Intermediate,,2879,,N,50597,1,,,,
7555,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621129,,Intermediate,,2879,,N,50597,1,,,,
7556,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621130,,Intermediate,,2879,,N,50597,1,,,,
7557,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL873808,,Intermediate,In vivo,3184,,N,50597,1,,,,
7558,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876598,,Intermediate,In vivo,4891,,N,50597,1,,,,
7559,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621131,,Intermediate,In vivo,429,,N,50597,1,,,,
7560,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621132,,Intermediate,In vivo,5656,,N,50597,1,,,,
7561,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621133,,Intermediate,In vivo,4413,,N,50597,1,,,,
7562,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621312,,Expert,In vivo,3598,,N,50597,1,,,,
7563,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621313,,Intermediate,,17267,,N,50597,1,,,,
7564,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL621314,,Intermediate,,4727,,N,50597,1,,,,
7565,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621315,,Intermediate,In vivo,17651,,N,50597,1,,,,
7566,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621316,,Intermediate,In vivo,17651,,N,50597,1,,,,
7567,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621317,,Intermediate,,401,,N,50597,1,,,,
7568,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621318,,Intermediate,,4942,,N,50597,1,,,,
7569,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621319,,Intermediate,In vivo,17735,,N,50597,1,,,,
7570,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621377,,Intermediate,In vivo,6056,,N,50597,1,,,,
7571,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621378,,Intermediate,,5213,,N,50597,1,,,,
7572,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876599,,Intermediate,In vivo,6616,,N,50597,1,,,,
7573,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621379,,Intermediate,In vivo,5937,,N,50597,1,,,,
7574,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621380,,Intermediate,,5819,,N,50597,1,,,,
7575,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621381,,Intermediate,,5819,,N,50597,1,,,,
7576,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618515,,Intermediate,,6803,,N,50597,1,,,,
7577,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618516,,Intermediate,In vivo,17804,,N,50597,1,,,,
7578,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618517,,Intermediate,In vivo,17804,,N,50597,1,,,,
7579,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618518,,Intermediate,,5948,,N,50597,1,,,,
7580,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618519,,Intermediate,In vivo,1916,,N,50597,1,,,,
7581,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618698,,Intermediate,In vivo,1916,,N,50597,1,,,,
7582,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618862,,Intermediate,In vivo,1916,,N,50597,1,,,,
7583,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618863,,Intermediate,In vivo,4890,,N,50597,1,,,,
7584,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618864,,Intermediate,In vivo,17764,,N,50597,1,,,,
7585,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618865,,Intermediate,In vivo,4727,,N,50597,1,,,,
