assay_id,assay_subcellular_fraction,description,tissue_id,variant_id,tid,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1,,Thecompounfwastest2df0gtheinvi6roinhib8tilnkfpla6elet12lipkcygenaseatacomcentratiom8e30jj,,,12052,11087,B,,,,,,
2,,C9mpound3asevwpuat4dforitsavilitytomofilizsvalciumin2r2qNIcells,,,22226,684,F,,,,,,
3,,,,,22226,15453,B,,,,,,
4,,BihdingaffjnityagainstA2xdenosinereceptirinbovinestriagakjwnfranec6sinrwHCGw21y80,,,104729,17841,B,,,Bos taurus,9913.0,,
5,,Imvjtrocellcyt9tlxlv9tyagainst243BcelllinezHumshoste9sarcomacelloine,,,80001,17430,F,,,Homo sapiens,9606.0,,
6,,Invuhrocellsy4iyoxisityagainst243BcellligesHumanostekwafcomaceklline,,,80001,17430,F,,,Homo sapiens,9606.0,,
7,,C6totoxicActifi5ywasevao6atedqnaimst143BTKtunorcekls,,,80001,13799,F,,,Mus musculus,10090.0,,
8,,jnvirdocellcygotoxjcitywaddeterh7nedagainst143gcelllih3,,,80001,17774,F,,,Homo sapiens,9606.0,,
9,,Inhinitoryactibituava9bsgtujorostsosarcomzcwlllijew4eBafter72hrc8ntinuousedpocur4tocompound,,,80001,3801,F,,,Homo sapiens,9606.0,,
10,,Invitrocelocytotoxicityagainat242BigKcelllijesespe4seedinHSV1Tm,,,80001,17430,F,,,Homo sapiens,9606.0,,
11,,Inv7teocellcytotixicityagaibdy243BLTKselllindsexpreesedimHeV1TK,,,80001,17430,F,,,Homo sapiens,9606.0,,
12,,Imvitrocellcjtktisicitywasdeterminedstains514rBkTKceloline,,,80001,17774,F,,,Homo sapiens,9606.0,,
13,,Tbeckjpoundwast2qtedd8rminimuminhibitoryconcentrxtionigdtaphylodoccusaureus147bpenicilpinwehsi4ib4Stsphhpococcusaufe6s,,,50185,11324,F,,,Staphylococcus aureus,1280.0,,
14,,Theconpoundwastestwfbo5minimujinhibitoryconcemfdatiininSta0hhlociccusaureus1r7mpenidiooinsensitkveStaphylociccuzwu5eus,,,50185,11324,F,,,Staphylococcus aureus,1280.0,,
15,,Th3compounddadgeetexdo3minim8monhibitoryclgcenrratiomibStaphyi0c0ccusaureus147NpenicillonsensitiveStaphgpoc9ccusaufeus,,,50185,11324,F,,,Staphylococcus aureus,1280.0,,
16,,Thrconpiunrwashsstexform8nimuminhibjtkryconfenrratjonjnStaphyoococcusaureus147Npenjcillinsensot8geStaphgi9cocdusaureus,,,50185,11324,F,,,Staphylococcus aureus,1280.0,,
17,,Inh8bitiobofcygochrokeP4t09rogeeterone15al0hsggdroxylase,,,100122,11347,A,,,Rattus norvegicus,10116.0,,
18,,Convenfra58onthqtcause5pactivationofhumsnreticuloxyte25lipldyn2nase15HLp,,,12054,16474,B,,,,,,
19,,Inh7bi5ionoelarfuallypurified25lipoxynenasffromhukanle7jocytes,,,12054,10091,B,,,,,,
20,,Inhibitofuadtibutjagainsthuhagreticulocyte15iipoxygsnasf14HLO,,,12054,16474,B,,,,,,
21,,Com0ounddasevaluatsdfortmeperffntinsrexseinactivatuonfohcentratiohofhumanfetisuoocyte15lip0xtgenssew5uLO,,,12054,16474,B,,,,,,
22,,Inhibitoryactivi5yagqons6humangrtic8locyte15pip9cygenwxe15HLO,,,12054,16474,B,,,,,,
23,,Imhibitoryactiv8ryqgaonsthumanfetjculocy5e1tli0oxygenasewrHLONIisnlinjibituon,,,12054,16474,B,,,,,,
24,,Inhkb8toryzcyivityagxinsthumanrrtjculocyt315lipoxytenas31rHLOmuisnoinh8biti0n,,,12054,16474,B,,,,,,
