assays_assay_id,assays_assay_organism,assays_chembl_id,assays_curated_by,assays_assay_tissue,assays_description,assays_assay_category,assays_relationship_type,assays_assay_tax_id,assays_doc_id,assays_tid,assays_src_id,assays_src_assay_id,assays_cell_id,assays_bao_format,assays_tissue_id,assays_variant_id
7524,Rattus norvegicus,CHEMBL618647,Intermediate,Kidney,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2113.0,
7525,Rattus norvegicus,CHEMBL618648,Intermediate,Kidney,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,N,10116.0,9866,50597,1,,,BAO_0000218,2113.0,
7526,Rattus norvegicus,CHEMBL618649,Intermediate,Kidney,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2113.0,
7527,Rattus norvegicus,CHEMBL618650,Intermediate,Liver,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2107.0,
7528,Rattus norvegicus,CHEMBL618651,Intermediate,Liver,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,N,10116.0,9866,50597,1,,,BAO_0000218,2107.0,
7529,Rattus norvegicus,CHEMBL876497,Intermediate,Liver,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2107.0,
7530,Rattus norvegicus,CHEMBL618652,Intermediate,Lung,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2048.0,
7531,Rattus norvegicus,CHEMBL618653,Intermediate,Lung,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,N,10116.0,9866,50597,1,,,BAO_0000218,2048.0,
7532,Rattus norvegicus,CHEMBL618654,Intermediate,Lung,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,N,10116.0,9866,50597,1,,,BAO_0000218,2048.0,
7533,Rattus norvegicus,CHEMBL618655,Intermediate,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,N,10116.0,6351,50597,1,,,BAO_0000218,,
7534,Rattus norvegicus,CHEMBL618656,Intermediate,,Compound was tested for solubility in water,,N,10116.0,1465,50597,1,,,BAO_0000218,,
