assay_id,cell_id,bao_format,assay_tissue,src_assay_id,assay_strain,chembl_id,assay_subcellular_fraction,assay_type,variant_id,tid,doc_id,description,assay_test_type,assay_category,assay_organism,assay_tax_id
1,,hA90000019,,,,xHEMBL715117,,B,,12052,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,
2,,BAO9900219,,,,CHEMBL71t118,,F,,22226,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,
3,,BA90p00019,,,,CH4MBL61511p,,B,,22226,15453,,,,,
4,,vAO00002r9,,,,CHEMBL626120,,B,,104729,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Bos taurus,9913.0
5,496.0,BzO0o00219,,,,CHEnBL615221,,F,,80001,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,9606.0
6,492.0,BAk0000319,,,,CjEMBL615q22,,F,,80001,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,9606.0
7,417.0,BA9000o219,,,,CHfMBLu15123,,F,,80001,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,Mus musculus,10090.0
8,492.0,vAO0000218,,,,CHEMBL6141e4,,F,,80001,17774,In vitro cell cytotoxicity was determined against 143B cell line,,,Homo sapiens,9606.0
9,296.0,BzO0090219,,,,sHEjBL615125,,F,,80001,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,Homo sapiens,9606.0
10,328.0,BAO00001w9,,,,CHEkBL615w26,,F,,80001,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,9606.0
11,555.0,BAO00p0319,,,,CH4jBL615127,,F,,80001,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,9606.0
12,393.0,BAO0909219,,,,CHwMBL615q28,,F,,80001,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,Homo sapiens,9606.0
13,,BAO0900318,,,,CH4MBL847900,,F,,50185,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0
14,,BA00000w18,,,,CHEMBL615we9,,F,,50185,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0
15,,BAO000o21i,,,,fHEMBL615139,,F,,50185,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0
16,,nAk0000218,,,,xHEMBL715131,,F,,50185,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,1280.0
17,,BAO9000457,,,,CHEMBL885511,,A,,100122,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Rattus norvegicus,10116.0
18,,BA800003r7,,,,CHEMBLy16132,,B,,12054,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,
19,,BAO0o00o19,,,,CHEMBL61y132,,B,,12054,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,
20,,BwO0000356,,,,CHEMnL614134,,B,,12054,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,
