assay_id,src_id,assay_type,bao_format,assay_tax_id,doc_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction
1,1,B,BAO_0000019,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,,
2,1,F,BAO_0000219,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,,
3,1,B,BAO_0000019,,15453,,,,,,,,
4,1,B,BAO_0000249,9913.0,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Bos taurus,,,,
5,1,F,BAO_0000219,9606.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,,143B,
6,1,F,BAO_0000219,9606.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,,143B,
7,1,F,BAO_0000219,10090.0,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,Mus musculus,,,143B,
8,1,F,BAO_0000219,9606.0,17774,In vitro cell cytotoxicity was determined against 143B cell line,,,Homo sapiens,,,143B,
9,1,F,BAO_0000219,9606.0,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,Homo sapiens,,,143B,
10,1,F,BAO_0000219,9606.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,,143B,
11,1,F,BAO_0000219,9606.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,,143B,
12,1,F,BAO_0000219,9606.0,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,Homo sapiens,,,143B,
13,1,F,BAO_0000218,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,,,
14,1,F,BAO_0000218,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,,,
15,1,F,BAO_0000218,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,,,
16,1,F,BAO_0000218,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,,,
17,1,A,BAO_0000357,10116.0,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Rattus norvegicus,,,,
18,1,B,BAO_0000357,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,
19,1,B,BAO_0000019,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,,
20,1,B,BAO_0000357,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,
21,1,B,BAO_0000357,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,
22,1,B,BAO_0000357,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,
23,1,B,BAO_0000357,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,
24,1,B,BAO_0000357,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,
25,1,B,BAO_0000219,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,,
26,1,B,BAO_0000357,9986.0,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,Oryctolagus cuniculus,,,,
27,1,B,BAO_0000357,9986.0,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,Oryctolagus cuniculus,,,,
28,1,B,BAO_0000219,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,,
29,1,B,BAO_0000357,3847.0,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,soya bean,,,,
30,1,B,BAO_0000357,3847.0,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,Glycine max,,,,
31,1,B,BAO_0000357,3847.0,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,Glycine max,,,,
32,1,B,BAO_0000357,3847.0,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,Glycine max,,,,
33,1,B,BAO_0000357,3847.0,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,Glycine max,,,,
34,1,B,BAO_0000357,3847.0,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,,,
35,1,B,BAO_0000357,3847.0,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,,,
36,1,A,BAO_0000019,10116.0,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,Rattus norvegicus,,,,
37,1,B,BAO_0000019,562.0,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,Escherichia coli,,,,
38,1,B,BAO_0000019,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,,
39,1,B,BAO_0000225,,3782,Dissociation constant towards 16S rRNA construct A,,,,,,,
40,1,B,BAO_0000225,,3782,Dissociation constant towards 16S rRNA construct B,,,,,,,
41,1,B,BAO_0000225,562.0,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,Escherichia coli,,,,
42,1,B,BAO_0000225,562.0,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,Escherichia coli,,,,
43,1,B,BAO_0000019,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,
44,1,B,BAO_0000019,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,
45,1,B,BAO_0000019,9606.0,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,,,
46,1,B,BAO_0000019,9606.0,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,,,
47,1,B,BAO_0000019,10116.0,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,,,
48,1,B,BAO_0000019,10116.0,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,,,
49,1,B,BAO_0000019,10116.0,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,,,
50,1,B,BAO_0000019,10116.0,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,,,
51,1,B,BAO_0000019,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,
52,1,B,BAO_0000357,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,,
53,1,B,BAO_0000357,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,,
54,1,B,BAO_0000357,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,,
55,1,B,BAO_0000249,10116.0,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,Rattus norvegicus,,,,Membranes
56,1,F,BAO_0000219,9606.0,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,Homo sapiens,,,1A9,
57,1,F,BAO_0000219,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,Rattus norvegicus,,,Oocytes,
58,1,F,BAO_0000219,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,Rattus norvegicus,,,Oocytes,
59,1,F,BAO_0000219,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,Rattus norvegicus,,,Oocytes,
60,1,F,BAO_0000219,9606.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,Homo sapiens,,,1A9,
61,1,F,BAO_0000219,9606.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,Homo sapiens,,,1A9,
62,1,F,BAO_0000219,9606.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,Homo sapiens,,,1A9,
63,1,F,BAO_0000219,9606.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,Homo sapiens,,,1A9,
64,1,F,BAO_0000219,9606.0,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,,Homo sapiens,,,1A9,
65,1,F,BAO_0000219,9606.0,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,Homo sapiens,,,1A9,
66,1,F,BAO_0000219,9606.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,Homo sapiens,,,1A9,
67,1,F,BAO_0000219,9606.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,Homo sapiens,,,1A9,
68,1,F,BAO_0000219,9606.0,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,Homo sapiens,,,1A9,
69,1,F,BAO_0000219,9606.0,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,,Homo sapiens,,,1A9,
70,1,F,BAO_0000219,9606.0,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,,1A9,
71,1,F,BAO_0000219,9606.0,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,,1A9,
72,1,F,BAO_0000219,9606.0,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,Homo sapiens,,,1A9,
73,1,F,BAO_0000219,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,Homo sapiens,,,1A9,
74,1,F,BAO_0000219,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,Homo sapiens,,,1A9,
75,1,F,BAO_0000219,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,Homo sapiens,,,1A9,
76,1,F,BAO_0000219,9606.0,17721,Inhibitory concentration against Jurkat cells,,,Homo sapiens,,,Jurkat,
77,1,F,BAO_0000019,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,,
78,1,A,BAO_0000357,10116.0,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,Rattus norvegicus,,,,
79,1,B,BAO_0000357,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,
80,1,B,BAO_0000357,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,
81,1,B,BAO_0000357,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,,
82,1,B,BAO_0000251,5476.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,Candida albicans,,,,Microsomes
83,1,B,BAO_0000251,5476.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,Candida albicans,,,,Microsomes
84,1,B,BAO_0000251,4932.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,,,Microsomes
85,1,B,BAO_0000251,4932.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,,,Microsomes
86,1,B,BAO_0000251,9823.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,Sus scrofa,,Liver,,Microsomes
87,1,B,BAO_0000019,10116.0,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,Rattus norvegicus,,,,
88,1,B,BAO_0000019,10116.0,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,Rattus norvegicus,,,,
89,1,B,BAO_0000019,10116.0,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,Rattus norvegicus,,,,
90,1,B,BAO_0000251,10116.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,Rattus norvegicus,,Liver,,Microsomes
91,1,B,BAO_0000251,10116.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,Liver,,Microsomes
92,1,B,BAO_0000251,10116.0,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,Liver,,Microsomes
93,1,B,BAO_0000357,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,,
94,1,B,BAO_0000357,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,,
95,1,F,BAO_0000219,9606.0,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Homo sapiens,,,HepG2,
96,1,F,BAO_0000219,9606.0,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,Homo sapiens,,,HepG2,
97,1,F,BAO_0000219,9606.0,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,Homo sapiens,,,HepG2,
98,1,F,BAO_0000219,9606.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,Homo sapiens,,,HepG2,
99,1,F,BAO_0000219,9606.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,Homo sapiens,,,HepG2,
100,1,F,BAO_0000218,10407.0,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Hepatitis B virus,,,,
101,1,F,BAO_0000219,9606.0,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,Homo sapiens,,,HepG2,
102,1,F,BAO_0000219,9606.0,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,,Homo sapiens,,,HepG2,
103,1,A,BAO_0000219,9606.0,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,Homo sapiens,,,HepG2,
104,1,F,BAO_0000218,9606.0,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,Homo sapiens,,,2.2.15,
105,1,F,BAO_0000218,9606.0,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,Homo sapiens,,,2.2.15,
106,1,F,BAO_0000218,10407.0,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,Hepatitis B virus,,,2.2.15,
107,1,F,BAO_0000218,9606.0,1593,In vitro anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,,2.2.15,
108,1,F,BAO_0000218,9606.0,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,Homo sapiens,,,2.2.15,
109,1,F,BAO_0000218,9606.0,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,Homo sapiens,,,2.2.15,
110,1,F,BAO_0000218,9606.0,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,,2.2.15,
111,1,F,BAO_0000218,9606.0,1593,Cytotoxicity in 2.2.15 cells,,,Homo sapiens,,,2.2.15,
112,1,F,BAO_0000218,9606.0,1593,Cytotoxicity in 2.2.15 cells; Not determined,,,Homo sapiens,,,2.2.15,
113,1,F,BAO_0000218,9606.0,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,Homo sapiens,,,2.2.15,
114,1,F,BAO_0000218,9606.0,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,Homo sapiens,,,2.2.15,
115,1,F,BAO_0000218,9606.0,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,Homo sapiens,,,2.2.15,
116,1,F,BAO_0000219,9606.0,14764,Antiviral activity against HBV was determined in 2.215 cell line,,,Homo sapiens,,,HepG2,
117,1,B,BAO_0000251,9606.0,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,,Homo sapiens,,,,Microsomes
118,1,B,BAO_0000019,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,,
119,1,F,BAO_0000219,9606.0,17072,Inhibitory concentration against 2008 (ovarian) cells,,,Homo sapiens,,,2008,
120,1,F,BAO_0000219,9606.0,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,Homo sapiens,,,2008,
121,1,F,BAO_0000219,9606.0,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,Homo sapiens,,,2008,
122,1,F,BAO_0000219,9606.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,Homo sapiens,,,2008,
123,1,F,BAO_0000219,9606.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,Homo sapiens,,,2008,
124,1,F,BAO_0000219,9606.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,,Homo sapiens,,,2008/R,
125,1,F,BAO_0000219,9606.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,,2008/R,
126,1,F,BAO_0000219,9606.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,,Homo sapiens,,,2008/S,
127,1,F,BAO_0000219,9606.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,,2008/S,
128,1,B,BAO_0000220,9606.0,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,Homo sapiens,,,,
129,1,B,BAO_0000220,9606.0,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,Homo sapiens,,,,
130,1,B,BAO_0000220,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,,
131,1,B,BAO_0000220,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,,
132,1,B,BAO_0000220,,3260,Inhibitory activity against 20S proteosome,,,,,,,
133,1,B,BAO_0000019,9606.0,3451,Compound was tested for inhibitory activity against tryptase,,,Homo sapiens,,,,
134,1,F,BAO_0000219,9606.0,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,,HepG2,
135,1,F,BAO_0000219,9606.0,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,,HepG2,
136,1,B,BAO_0000019,,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,,
137,1,B,BAO_0000357,,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,,
138,1,F,BAO_0000218,10116.0,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,Rattus norvegicus,,Heart,,
139,1,F,BAO_0000019,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,
140,1,F,BAO_0000019,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,
141,1,B,BAO_0000357,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,
142,1,F,BAO_0000019,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,
143,1,F,BAO_0000219,10090.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,Mus musculus,,,P338,
144,1,F,BAO_0000219,10090.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,Mus musculus,,,P338,
145,1,F,BAO_0000219,9606.0,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,Homo sapiens,,,PBL,
146,1,F,BAO_0000019,9940.0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,Ovis aries,,,,
147,1,F,BAO_0000019,9940.0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,Ovis aries,,,,
148,1,B,BAO_0000357,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,,
149,1,F,BAO_0000019,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,Homo sapiens,,,,
150,1,F,BAO_0000019,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,Homo sapiens,,,,
