Fiscal year,Organisation name,Division name,Amount spent,Desertification (marker),Programming process (new),Division ID,Project Browser country ID,Regional program (marker),PBA type,Untied amount(Project-level budget),Participatory development and good governance,FSTC percent,Gender equality (marker),Sector percent,ICT as a tool for development (marker),Branch name,Organisation sub-class,CountryRegion name,Section name,CIDA business delivery model (old),Continent ID,Section ID,Organisation type,Status,Project number,Maximum CIDA contribution (project-level),Branch ID,Fund centre ID,Fund centre name,IRTC percent,CFLI (marker),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker),Biodiversity (marker)
2009/2010,Information not available,OAD Asia Programming,3932.842,0,Uncoded: Pre-APP,D4100,BD,0,Not PBA,8500267.65,0,1.0,2,0.2,0,OGM Asia Pacific,CONSULTANT,Bangladesh,Bangladesh Section,Directive,3,S4122,Canadian Profit Making,Closed,A017716001,8500267.65,B4100,4122,Bangladesh,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,OAD Asia Programming,5899.263000000001,0,Uncoded: Pre-APP,D4100,BD,0,Not PBA,8500267.65,0,1.0,2,0.3,0,OGM Asia Pacific,CONSULTANT,Bangladesh,Bangladesh Section,Directive,3,S4122,Canadian Profit Making,Closed,A017716001,8500267.65,B4100,4122,Bangladesh,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,OAD Asia Programming,9832.105,0,Uncoded: Pre-APP,D4100,BD,0,Not PBA,8500267.65,0,1.0,2,0.5,0,OGM Asia Pacific,CONSULTANT,Bangladesh,Bangladesh Section,Directive,3,S4122,Canadian Profit Making,Closed,A017716001,8500267.65,B4100,4122,Bangladesh,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,EDD Europe-Middle East Programming,20502.06,0,Uncoded: Pre-APP,D3100,PS,0,Not PBA,0.0,0,0.0,0,1.0,0,"EGM Europe, Middle East and Maghreb",FEDERAL,West Bank Gaza,West Bank Gaza & Palestinian Refugees,Directive,3,S4264,Canadian Non-Profit Making,Closed,A018652001,500458.33,B3100,4265,West Bank Gaza,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,14226.985,0,Uncoded: Pre-APP,D4207,ML,0,Not PBA,14410076.46,1,1.0,2,0.5,0,WGM Sub-Saharan Africa,FEDERAL,Mali,Mali Program Section,Responsive,2,S4215,Canadian Non-Profit Making,Closed,A018893001,14410076.46,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,11381.588,0,Uncoded: Pre-APP,D4207,ML,0,Not PBA,14410076.46,1,1.0,2,0.4,0,WGM Sub-Saharan Africa,FEDERAL,Mali,Mali Program Section,Responsive,2,S4215,Canadian Non-Profit Making,Closed,A018893001,14410076.46,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,2845.397,0,Uncoded: Pre-APP,D4207,ML,0,Not PBA,14410076.46,1,1.0,2,0.1,0,WGM Sub-Saharan Africa,FEDERAL,Mali,Mali Program Section,Responsive,2,S4215,Canadian Non-Profit Making,Closed,A018893001,14410076.46,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,142315.2,0,Uncoded: Pre-APP,D4100,PK,0,Not PBA,13743220.56,1,1.0,0,0.4,0,OGM Asia Pacific,FEDERAL,Pakistan,"OAA Afghanistan, Pakistan and Sri Lanka",Responsive,3,S4141,Canadian Non-Profit Making,Closed,A019043001,13743220.56,B4100,4124,Pakistan,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,142315.2,0,Uncoded: Pre-APP,D4100,PK,0,Not PBA,13743220.56,1,1.0,0,0.4,0,OGM Asia Pacific,FEDERAL,Pakistan,"OAA Afghanistan, Pakistan and Sri Lanka",Responsive,3,S4141,Canadian Non-Profit Making,Closed,A019043001,13743220.56,B4100,4124,Pakistan,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,71157.6,0,Uncoded: Pre-APP,D4100,PK,0,Not PBA,13743220.56,1,1.0,0,0.2,0,OGM Asia Pacific,FEDERAL,Pakistan,"OAA Afghanistan, Pakistan and Sri Lanka",Responsive,3,S4141,Canadian Non-Profit Making,Closed,A019043001,13743220.56,B4100,4124,Pakistan,0.0,0,1,0,0,0,0,0
2009/2010,DEVPAR FINANCIAL CONSULTING LTD,NDD Americas Programming,13163.27,0,Uncoded: Pre-APP,D4400,JM,0,Not PBA,3441416.83,0,1.0,0,1.0,1,NGM Americas,CONSULTING SERVICES,Jamaica,Caricom - Adm,Responsive,1,S4429,Canadian Profit Making,Closed,A019362001,3441416.83,B4400,4439,Caribbean Regional - Jamaica,0.0,0,1,0,0,0,0,0
2009/2010,MM LYNCH CONSULTANTS INTERNATIONAL,NDD Americas Programming,7256.25,0,Uncoded: Pre-APP,D4400,JM,0,Not PBA,3441416.83,0,1.0,0,1.0,1,NGM Americas,CONSULTING SERVICES,Jamaica,Caricom - Adm,Responsive,1,S4429,Canadian Profit Making,Closed,A019362001,3441416.83,B4400,4439,Caribbean Regional - Jamaica,0.0,0,1,0,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,73931.99,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.2,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,18482.9975,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.05,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,18482.9975,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.05,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,18482.9975,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.05,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,92414.9875,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.25,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,55448.9925,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.15,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,18482.9975,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.05,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
