assay_id,assay_tissue,variant_id,src_assay_id,assay_cell_type,chembl_id,assay_type,bao_format,assay_strain,assay_category,confidence_score,doc_id,description,assay_test_type,assay_organism,assay_tax_id,assay_subcellular_fraction
1,,,,,CHEMBL615117,B,BAO_0000019,,,8,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,
2,,,,,CHEMBL615118,F,BAO_0000219,,,0,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,
3,,,,,CHEMBL615119,B,BAO_0000019,,,0,15453,,,,,
4,,,,,CHEMBL615120,B,BAO_0000249,,,4,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,9913.0,
5,,,,143B,CHEMBL615121,F,BAO_0000219,,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,
6,,,,143B,CHEMBL615122,F,BAO_0000219,,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,
7,,,,143B,CHEMBL615123,F,BAO_0000219,,,1,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,10090.0,
8,,,,143B,CHEMBL615124,F,BAO_0000219,,,1,17774,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,9606.0,
9,,,,143B,CHEMBL615125,F,BAO_0000219,,,1,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,9606.0,
10,,,,143B,CHEMBL615126,F,BAO_0000219,,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,
11,,,,143B,CHEMBL615127,F,BAO_0000219,,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,
12,,,,143B,CHEMBL615128,F,BAO_0000219,,,1,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,9606.0,
13,,,,,CHEMBL857900,F,BAO_0000218,,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,
