Fiscal year,CIDA business delivery model (old),CountryRegion ID,Biodiversity (marker),Organisation name,Division ID,Programming process (new),Division name,Continent ID,Section ID,Project number,Trade development (marker),Branch name,Continent name,CountryRegion percent,Status,Maximum CIDA contribution (project-level),Branch ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Directive,BD,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4122,A017716001,0,OGM Asia Pacific,Asia,1.0,Closed,8500267.65,B4100,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,BD,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4122,A017716001,0,OGM Asia Pacific,Asia,1.0,Closed,8500267.65,B4100,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,BD,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4122,A017716001,0,OGM Asia Pacific,Asia,1.0,Closed,8500267.65,B4100,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,PS,0,Department of Foreign Affairs and International Trade,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,3,S4264,A018652001,0,"EGM Europe, Middle East and Maghreb",Asia,1.0,Closed,500458.33,B3100,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,0.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Responsive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A018893001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,14410076.46,B4200,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A018893001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,14410076.46,B4200,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A018893001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,14410076.46,B4200,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,PK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A019043001,0,OGM Asia Pacific,Asia,1.0,Closed,13743220.56,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,PK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A019043001,0,OGM Asia Pacific,Asia,1.0,Closed,13743220.56,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,PK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A019043001,0,OGM Asia Pacific,Asia,1.0,Closed,13743220.56,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Responsive,JM,0,DEVPAR FINANCIAL CONSULTING LTD,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4429,A019362001,0,NGM Americas,America,1.0,Closed,3441416.83,B4400,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Responsive,JM,0,MM LYNCH CONSULTANTS INTERNATIONAL,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4429,A019362001,0,NGM Americas,America,1.0,Closed,3441416.83,B4400,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
