city_id,country_id,city
1,87,A Coruña (La Coruña)
2,82,Abha
3,101,Abu Dhabi
4,60,Acuña
5,97,Adana
6,31,Addis Abeba
7,107,Aden
8,44,Adoni
9,44,Ahmadnagar
10,50,Akishima
11,103,Akron
12,101,al-Ayn
13,82,al-Hawiya
14,11,al-Manama
15,89,al-Qadarif
16,82,al-Qatif
17,49,Alessandria
18,44,Allappuzha (Alleppey)
19,60,Allende
20,6,Almirante Brown
21,15,Alvorada
22,44,Ambattur
23,67,Amersfoort
24,44,Amroha
25,15,Angra dos Reis
26,15,Anápolis
27,22,Antofagasta
28,15,Aparecida de Goiânia
29,67,Apeldoorn
30,15,Araçatuba
31,46,Arak
32,77,Arecibo
33,103,Arlington
34,48,Ashdod
35,98,Ashgabat
36,48,Ashqelon
37,73,Asunción
38,39,Athenai
39,80,Atšinsk
40,60,Atlixco
41,103,Augusta-Richmond County
42,103,Aurora
43,6,Avellaneda
44,15,Bagé
45,6,Bahía Blanca
46,23,Baicheng
47,23,Baiyin
48,10,Baku
49,80,Balašiha
50,97,Balikesir
51,44,Balurghat
52,19,Bamenda
53,16,Bandar Seri Begawan
54,37,Banjul
55,104,Barcelona
56,91,Basel
57,48,Bat Yam
58,97,Batman
59,2,Batna
60,18,Battambang
61,75,Baybay
62,75,Bayugan
63,2,Béchar
64,63,Beira
65,103,Bellevue
66,15,Belém
67,4,Benguela
68,62,Beni-Mellal
69,69,Benin City
70,49,Bergamo
71,44,Berhampore (Baharampur)
72,91,Bern
73,44,Bhavnagar
74,44,Bhilwara
75,44,Bhimavaram
76,44,Bhopal
77,44,Bhusawal
78,44,Bijapur
79,29,Bilbays
80,23,Binzhou
81,66,Birgunj
82,75,Bislig
83,15,Blumenau
84,15,Boa Vista
85,85,Boksburg
86,78,Botosani
87,85,Botshabelo
88,102,Bradford
89,15,Brasília
90,84,Bratislava
91,49,Brescia
92,34,Brest
93,49,Brindisi
94,103,Brockton
95,78,Bucuresti
96,24,Buenaventura
97,76,Bydgoszcz
98,75,Cabuyao
99,74,Callao
100,105,Cam Ranh
101,103,Cape Coral
102,104,Caracas
103,60,Carmen
104,75,Cavite
105,35,Cayenne
106,60,Celaya
107,44,Chandrapur
108,92,Changhwa
109,23,Changzhou
110,44,Chapra
111,106,Charlotte Amalie
112,85,Chatsworth
113,86,Cheju
114,92,Chiayi
115,61,Chisinau
116,92,Chungho
117,45,Cianjur
118,45,Ciomas
119,45,Ciparay
120,103,Citrus Heights
121,41,Città del Vaticano
122,73,Ciudad del Este
123,103,Clarksville
124,60,Coacalco de Berriozábal
125,60,Coatzacoalcos
126,103,Compton
127,22,Coquimbo
128,6,Córdoba
129,60,Cuauhtémoc
130,60,Cuautla
131,60,Cuernavaca
132,104,Cumaná
133,76,Czestochowa
134,72,Dadu
135,103,Dallas
136,23,Datong
137,54,Daugavpils
138,75,Davao
139,23,Daxian
140,103,Dayton
141,69,Deba Habe
142,97,Denizli
143,12,Dhaka
144,44,Dhule (Dhulia)
145,23,Dongying
146,87,Donostia-San Sebastián
147,24,Dos Quebradas
148,38,Duisburg
149,102,Dundee
150,80,Dzerzinsk
151,67,Ede
152,69,Effon-Alaiye
153,14,El Alto
154,60,El Fuerte
155,103,El Monte
156,80,Elista
157,23,Emeishan
158,67,Emmen
159,23,Enshi
160,38,Erlangen
161,6,Escobar
162,46,Esfahan
163,97,Eskisehir
164,44,Etawah
165,6,Ezeiza
166,23,Ezhou
167,36,Faaa
168,92,Fengshan
169,44,Firozabad
170,24,Florencia
171,103,Fontana
172,50,Fukuyama
173,99,Funafuti
174,23,Fuyu
175,23,Fuzhou
176,44,Gandhinagar
177,103,Garden Grove
178,103,Garland
179,20,Gatineau
180,97,Gaziantep
181,87,Gijón
182,75,Gingoog
183,15,Goiânia
184,45,Gorontalo
185,103,Grand Prairie
186,9,Graz
187,103,Greensboro
188,60,Guadalajara
189,15,Guarujá
190,15,Águas Lindas de Goiás
191,44,Gulbarga
192,75,Hagonoy
193,23,Haining
194,105,Haiphong
195,44,Haldia
196,20,Halifax
197,44,Halisahar
198,38,Halle/Saale
199,23,Hami
200,68,Hamilton
201,105,Hanoi
202,60,Hidalgo
203,50,Higashiosaka
204,50,Hino
205,50,Hiroshima
206,107,Hodeida
207,23,Hohhot
208,44,Hoshiarpur
209,92,Hsichuh
210,23,Huai´an
211,44,Hubli-Dharwad
212,60,Huejutla de Reyes
213,60,Huixquilucan
214,74,Huánuco
215,15,Ibirité
216,29,Idfu
217,69,Ife
218,69,Ikerre
219,75,Iligan
220,69,Ilorin
221,75,Imus
222,97,Inegöl
223,59,Ipoh
224,50,Isesaki
225,80,Ivanovo
226,50,Iwaki
227,50,Iwakuni
228,50,Iwatsuki
229,50,Izumisano
230,88,Jaffna
231,44,Jaipur
232,45,Jakarta
233,53,Jalib al-Shuyukh
234,12,Jamalpur
235,80,Jaroslavl
236,76,Jastrzebie-Zdrój
237,82,Jedda
238,80,Jelets
239,44,Jhansi
240,23,Jinchang
241,23,Jining
242,23,Jinzhou
243,44,Jodhpur
244,85,Johannesburg
245,103,Joliet
246,60,José Azueta
247,15,Juazeiro do Norte
248,15,Juiz de Fora
249,23,Junan
250,60,Juárez
251,1,Kabul
252,69,Kaduna
253,50,Kakamigahara
254,80,Kaliningrad
255,76,Kalisz
256,50,Kamakura
257,44,Kamarhati
258,100,Kamjanets-Podilskyi
259,80,Kamyšin
260,50,Kanazawa
261,44,Kanchrapara
262,103,Kansas City
263,44,Karnal
264,44,Katihar
265,46,Kermanshah
266,97,Kilis
267,85,Kimberley
268,86,Kimchon
269,81,Kingstown
270,80,Kirovo-Tšepetsk
271,52,Kisumu
272,109,Kitwe
273,85,Klerksdorp
274,80,Kolpino
275,100,Konotop
276,50,Koriyama
277,23,Korla
278,80,Korolev
