length,rental_duration,rental_rate,release_year,description,original_language_id,language,title,replacement_cost,film_id,rating
86,6,0.99,2006,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,,English,ACADEMY DINOSAUR,20.99,1,PG
48,3,4.99,2006,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,,English,ACE GOLDFINGER,12.99,2,G
50,7,2.99,2006,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,,English,ADAPTATION HOLES,18.99,3,NC-17
117,5,2.99,2006,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,,English,AFFAIR PREJUDICE,26.99,4,G
130,6,2.99,2006,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,,English,AFRICAN EGG,22.99,5,G
169,3,2.99,2006,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,,English,AGENT TRUMAN,17.99,6,PG
62,6,4.99,2006,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,,English,AIRPLANE SIERRA,28.99,7,PG-13
54,6,4.99,2006,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,,English,AIRPORT POLLOCK,15.99,8,R
114,3,2.99,2006,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,,English,ALABAMA DEVIL,21.99,9,PG-13
63,6,4.99,2006,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,,English,ALADDIN CALENDAR,24.99,10,NC-17
126,6,0.99,2006,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,,English,ALAMO VIDEOTAPE,16.99,11,G
136,6,0.99,2006,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,,English,ALASKA PHANTOM,22.99,12,PG
150,4,4.99,2006,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,,English,ALI FOREVER,21.99,13,PG
94,6,0.99,2006,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,,English,ALICE FANTASIA,23.99,14,NC-17
