rating,release_year,description,rental_duration,title,film_id,length,language_id,rental_rate,original_language_id,replacement_cost
PG,2006,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,6,ACADEMY DINOSAUR,1,86,1,0.99,,20.99
G,2006,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,3,ACE GOLDFINGER,2,48,1,4.99,,12.99
NC-17,2006,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,7,ADAPTATION HOLES,3,50,1,2.99,,18.99
G,2006,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,5,AFFAIR PREJUDICE,4,117,1,2.99,,26.99
G,2006,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,6,AFRICAN EGG,5,130,1,2.99,,22.99
PG,2006,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,3,AGENT TRUMAN,6,169,1,2.99,,17.99
PG-13,2006,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,6,AIRPLANE SIERRA,7,62,1,4.99,,28.99
R,2006,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,6,AIRPORT POLLOCK,8,54,1,4.99,,15.99
PG-13,2006,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,3,ALABAMA DEVIL,9,114,1,2.99,,21.99
NC-17,2006,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,6,ALADDIN CALENDAR,10,63,1,4.99,,24.99
G,2006,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,6,ALAMO VIDEOTAPE,11,126,1,0.99,,16.99
PG,2006,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,6,ALASKA PHANTOM,12,136,1,0.99,,22.99
