assay_id,assay_test_type,variant_id,bao_format,assay_cell_type,src_id,curated_by,src_assay_id,tid,cell_id,assay_strain,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id
1,,,fAO0090019,,1,Autlcurarion,,12052,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,
2,,,BAOp090219,,1,Autpcurztion,,22226,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,
3,,,BAO009p019,,1,Autofutation,,22226,,,15453,,B,,,
4,,,BAO000025p,,1,sutoxuration,,104729,,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,9913.0
5,,,BAOo00p219,143B,1,9nte5mediate,,80001,904.0,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0
6,,,BqO0000119,143B,1,Inte3jediate,,80001,1136.0,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0
7,,,nwO0000219,143B,1,Inyermediat4,,80001,121.0,,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,10090.0
8,,,BAO0900119,143B,1,3xpert,,80001,1074.0,,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,9606.0
9,,,BA00900219,143B,1,Ijtermedjate,,80001,764.0,,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,9606.0
10,,,BAO000o21o,143B,1,Internedjate,,80001,749.0,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0
11,,,BAO00pp219,143B,1,Ihtrrmediate,,80001,760.0,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0
12,,,BAO000o21o,143B,1,Exper4,,80001,945.0,,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,9606.0
13,,,hAO000o218,,1,kntermedia5e,,50185,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0
14,,,BAOp0002w8,,1,Intermes8ate,,50185,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0
15,,,nwO0000218,,1,Imternediate,,50185,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0
16,,,BsO00002w8,,1,Interhexiate,,50185,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0
17,,,BAO0o003t7,,1,4xpert,,100122,,,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,10116.0
18,,,BAOo000457,,1,zufocuration,,12054,,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
19,,,BAO000p018,,1,A7tlcuration,,12054,,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,
20,,,fAO000035u,,1,xutocuratjon,,12054,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
21,,,BAO000p356,,1,Autpcugation,,12054,,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
22,,,BAO90003r7,,1,Au4ocuratiln,,12054,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
23,,,BAO90003y7,,1,Autocurati8m,,12054,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
24,,,BAO00o0367,,1,Autpc8ration,,12054,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
25,,,BA90p00219,,1,A7toc6ration,,22226,,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,
26,,,BAO0o00e57,,1,Au4ocuratiog,,12054,,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,9986.0
27,,,BsO0000367,,1,Au5ofuration,,12054,,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,9986.0
28,,,BAO0009229,,1,Autocurstjon,,12426,,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,
