assays_RELATITY,assays_ASSSUBCELFR,assays_T,assays_CEI,assays_ASSTR,assays_ASSTT,assays_DOI,assays_ASSTIS,assays_ASOR,assays_ASSCA,assays_BFOR,assays_SRASI,assays_Des,assays_CHEI,assays_ASTAI,assays_ASSI,assays_ASST,assays_SI,assays_CUB,assays_ASCTY,assays_VARI,assays_TISI,assays_CONSCO
N,,50597,,,In vivo,9866,Kidney,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618647,10116.0,7524,A,1,Intermediate,,,2113.0,1
N,,50597,,,In vivo,9866,Kidney,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618648,10116.0,7525,A,1,Intermediate,,,2113.0,1
N,,50597,,,In vivo,9866,Kidney,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL618649,10116.0,7526,A,1,Intermediate,,,2113.0,1
N,,50597,,,In vivo,9866,Liver,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618650,10116.0,7527,A,1,Intermediate,,,2107.0,1
N,,50597,,,In vivo,9866,Liver,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618651,10116.0,7528,A,1,Intermediate,,,2107.0,1
N,,50597,,,In vivo,9866,Liver,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL876497,10116.0,7529,A,1,Intermediate,,,2107.0,1
N,,50597,,,In vivo,9866,Lung,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,CHEMBL618652,10116.0,7530,A,1,Intermediate,,,2048.0,1
N,,50597,,,In vivo,9866,Lung,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,CHEMBL618653,10116.0,7531,A,1,Intermediate,,,2048.0,1
N,,50597,,,In vivo,9866,Lung,Rattus norvegicus,,BAO_0000218,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,CHEMBL618654,10116.0,7532,A,1,Intermediate,,,2048.0,1
N,,50597,,,,6351,,Rattus norvegicus,,BAO_0000218,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,CHEMBL618655,10116.0,7533,A,1,Intermediate,,,,1
N,,50597,,,,1465,,Rattus norvegicus,,BAO_0000218,,Compound was tested for solubility in water,CHEMBL618656,10116.0,7534,A,1,Intermediate,,,,1
U,,22229,,,,5182,,,,BAO_0000100,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),CHEMBL618657,,7535,P,1,Intermediate,,,,0
N,,50597,,,,17847,,Rattus norvegicus,,BAO_0000218,,Solubility was determined,CHEMBL618658,10116.0,7536,A,1,Intermediate,,,,1
N,,50597,,,,15339,,Rattus norvegicus,,BAO_0000218,,solubility in water (ug/mL) at 37 degree C.,CHEMBL618659,10116.0,7537,A,1,Intermediate,,,,1
N,,50597,,,,5202,,Rattus norvegicus,,BAO_0000218,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,CHEMBL618660,10116.0,7538,A,1,Intermediate,,,,1
N,,50597,,,,1088,,Rattus norvegicus,,BAO_0000218,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,CHEMBL618661,10116.0,7539,A,1,Intermediate,,,,1
