Fiscal year,Section ID,CountryRegion name,Organisation name,Knowledge for development (marker),Trade development (marker),Organisation class,CountryRegion percent,Youth issues (marker),Continent ID,Bilateral aid (international marker),CFLI (marker),Branch name,Regional program (marker),Urban issues (marker),PBA type,Desertification (marker),Maximum CIDA contribution (project-level),Children issues (marker),Division ID,Continent name,Status,Project number,CIDA business delivery model (old),Division name,Project Browser country ID,Branch ID,Sector percent,Participatory development and good governance,Organisation type,Disability issues (marker),Gender equality (marker),Section name,Biodiversity (marker),Programming process (new),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,S4122,Bangladesh,Information not available,0,0,Individual,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,8500267.65,0,D4100,Asia,Closed,A017716001,Directive,OAD Asia Programming,BD,B4100,0.2,0,Canadian Profit Making,0,2,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,8500267.65,1.0,0.0,0,0,0
2009/2010,S4122,Bangladesh,Information not available,0,0,Individual,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,8500267.65,0,D4100,Asia,Closed,A017716001,Directive,OAD Asia Programming,BD,B4100,0.3,0,Canadian Profit Making,0,2,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,8500267.65,1.0,0.0,0,0,0
2009/2010,S4122,Bangladesh,Information not available,0,0,Individual,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,8500267.65,0,D4100,Asia,Closed,A017716001,Directive,OAD Asia Programming,BD,B4100,0.5,0,Canadian Profit Making,0,2,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,8500267.65,1.0,0.0,0,0,0
2009/2010,S4264,West Bank Gaza,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,500458.33,0,D3100,Asia,Closed,A018652001,Directive,EDD Europe-Middle East Programming,PS,B3100,1.0,0,Canadian Non-Profit Making,0,0,West Bank Gaza & Palestinian Refugees,0,Uncoded: Pre-APP,4265,West Bank Gaza,0.0,0.0,0.0,0,0,0
2009/2010,S4215,Mali,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,1,Not PBA,0,14410076.46,0,D4207,Africa,Closed,A018893001,Responsive,WWD West & Central Africa,ML,B4200,0.5,1,Canadian Non-Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,14410076.46,1.0,0.0,0,0,0
2009/2010,S4215,Mali,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,1,Not PBA,0,14410076.46,0,D4207,Africa,Closed,A018893001,Responsive,WWD West & Central Africa,ML,B4200,0.4,1,Canadian Non-Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,14410076.46,1.0,0.0,0,0,0
2009/2010,S4215,Mali,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,1,Not PBA,0,14410076.46,0,D4207,Africa,Closed,A018893001,Responsive,WWD West & Central Africa,ML,B4200,0.1,1,Canadian Non-Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,14410076.46,1.0,0.0,0,0,0
2009/2010,S4141,Pakistan,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13743220.56,0,D4100,Asia,Closed,A019043001,Responsive,OAD Asia Programming,PK,B4100,0.4,1,Canadian Non-Profit Making,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4124,Pakistan,13743220.56,1.0,0.0,0,0,0
2009/2010,S4141,Pakistan,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13743220.56,0,D4100,Asia,Closed,A019043001,Responsive,OAD Asia Programming,PK,B4100,0.4,1,Canadian Non-Profit Making,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4124,Pakistan,13743220.56,1.0,0.0,0,0,0
2009/2010,S4141,Pakistan,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13743220.56,0,D4100,Asia,Closed,A019043001,Responsive,OAD Asia Programming,PK,B4100,0.2,1,Canadian Non-Profit Making,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4124,Pakistan,13743220.56,1.0,0.0,0,0,0
