description,curated_by,variant_id,cell_id,assay_tax_id,assay_subcellular_fraction,src_assay_id,assay_id,chembl_id,assay_tissue,confidence_score,src_id,assay_category,bao_format,assay_test_type,assay_organism,doc_id,tid,assay_type,relationship_type,assay_cell_type,tissue_id,assay_strain
The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,Autocuration,,,,,,1,CHEMBL615117,,8,1,,BAO_0000019,,,11087,12052,B,H,,,
Compound was evaluated for its ability to mobilize calcium in 1321NI cells,Autocuration,,,,,,2,CHEMBL615118,,0,1,,BAO_0000219,,,684,22226,F,U,,,
,Autocuration,,,,,,3,CHEMBL615119,,0,1,,BAO_0000019,,,15453,22226,B,U,,,
Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Autocuration,,,9913.0,,,4,CHEMBL615120,,4,1,,BAO_0000249,,Bos taurus,17841,104729,B,H,,,
In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,,163.0,9606.0,,,5,CHEMBL615121,,1,1,,BAO_0000219,,Homo sapiens,17430,80001,F,N,143B,,
In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,,163.0,9606.0,,,6,CHEMBL615122,,1,1,,BAO_0000219,,Homo sapiens,17430,80001,F,N,143B,,
Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Intermediate,,163.0,10090.0,,,7,CHEMBL615123,,1,1,,BAO_0000219,,Mus musculus,13799,80001,F,N,143B,,
In vitro cell cytotoxicity was determined against 143B cell line,Expert,,163.0,9606.0,,,8,CHEMBL615124,,1,1,,BAO_0000219,,Homo sapiens,17774,80001,F,N,143B,,
Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Intermediate,,163.0,9606.0,,,9,CHEMBL615125,,1,1,,BAO_0000219,,Homo sapiens,3801,80001,F,N,143B,,
In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,,163.0,9606.0,,,10,CHEMBL615126,,1,1,,BAO_0000219,,Homo sapiens,17430,80001,F,N,143B,,
In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,,163.0,9606.0,,,11,CHEMBL615127,,1,1,,BAO_0000219,,Homo sapiens,17430,80001,F,N,143B,,
In vitro cell cytotoxicity was determined against 143B-LTK cell line,Expert,,163.0,9606.0,,,12,CHEMBL615128,,1,1,,BAO_0000219,,Homo sapiens,17774,80001,F,N,143B,,
"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,1280.0,,,13,CHEMBL857900,,1,1,,BAO_0000218,,Staphylococcus aureus,11324,50185,F,N,,,
"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,1280.0,,,14,CHEMBL615129,,1,1,,BAO_0000218,,Staphylococcus aureus,11324,50185,F,N,,,
"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,1280.0,,,15,CHEMBL615130,,1,1,,BAO_0000218,,Staphylococcus aureus,11324,50185,F,N,,,
"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,,1280.0,,,16,CHEMBL615131,,1,1,,BAO_0000218,,Staphylococcus aureus,11324,50185,F,N,,,
Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Expert,,,10116.0,,,17,CHEMBL884521,,9,1,,BAO_0000357,,Rattus norvegicus,11347,100122,A,D,,,
Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,,18,CHEMBL615132,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
Inhibition of partially purified 15-lipoxygenase from human leukocytes,Autocuration,,,,,,19,CHEMBL615133,,8,1,,BAO_0000019,,,10091,12054,B,H,,,
Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,,20,CHEMBL615134,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,,21,CHEMBL615135,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
