cell_id,assay_cell_type,doc_id,assay_organism,confidence_score,assay_type,assay_tax_id,assay_subcellular_fraction,relationship_type,tid,assay_strain,variant_id,assay_id,chembl_id,curated_by,assay_tissue,src_assay_id,bao_format,description,assay_category,tissue_id,assay_test_type,src_id
,,11087,,8,B,,,H,12052,,,1,CHEMBL615117,Autocuration,,,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,1
,,684,,0,F,,,U,22226,,,2,CHEMBL615118,Autocuration,,,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,1
,,15453,,0,B,,,U,22226,,,3,CHEMBL615119,Autocuration,,,BAO_0000019,,,,,1
,,17841,Bos taurus,4,B,9913.0,,H,104729,,,4,CHEMBL615120,Autocuration,,,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,1
163.0,143B,17430,Homo sapiens,1,F,9606.0,,N,80001,,,5,CHEMBL615121,Intermediate,,,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,1
163.0,143B,17430,Homo sapiens,1,F,9606.0,,N,80001,,,6,CHEMBL615122,Intermediate,,,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,1
163.0,143B,13799,Mus musculus,1,F,10090.0,,N,80001,,,7,CHEMBL615123,Intermediate,,,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,,1
163.0,143B,17774,Homo sapiens,1,F,9606.0,,N,80001,,,8,CHEMBL615124,Expert,,,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,,,,1
163.0,143B,3801,Homo sapiens,1,F,9606.0,,N,80001,,,9,CHEMBL615125,Intermediate,,,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,,1
163.0,143B,17430,Homo sapiens,1,F,9606.0,,N,80001,,,10,CHEMBL615126,Intermediate,,,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,1
163.0,143B,17430,Homo sapiens,1,F,9606.0,,N,80001,,,11,CHEMBL615127,Intermediate,,,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,1
163.0,143B,17774,Homo sapiens,1,F,9606.0,,N,80001,,,12,CHEMBL615128,Expert,,,BAO_0000219,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,,1
,,11324,Staphylococcus aureus,1,F,1280.0,,N,50185,,,13,CHEMBL857900,Intermediate,,,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,1
,,11324,Staphylococcus aureus,1,F,1280.0,,N,50185,,,14,CHEMBL615129,Intermediate,,,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,1
,,11324,Staphylococcus aureus,1,F,1280.0,,N,50185,,,15,CHEMBL615130,Intermediate,,,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,1
,,11324,Staphylococcus aureus,1,F,1280.0,,N,50185,,,16,CHEMBL615131,Intermediate,,,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,1
,,11347,Rattus norvegicus,9,A,10116.0,,D,100122,,,17,CHEMBL884521,Expert,,,BAO_0000357,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,1
,,16474,,8,B,,,H,12054,,,18,CHEMBL615132,Autocuration,,,BAO_0000357,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,1
,,10091,,8,B,,,H,12054,,,19,CHEMBL615133,Autocuration,,,BAO_0000019,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,1
,,16474,,8,B,,,H,12054,,,20,CHEMBL615134,Autocuration,,,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,1
,,16474,,8,B,,,H,12054,,,21,CHEMBL615135,Autocuration,,,BAO_0000357,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,1
,,16474,,8,B,,,H,12054,,,22,CHEMBL615136,Autocuration,,,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,1
,,16474,,8,B,,,H,12054,,,23,CHEMBL615137,Autocuration,,,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,1
,,16474,,8,B,,,H,12054,,,24,CHEMBL615138,Autocuration,,,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,1
,,14352,,0,B,,,U,22226,,,25,CHEMBL836324,Autocuration,,,BAO_0000219,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,1
,,5646,Oryctolagus cuniculus,8,B,9986.0,,H,12054,,,26,CHEMBL615139,Autocuration,,,BAO_0000357,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,1
,,5646,Oryctolagus cuniculus,8,B,9986.0,,H,12054,,,27,CHEMBL615140,Autocuration,,,BAO_0000357,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,,1
,,10997,,8,B,,,H,12426,,,28,CHEMBL615141,Autocuration,,,BAO_0000219,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,1
,,6309,soya bean,8,B,3847.0,,H,12054,,,29,CHEMBL615142,Autocuration,,,BAO_0000357,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,1
,,167,Glycine max,8,B,3847.0,,H,12054,,,30,CHEMBL615143,Autocuration,,,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,,1
,,167,Glycine max,8,B,3847.0,,H,12054,,,31,CHEMBL615144,Autocuration,,,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,,1
,,11087,Glycine max,8,B,3847.0,,H,12054,,,32,CHEMBL872867,Autocuration,,,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,,1
,,11087,Glycine max,8,B,3847.0,,H,12054,,,33,CHEMBL615145,Autocuration,,,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,,1
,,13622,Glycine max,8,B,3847.0,,H,12054,,,34,CHEMBL615146,Autocuration,,,BAO_0000357,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,1
,,13622,Glycine max,8,B,3847.0,,H,12054,,,35,CHEMBL615147,Autocuration,,,BAO_0000357,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,1
,,11347,Rattus norvegicus,0,A,10116.0,,U,22226,,,36,CHEMBL615148,Autocuration,,,BAO_0000019,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,,1
,,5926,Escherichia coli,0,B,562.0,,U,22226,,,37,CHEMBL615149,Autocuration,,,BAO_0000019,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,,1
,,4567,,0,B,,,U,22226,,,38,CHEMBL615150,Autocuration,,,BAO_0000019,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,1
,,3782,,3,B,,,M,22222,,,39,CHEMBL615151,Intermediate,,,BAO_0000225,Dissociation constant towards 16S rRNA construct A,,,,1
,,3782,,3,B,,,M,22222,,,40,CHEMBL615152,Intermediate,,,BAO_0000225,Dissociation constant towards 16S rRNA construct B,,,,1
,,4466,Escherichia coli,3,B,562.0,,M,100263,,,41,CHEMBL615153,Expert,,,BAO_0000225,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,1
,,6592,Escherichia coli,3,B,562.0,,M,100263,,,42,CHEMBL615154,Expert,,,BAO_0000225,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,,1
,,898,,8,B,,,H,13053,,,43,CHEMBL615155,Autocuration,,,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,1
,,898,,8,B,,,H,13053,,,44,CHEMBL615156,Autocuration,,,BAO_0000019,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,1
,,13163,Homo sapiens,8,B,9606.0,,H,20001,,,45,CHEMBL615157,Autocuration,,,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,1
,,13163,Homo sapiens,8,B,9606.0,,H,20001,,,46,CHEMBL615158,Autocuration,,,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,1
,,10691,Rattus norvegicus,9,B,10116.0,,D,12971,,,47,CHEMBL615159,Expert,,,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,1
,,10691,Rattus norvegicus,9,B,10116.0,,D,12971,,,48,CHEMBL615172,Expert,,,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,1
,,10691,Rattus norvegicus,9,B,10116.0,,D,12971,,,49,CHEMBL615173,Expert,,,BAO_0000019,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,1
,,10691,Rattus norvegicus,9,B,10116.0,,D,12971,,,50,CHEMBL615174,Expert,,,BAO_0000019,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,1
,,898,,8,B,,,H,13053,,,51,CHEMBL884518,Autocuration,,,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,1
,,912,,8,B,,,H,11512,,,52,CHEMBL615175,Autocuration,,,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,1
,,912,,8,B,,,H,11512,,,53,CHEMBL615176,Autocuration,,,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,1
,,912,,8,B,,,H,11512,,,54,CHEMBL615177,Autocuration,,,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,1
,,15103,Rattus norvegicus,5,B,10116.0,Membranes,D,104740,,,55,CHEMBL615178,Autocuration,,,BAO_0000249,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,1
506.0,1A9,5116,Homo sapiens,1,F,9606.0,,N,80002,,,56,CHEMBL615179,Intermediate,,,BAO_0000219,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,,1
,Oocytes,14578,Rattus norvegicus,7,F,10116.0,,D,104835,,,57,CHEMBL615180,Autocuration,,,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,,1
