ss_sbclllr_frctn,ss_tst_tp,ss_tss,ss_cll_tp,ss_ctgr,cnfdnc_scr,vrnt_d,src_ss_d,rltnshp_tp,td,dc_d,src_d,ss_tx_d,ss_d,ss_strn,b_frmt,ss_rgnsm,tss_d,chmbl_d,ss_tp,cll_d,dscrptn,crtd_b
,In vivo,Kidney,,,1,,,N,50597,9866,1,10116.0,7524,,BAO_0000218,Rattus norvegicus,2113.0,CHEMBL618647,A,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate
,In vivo,Kidney,,,1,,,N,50597,9866,1,10116.0,7525,,BAO_0000218,Rattus norvegicus,2113.0,CHEMBL618648,A,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Intermediate
,In vivo,Kidney,,,1,,,N,50597,9866,1,10116.0,7526,,BAO_0000218,Rattus norvegicus,2113.0,CHEMBL618649,A,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate
,In vivo,Liver,,,1,,,N,50597,9866,1,10116.0,7527,,BAO_0000218,Rattus norvegicus,2107.0,CHEMBL618650,A,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate
,In vivo,Liver,,,1,,,N,50597,9866,1,10116.0,7528,,BAO_0000218,Rattus norvegicus,2107.0,CHEMBL618651,A,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Intermediate
,In vivo,Liver,,,1,,,N,50597,9866,1,10116.0,7529,,BAO_0000218,Rattus norvegicus,2107.0,CHEMBL876497,A,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate
,In vivo,Lung,,,1,,,N,50597,9866,1,10116.0,7530,,BAO_0000218,Rattus norvegicus,2048.0,CHEMBL618652,A,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate
,In vivo,Lung,,,1,,,N,50597,9866,1,10116.0,7531,,BAO_0000218,Rattus norvegicus,2048.0,CHEMBL618653,A,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Intermediate
,In vivo,Lung,,,1,,,N,50597,9866,1,10116.0,7532,,BAO_0000218,Rattus norvegicus,2048.0,CHEMBL618654,A,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate
,,,,,1,,,N,50597,6351,1,10116.0,7533,,BAO_0000218,Rattus norvegicus,,CHEMBL618655,A,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Intermediate
,,,,,1,,,N,50597,1465,1,10116.0,7534,,BAO_0000218,Rattus norvegicus,,CHEMBL618656,A,,Compound was tested for solubility in water,Intermediate
,,,,,0,,,U,22229,5182,1,,7535,,BAO_0000100,,,CHEMBL618657,P,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),Intermediate
,,,,,1,,,N,50597,17847,1,10116.0,7536,,BAO_0000218,Rattus norvegicus,,CHEMBL618658,A,,Solubility was determined,Intermediate
,,,,,1,,,N,50597,15339,1,10116.0,7537,,BAO_0000218,Rattus norvegicus,,CHEMBL618659,A,,solubility in water (ug/mL) at 37 degree C.,Intermediate
,,,,,1,,,N,50597,5202,1,10116.0,7538,,BAO_0000218,Rattus norvegicus,,CHEMBL618660,A,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Intermediate
,,,,,1,,,N,50597,1088,1,10116.0,7539,,BAO_0000218,Rattus norvegicus,,CHEMBL618661,A,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Intermediate
,,,,,1,,,N,50597,3169,1,10116.0,7540,,BAO_0000218,Rattus norvegicus,,CHEMBL873807,A,,Half life in rats,Intermediate
,,,,,1,,,N,50597,5353,1,10116.0,7541,,BAO_0000218,Rattus norvegicus,,CHEMBL618662,A,,Half life in Dawley rat,Intermediate
,In vivo,,,,1,,,N,50597,2864,1,10116.0,7542,,BAO_0000218,Rattus norvegicus,,CHEMBL618663,A,,Half life period after 3 mg/kg iv administration,Intermediate
,In vivo,,,,1,,,N,50597,2864,1,10116.0,7543,,BAO_0000218,Rattus norvegicus,,CHEMBL618664,A,,Half life period after 3 mg/kg iv administration in rat,Intermediate
,In vivo,,,,1,,,N,50597,2864,1,10116.0,7544,,BAO_0000218,Rattus norvegicus,,CHEMBL618665,A,,Half life period after 3 mg/kg iv administration in the rat,Intermediate
,,,,,1,,,N,50597,6362,1,10116.0,7545,,BAO_0000218,Rattus norvegicus,,CHEMBL876498,A,,Half life period in female Sprague-Dawley rats,Intermediate
,,,,,1,,,N,50597,6249,1,10116.0,7546,,BAO_0000218,Rattus norvegicus,,CHEMBL618666,A,,Half life period in rat,Intermediate
,,,,,1,,,N,50597,3169,1,10116.0,7547,,BAO_0000218,Rattus norvegicus,,CHEMBL620440,A,,Half-life in rats was determined,Intermediate
,,,,,1,,,N,50597,3169,1,10116.0,7548,,BAO_0000218,Rattus norvegicus,,CHEMBL620441,A,,Half-life in rats with metabolic oxidation,Intermediate
,,,,,1,,,N,50597,3169,1,10116.0,7549,,BAO_0000218,Rattus norvegicus,,CHEMBL620442,A,,Half-life in rats,Intermediate
,In vivo,,,,1,,,N,50597,17260,1,10116.0,7550,,BAO_0000218,Rattus norvegicus,,CHEMBL620443,A,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate
,In vivo,,,,1,,,N,50597,17260,1,10116.0,7551,,BAO_0000218,Rattus norvegicus,,CHEMBL620444,A,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate
,In vivo,,,,1,,,N,50597,17260,1,10116.0,7552,,BAO_0000218,Rattus norvegicus,,CHEMBL620445,A,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate
,In vivo,,,,1,,,N,50597,17260,1,10116.0,7553,,BAO_0000218,Rattus norvegicus,,CHEMBL620446,A,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate
