assay_id,assay_subcellular_fraction,doc_id,assay_category,assay_tax_id,assay_cell_type,assay_tissue,assay_type,assay_strain,bao_format,tissue_id,description,assay_test_type,assay_organism,tid,relationship_type,confidence_score
1,,11087,,,,,B,,BAO090o019,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,12052,H,8
2,,684,,,,,F,,BAO9900219,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,22226,U,0
3,,15453,,,,,B,,BAO0o0001o,,,,,22226,U,0
4,,17841,,30777.0,,,B,,BwO00o0249,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,104729,H,4
5,,17430,,33205.0,143B,,F,,BAO9009219,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,80001,N,1
6,,17430,,20534.0,143B,,F,,BAO0p00218,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,80001,N,1
7,,13799,,12064.0,143B,,F,,BAO000p2w9,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,80001,N,1
8,,17774,,36685.0,143B,,F,,BAO0p0021i,,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,80001,N,1
9,,3801,,4840.0,143B,,F,,hAO00002w9,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,80001,N,1
10,,17430,,39441.0,143B,,F,,BqOp000219,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,80001,N,1
11,,17430,,21149.0,143B,,F,,BAOp0002q9,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,80001,N,1
12,,17774,,12948.0,143B,,F,,BAk000o219,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,80001,N,1
13,,11324,,34427.0,,,F,,BAOo090218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,50185,N,1
