assays_ss_d,assays_tss_d,assays_ss_cll_tp,assays_ss_tss,assays_ss_rgnsm,assays_src_ss_d,assays_ss_tp,assays_ss_sbclllr_frctn,assays_cll_d,assays_rltnshp_tp,assays_dc_d,assays_b_frmt,assays_chmbl_d,assays_td,assays_ss_ctgr,assays_crtd_b,assays_ss_strn,assays_cnfdnc_scr,assays_src_d,assays_vrnt_d
7524,2113.0,,Kidney,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618647,50597,,Intermediate,,1,1,
7525,2113.0,,Kidney,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618648,50597,,Intermediate,,1,1,
7526,2113.0,,Kidney,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618649,50597,,Intermediate,,1,1,
7527,2107.0,,Liver,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618650,50597,,Intermediate,,1,1,
7528,2107.0,,Liver,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618651,50597,,Intermediate,,1,1,
7529,2107.0,,Liver,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL876497,50597,,Intermediate,,1,1,
7530,2048.0,,Lung,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618652,50597,,Intermediate,,1,1,
7531,2048.0,,Lung,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618653,50597,,Intermediate,,1,1,
7532,2048.0,,Lung,Rattus norvegicus,,A,,,N,9866,BAO_0000218,CHEMBL618654,50597,,Intermediate,,1,1,
7533,,,,Rattus norvegicus,,A,,,N,6351,BAO_0000218,CHEMBL618655,50597,,Intermediate,,1,1,
7534,,,,Rattus norvegicus,,A,,,N,1465,BAO_0000218,CHEMBL618656,50597,,Intermediate,,1,1,
7535,,,,,,P,,,U,5182,BAO_0000100,CHEMBL618657,22229,,Intermediate,,0,1,
7536,,,,Rattus norvegicus,,A,,,N,17847,BAO_0000218,CHEMBL618658,50597,,Intermediate,,1,1,
7537,,,,Rattus norvegicus,,A,,,N,15339,BAO_0000218,CHEMBL618659,50597,,Intermediate,,1,1,
