assays_ss_tst_tp,assays_ss_sbclllr_frctn,assays_chmbl_d,assays_src_ss_d,assays_td,assays_ss_tss,assays_b_frmt,assays_ss_rgnsm,assays_tss_d,assays_ss_strn,assays_dscrptn,assays_crtd_b,assays_ss_tx_d,assays_rltnshp_tp,assays_ss_d,assays_src_d,assays_vrnt_d,assays_cnfdnc_scr,assays_ss_tp,assays_ss_cll_tp,assays_cll_d,assays_dc_d,assays_ss_ctgr
In vivo,,CHEMBL618647,,50597,Kidney,BAO_0000218,Rattus norvegicus,2113.0,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,10116.0,N,7524,1,,1,A,,,9866,
In vivo,,CHEMBL618648,,50597,Kidney,BAO_0000218,Rattus norvegicus,2113.0,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Intermediate,10116.0,N,7525,1,,1,A,,,9866,
In vivo,,CHEMBL618649,,50597,Kidney,BAO_0000218,Rattus norvegicus,2113.0,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,10116.0,N,7526,1,,1,A,,,9866,
In vivo,,CHEMBL618650,,50597,Liver,BAO_0000218,Rattus norvegicus,2107.0,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,10116.0,N,7527,1,,1,A,,,9866,
In vivo,,CHEMBL618651,,50597,Liver,BAO_0000218,Rattus norvegicus,2107.0,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Intermediate,10116.0,N,7528,1,,1,A,,,9866,
In vivo,,CHEMBL876497,,50597,Liver,BAO_0000218,Rattus norvegicus,2107.0,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,10116.0,N,7529,1,,1,A,,,9866,
In vivo,,CHEMBL618652,,50597,Lung,BAO_0000218,Rattus norvegicus,2048.0,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,10116.0,N,7530,1,,1,A,,,9866,
In vivo,,CHEMBL618653,,50597,Lung,BAO_0000218,Rattus norvegicus,2048.0,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Intermediate,10116.0,N,7531,1,,1,A,,,9866,
In vivo,,CHEMBL618654,,50597,Lung,BAO_0000218,Rattus norvegicus,2048.0,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,10116.0,N,7532,1,,1,A,,,9866,
,,CHEMBL618655,,50597,,BAO_0000218,Rattus norvegicus,,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Intermediate,10116.0,N,7533,1,,1,A,,,6351,
,,CHEMBL618656,,50597,,BAO_0000218,Rattus norvegicus,,,Compound was tested for solubility in water,Intermediate,10116.0,N,7534,1,,1,A,,,1465,
,,CHEMBL618657,,22229,,BAO_0000100,,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),Intermediate,,U,7535,1,,0,P,,,5182,
,,CHEMBL618658,,50597,,BAO_0000218,Rattus norvegicus,,,Solubility was determined,Intermediate,10116.0,N,7536,1,,1,A,,,17847,
,,CHEMBL618659,,50597,,BAO_0000218,Rattus norvegicus,,,solubility in water (ug/mL) at 37 degree C.,Intermediate,10116.0,N,7537,1,,1,A,,,15339,
,,CHEMBL618660,,50597,,BAO_0000218,Rattus norvegicus,,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Intermediate,10116.0,N,7538,1,,1,A,,,5202,
,,CHEMBL618661,,50597,,BAO_0000218,Rattus norvegicus,,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Intermediate,10116.0,N,7539,1,,1,A,,,1088,
,,CHEMBL873807,,50597,,BAO_0000218,Rattus norvegicus,,,Half life in rats,Intermediate,10116.0,N,7540,1,,1,A,,,3169,
,,CHEMBL618662,,50597,,BAO_0000218,Rattus norvegicus,,,Half life in Dawley rat,Intermediate,10116.0,N,7541,1,,1,A,,,5353,
In vivo,,CHEMBL618663,,50597,,BAO_0000218,Rattus norvegicus,,,Half life period after 3 mg/kg iv administration,Intermediate,10116.0,N,7542,1,,1,A,,,2864,
In vivo,,CHEMBL618664,,50597,,BAO_0000218,Rattus norvegicus,,,Half life period after 3 mg/kg iv administration in rat,Intermediate,10116.0,N,7543,1,,1,A,,,2864,
In vivo,,CHEMBL618665,,50597,,BAO_0000218,Rattus norvegicus,,,Half life period after 3 mg/kg iv administration in the rat,Intermediate,10116.0,N,7544,1,,1,A,,,2864,
,,CHEMBL876498,,50597,,BAO_0000218,Rattus norvegicus,,,Half life period in female Sprague-Dawley rats,Intermediate,10116.0,N,7545,1,,1,A,,,6362,
,,CHEMBL618666,,50597,,BAO_0000218,Rattus norvegicus,,,Half life period in rat,Intermediate,10116.0,N,7546,1,,1,A,,,6249,
,,CHEMBL620440,,50597,,BAO_0000218,Rattus norvegicus,,,Half-life in rats was determined,Intermediate,10116.0,N,7547,1,,1,A,,,3169,
,,CHEMBL620441,,50597,,BAO_0000218,Rattus norvegicus,,,Half-life in rats with metabolic oxidation,Intermediate,10116.0,N,7548,1,,1,A,,,3169,
,,CHEMBL620442,,50597,,BAO_0000218,Rattus norvegicus,,,Half-life in rats,Intermediate,10116.0,N,7549,1,,1,A,,,3169,
In vivo,,CHEMBL620443,,50597,,BAO_0000218,Rattus norvegicus,,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,10116.0,N,7550,1,,1,A,,,17260,
In vivo,,CHEMBL620444,,50597,,BAO_0000218,Rattus norvegicus,,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,10116.0,N,7551,1,,1,A,,,17260,
In vivo,,CHEMBL620445,,50597,,BAO_0000218,Rattus norvegicus,,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,10116.0,N,7552,1,,1,A,,,17260,
In vivo,,CHEMBL620446,,50597,,BAO_0000218,Rattus norvegicus,,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,10116.0,N,7553,1,,1,A,,,17260,
,,CHEMBL620447,,50597,Plasma,BAO_0000218,Rattus norvegicus,1969.0,,Biological half-life measured in plasma of rat,Intermediate,10116.0,N,7554,1,,1,A,,,2879,
,,CHEMBL621129,,50597,Plasma,BAO_0000218,Rattus norvegicus,1969.0,,Biological half-life measured in plasma of rat; 22-25,Intermediate,10116.0,N,7555,1,,1,A,,,2879,
,,CHEMBL621130,,50597,Plasma,BAO_0000218,Rattus norvegicus,1969.0,,Biological half-life measured in plasma of rat; 9-16,Intermediate,10116.0,N,7556,1,,1,A,,,2879,
In vivo,,CHEMBL873808,,50597,,BAO_0000218,Rattus norvegicus,,,Compound was evaluated for its half life when administered intravenously in rat,Intermediate,10116.0,N,7557,1,,1,A,,,3184,
In vivo,,CHEMBL876598,,50597,,BAO_0000218,Rattus norvegicus,,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Intermediate,10116.0,N,7558,1,,1,A,,,4891,
In vivo,,CHEMBL621131,,50597,,BAO_0000218,Rattus norvegicus,,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Intermediate,10116.0,N,7559,1,,1,A,,,429,
In vivo,,CHEMBL621132,,50597,,BAO_0000218,Rattus norvegicus,,,Half life (T1/2) after oral administration in rat,Intermediate,10116.0,N,7560,1,,1,A,,,5656,
In vivo,,CHEMBL621133,,50597,,BAO_0000218,Rattus norvegicus,,,Half life of compound after iv administration of 20 mg/kg dose in rat,Intermediate,10116.0,N,7561,1,,1,A,,,4413,
In vivo,,CHEMBL621312,,50597,,BAO_0000218,Rattus norvegicus,,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Expert,10116.0,N,7562,1,,1,A,,,3598,
,,CHEMBL621313,,50597,,BAO_0000218,Rattus norvegicus,,,Half life of compound was determined in rat,Intermediate,10116.0,N,7563,1,,1,A,,,17267,
,,CHEMBL621314,,50597,Blood,BAO_0000218,Rattus norvegicus,178.0,,Half life of compound was determined in rat blood,Intermediate,10116.0,N,7564,1,,1,A,,,4727,
In vivo,,CHEMBL621315,,50597,,BAO_0000218,Rattus norvegicus,,,Half life at 1 mg/kg was determined in rat,Intermediate,10116.0,N,7565,1,,1,A,,,17651,
In vivo,,CHEMBL621316,,50597,,BAO_0000218,Rattus norvegicus,,,Half life at 10 mg/kg was determined in rat,Intermediate,10116.0,N,7566,1,,1,A,,,17651,
,,CHEMBL621317,,50597,,BAO_0000218,Rattus norvegicus,,,Half life in rats,Intermediate,10116.0,N,7567,1,,1,A,,,401,
,,CHEMBL621318,,50597,,BAO_0000218,Rattus norvegicus,,,Half life in rats in hours,Intermediate,10116.0,N,7568,1,,1,A,,,4942,
In vivo,,CHEMBL621319,,50597,,BAO_0000218,Rattus norvegicus,,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate,10116.0,N,7569,1,,1,A,,,17735,
In vivo,,CHEMBL621377,,50597,,BAO_0000218,Rattus norvegicus,,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Intermediate,10116.0,N,7570,1,,1,A,,,6056,
,,CHEMBL621378,,50597,,BAO_0000218,Rattus norvegicus,,,Half life was determined,Intermediate,10116.0,N,7571,1,,1,A,,,5213,
