film_id,category_id,category_name
968,1,Action
178,5,Comedy
120,15,Sports
550,8,Family
83,8,Family
77,13,New
888,6,Documentary
801,3,Children
46,10,Games
695,8,Family
904,11,Horror
206,6,Documentary
797,12,Music
784,16,Travel
827,7,Drama
627,6,Documentary
857,5,Comedy
662,7,Drama
424,3,Children
994,13,New
649,2,Animation
764,15,Sports
306,10,Games
140,14,Sci-Fi
48,3,Children
11,9,Foreign
358,4,Classics
144,13,New
886,2,Animation
43,8,Family
571,6,Documentary
3,6,Documentary
240,14,Sci-Fi
712,6,Documentary
112,9,Foreign
774,5,Comedy
229,1,Action
568,5,Comedy
831,14,Sci-Fi
349,2,Animation
771,7,Drama
759,13,New
940,15,Sports
165,14,Sci-Fi
132,14,Sci-Fi
715,8,Family
392,3,Children
973,6,Documentary
328,3,Children
135,15,Sports
266,4,Classics
620,14,Sci-Fi
41,16,Travel
227,10,Games
44,14,Sci-Fi
939,5,Comedy
308,5,Comedy
69,14,Sci-Fi
917,15,Sports
950,4,Classics
870,11,Horror
936,12,Music
79,7,Drama
396,7,Drama
655,14,Sci-Fi
89,2,Animation
963,2,Animation
957,9,Foreign
817,14,Sci-Fi
742,10,Games
296,14,Sci-Fi
123,16,Travel
786,3,Children
781,10,Games
976,10,Games
194,1,Action
421,9,Foreign
991,1,Action
852,3,Children
99,5,Comedy
548,4,Classics
129,6,Documentary
67,1,Action
902,15,Sports
682,8,Family
889,3,Children
804,11,Horror
672,5,Comedy
911,1,Action
929,9,Foreign
688,3,Children
207,9,Foreign
766,7,Drama
109,13,New
544,6,Documentary
312,14,Sci-Fi
192,9,Foreign
974,13,New
91,4,Classics
483,10,Games
300,2,Animation
201,9,Foreign
68,3,Children
386,16,Travel
812,6,Documentary
153,14,Sci-Fi
506,11,Horror
247,5,Comedy
411,12,Music
173,7,Drama
446,15,Sports
146,7,Drama
681,15,Sports
431,9,Foreign
235,14,Sci-Fi
514,7,Drama
184,4,Classics
219,6,Documentary
913,13,New
62,6,Documentary
342,16,Travel
598,15,Sports
538,13,New
498,8,Family
363,12,Music
139,8,Family
57,16,Travel
984,9,Foreign
922,11,Horror
196,4,Classics
504,7,Drama
879,12,Music
166,4,Classics
981,16,Travel
404,5,Comedy
621,8,Family
480,4,Classics
21,1,Action
84,16,Travel
383,15,Sports
821,9,Foreign
614,10,Games
187,15,Sports
758,7,Drama
707,1,Action
773,15,Sports
611,4,Classics
997,12,Music
714,14,Sci-Fi
489,2,Animation
526,16,Travel
255,12,Music
920,13,New
779,15,Sports
704,5,Comedy
33,7,Drama
658,11,Horror
256,15,Sports
767,12,Music
340,13,New
289,13,New
157,3,Children
482,4,Classics
422,14,Sci-Fi
615,2,Animation
117,10,Games
601,16,Travel
562,12,Music
534,8,Family
565,9,Foreign
941,10,Games
155,13,New
468,3,Children
989,16,Travel
18,2,Animation
962,4,Classics
175,8,Family
246,9,Foreign
937,13,New
573,3,Children
868,16,Travel
765,5,Comedy
491,3,Children
705,9,Foreign
780,8,Family
716,11,Horror
741,12,Music
186,7,Drama
228,4,Classics
636,12,Music
563,10,Games
121,2,Animation
250,1,Action
664,1,Action
722,11,Horror
145,8,Family
234,14,Sci-Fi
430,2,Animation
471,4,Classics
651,2,Animation
745,15,Sports
964,1,Action
357,4,Classics
449,14,Sci-Fi
521,7,Drama
799,11,Horror
698,6,Documentary
837,5,Comedy
267,13,New
461,2,Animation
34,11,Horror
613,5,Comedy
259,2,Animation
362,10,Games
458,8,Family
666,7,Drama
189,10,Games
885,11,Horror
883,3,Children
261,6,Documentary
204,7,Drama
949,10,Games
200,10,Games
945,6,Documentary
87,16,Travel
12,12,Music
713,6,Documentary
934,10,Games
507,10,Games
525,4,Classics
532,15,Sports
373,3,Children
638,5,Comedy
687,6,Documentary
245,2,Animation
739,7,Drama
105,1,Action
74,12,Music
143,7,Drama
546,10,Games
923,7,Drama
260,15,Sports
836,15,Sports
975,8,Family
284,12,Music
588,3,Children
150,6,Documentary
702,11,Horror
536,4,Classics
942,7,Drama
183,8,Family
863,14,Sci-Fi
127,5,Comedy
273,8,Family
398,12,Music
17,12,Music
558,13,New
915,1,Action
757,6,Documentary
149,3,Children
677,13,New
813,15,Sports
465,13,New
274,6,Documentary
960,6,Documentary
176,15,Sports
27,15,Sports
542,1,Action
604,5,Comedy
5,8,Family
282,7,Drama
552,6,Documentary
609,16,Travel
947,9,Foreign
85,6,Documentary
310,10,Games
325,2,Animation
203,14,Sci-Fi
701,10,Games
972,14,Sci-Fi
324,5,Comedy
379,7,Drama
108,13,New
744,4,Classics
467,9,Foreign
223,2,Animation
50,8,Family
678,15,Sports
51,12,Music
756,5,Comedy
590,13,New
522,5,Comedy
128,9,Foreign
323,15,Sports
316,10,Games
591,10,Games
457,6,Documentary
816,2,Animation
142,6,Documentary
169,16,Travel
134,2,Animation
271,1,Action
330,2,Animation
829,8,Family
726,9,Foreign
415,11,Horror
443,5,Comedy
644,2,Animation
684,10,Games
706,7,Drama
967,14,Sci-Fi
391,8,Family
463,15,Sports
355,2,Animation
243,2,Animation
925,6,Documentary
369,14,Sci-Fi
199,6,Documentary
