assay_tissue,src_id,doc_id,variant_id,assay_test_type,src_assay_id,tid,assay_category,assay_subcellular_fraction,assay_cell_type,chembl_id,description,assay_organism,confidence_score,assay_tax_id,cell_id,curated_by,relationship_type,bao_format,tissue_id,assay_id,assay_type,assay_strain
,1,11087,,,,12052,,,,CHEMBL615117,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,8,,,Autocuration,H,BAO_0000019,,1,B,
,1,684,,,,22226,,,,CHEMBL615118,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,0,,,Autocuration,U,BAO_0000219,,2,F,
,1,15453,,,,22226,,,,CHEMBL615119,,,0,,,Autocuration,U,BAO_0000019,,3,B,
,1,17841,,,,104729,,,,CHEMBL615120,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Bos taurus,4,9913.0,,Autocuration,H,BAO_0000249,,4,B,
,1,17430,,,,80001,,,143B,CHEMBL615121,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,1,9606.0,163.0,Intermediate,N,BAO_0000219,,5,F,
,1,17430,,,,80001,,,143B,CHEMBL615122,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,1,9606.0,163.0,Intermediate,N,BAO_0000219,,6,F,
,1,13799,,,,80001,,,143B,CHEMBL615123,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Mus musculus,1,10090.0,163.0,Intermediate,N,BAO_0000219,,7,F,
,1,17774,,,,80001,,,143B,CHEMBL615124,In vitro cell cytotoxicity was determined against 143B cell line,Homo sapiens,1,9606.0,163.0,Expert,N,BAO_0000219,,8,F,
,1,3801,,,,80001,,,143B,CHEMBL615125,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Homo sapiens,1,9606.0,163.0,Intermediate,N,BAO_0000219,,9,F,
,1,17430,,,,80001,,,143B,CHEMBL615126,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,1,9606.0,163.0,Intermediate,N,BAO_0000219,,10,F,
,1,17430,,,,80001,,,143B,CHEMBL615127,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,1,9606.0,163.0,Intermediate,N,BAO_0000219,,11,F,
,1,17774,,,,80001,,,143B,CHEMBL615128,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Homo sapiens,1,9606.0,163.0,Expert,N,BAO_0000219,,12,F,
,1,11324,,,,50185,,,,CHEMBL857900,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1,1280.0,,Intermediate,N,BAO_0000218,,13,F,
,1,11324,,,,50185,,,,CHEMBL615129,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1,1280.0,,Intermediate,N,BAO_0000218,,14,F,
,1,11324,,,,50185,,,,CHEMBL615130,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1,1280.0,,Intermediate,N,BAO_0000218,,15,F,
