chembl_id,relationship_type,assay_subcellular_fraction,src_id,curated_by,assay_cell_type,assay_test_type,tid,description,assay_tissue,assay_organism,assay_tax_id,assay_id,tissue_id,assay_strain,assay_type,cell_id,confidence_score,bao_format,variant_id,src_assay_id,assay_category,doc_id
CHEMBL615117,H,,1,Autocuration,,,12052,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,1,,,B,,8,BAO_0000019,,,,11087
CHEMBL615118,U,,1,Autocuration,,,22226,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,2,,,F,,0,BAO_0000219,,,,684
CHEMBL615119,U,,1,Autocuration,,,22226,,,,,3,,,B,,0,BAO_0000019,,,,15453
CHEMBL615120,H,,1,Autocuration,,,104729,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,9913.0,4,,,B,,4,BAO_0000249,,,,17841
CHEMBL615121,N,,1,Intermediate,143B,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,5,,,F,163.0,1,BAO_0000219,,,,17430
CHEMBL615122,N,,1,Intermediate,143B,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,6,,,F,163.0,1,BAO_0000219,,,,17430
CHEMBL615123,N,,1,Intermediate,143B,,80001,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,10090.0,7,,,F,163.0,1,BAO_0000219,,,,13799
CHEMBL615124,N,,1,Expert,143B,,80001,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,9606.0,8,,,F,163.0,1,BAO_0000219,,,,17774
CHEMBL615125,N,,1,Intermediate,143B,,80001,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,9606.0,9,,,F,163.0,1,BAO_0000219,,,,3801
CHEMBL615126,N,,1,Intermediate,143B,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,10,,,F,163.0,1,BAO_0000219,,,,17430
CHEMBL615127,N,,1,Intermediate,143B,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,11,,,F,163.0,1,BAO_0000219,,,,17430
CHEMBL615128,N,,1,Expert,143B,,80001,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,9606.0,12,,,F,163.0,1,BAO_0000219,,,,17774
CHEMBL857900,N,,1,Intermediate,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,13,,,F,,1,BAO_0000218,,,,11324
CHEMBL615129,N,,1,Intermediate,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,14,,,F,,1,BAO_0000218,,,,11324
CHEMBL615130,N,,1,Intermediate,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,15,,,F,,1,BAO_0000218,,,,11324
CHEMBL615131,N,,1,Intermediate,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,16,,,F,,1,BAO_0000218,,,,11324
CHEMBL884521,D,,1,Expert,,,100122,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,10116.0,17,,,A,,9,BAO_0000357,,,,11347
CHEMBL615132,H,,1,Autocuration,,,12054,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,18,,,B,,8,BAO_0000357,,,,16474
CHEMBL615133,H,,1,Autocuration,,,12054,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,19,,,B,,8,BAO_0000019,,,,10091
CHEMBL615134,H,,1,Autocuration,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,20,,,B,,8,BAO_0000357,,,,16474
CHEMBL615135,H,,1,Autocuration,,,12054,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,21,,,B,,8,BAO_0000357,,,,16474
CHEMBL615136,H,,1,Autocuration,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,22,,,B,,8,BAO_0000357,,,,16474
CHEMBL615137,H,,1,Autocuration,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,23,,,B,,8,BAO_0000357,,,,16474
CHEMBL615138,H,,1,Autocuration,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,24,,,B,,8,BAO_0000357,,,,16474
CHEMBL836324,U,,1,Autocuration,,,22226,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,25,,,B,,0,BAO_0000219,,,,14352
