categoria_id,film_id
11,830
8,528
3,801
6,589
7,521
15,577
8,175
4,228
12,244
16,648
3,59
7,706
7,204
16,903
5,555
6,945
1,802
6,575
8,610
12,540
10,560
11,658
9,769
7,897
2,456
16,41
6,576
8,63
5,756
5,814
8,458
10,747
10,507
8,309
8,715
2,693
5,529
9,961
2,743
9,595
2,651
15,474
1,664
3,491
15,671
13,216
13,465
11,593
9,198
10,227
1,194
11,702
8,700
7,979
10,746
3,344
12,636
2,644
11,277
2,241
6,670
5,410
16,169
15,902
6,776
5,1000
7,379
2,433
9,900
14,863
9,821
10,217
6,788
13,933
16,785
9,770
11,35
2,569
5,638
8,727
6,336
2,402
14,655
13,751
2,89
8,498
16,57
11,494
15,293
1,115
12,877
1,360
14,374
16,894
3,124
8,139
11,415
7,272
3,450
4,652
2,859
15,841
1,56
16,386
4,341
1,586
14,235
15,777
10,316
4,484
15,27
11,909
4,862
13,267
9,460
14,151
13,847
7,539
15,606
2,820
9,459
2,696
14,137
7,618
14,893
5,247
1,594
13,481
6,926
15,383
6,219
2,243
5,613
8,147
12,20
8,603
5,660
8,71
2,326
16,656
8,975
4,487
14,723
9,957
4,37
10,624
2,892
9,192
15,628
2,489
13,686
3,761
1,915
2,510
15,372
5,478
8,345
14,285
3,852
11,8
1,549
10,684
9,337
14,369
3,853
11,506
1,111
14,26
2,582
5,324
5,332
3,993
7,969
16,878
3,768
8,43
14,73
15,813
1,825
3,343
12,363
2,245
5,159
13,490
8,499
13,760
8,829
1,417
13,22
11,4
10,438
8,83
16,451
3,354
2,805
2,154
9,726
13,806
12,86
13,730
14,312
9,112
3,883
15,291
10,141
1,271
14,390
3,889
8,359
11,854
2,816
2,349
14,195
10,310
1,574
12,333
6,150
8,437
7,401
16,472
4,874
13,163
6,888
16,981
5,932
9,6
9,486
6,248
10,556
5,522
9,100
9,929
4,694
15,667
7,775
7,107
12,752
8,557
3,864
13,948
15,836
15,254
4,480
8,231
15,120
2,583
8,82
13,551
6,544
8,50
