titolo,tariffa_noleggio,data_rilascio,durata,lingua,voto,lingua_originale_id,costo_sostituzione,descrizione,film_id,durata_noleggio
ACADEMY DINOSAUR,0.99,2006,86,English,PG,,20.99,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,6
ACE GOLDFINGER,4.99,2006,48,English,G,,12.99,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2,3
ADAPTATION HOLES,2.99,2006,50,English,NC-17,,18.99,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,3,7
AFFAIR PREJUDICE,2.99,2006,117,English,G,,26.99,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,4,5
AGENT TRUMAN,2.99,2006,169,English,PG,,17.99,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,6,3
AIRPORT POLLOCK,4.99,2006,54,English,R,,15.99,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,8,6
ALABAMA DEVIL,2.99,2006,114,English,PG-13,,21.99,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,9,3
ALADDIN CALENDAR,4.99,2006,63,English,NC-17,,24.99,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,10,6
ALAMO VIDEOTAPE,0.99,2006,126,English,G,,16.99,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,11,6
ALASKA PHANTOM,0.99,2006,136,English,PG,,22.99,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,12,6
ALI FOREVER,4.99,2006,150,English,PG,,21.99,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,13,4
ALICE FANTASIA,0.99,2006,94,English,NC-17,,23.99,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,14,6
ALIEN CENTER,2.99,2006,46,English,NC-17,,10.99,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,15,5
ALLEY EVOLUTION,2.99,2006,180,English,NC-17,,23.99,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,16,6
ALONE TRIP,0.99,2006,82,English,R,,14.99,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,17,3
ALTER VICTORY,0.99,2006,57,English,PG-13,,27.99,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,18,6
AMELIE HELLFIGHTERS,4.99,2006,79,English,R,,23.99,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,20,4
AMERICAN CIRCUS,4.99,2006,129,English,R,,17.99,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,21,3
