cliente_id,noleggio_id,personale_id,data_pagamento,pagamento_id,ammontare
1,1185,1,2005-06-15 00:54:12,3,5.99
1,2308,1,2005-06-18 08:41:48,7,4.99
1,3284,1,2005-06-21 06:24:45,9,3.99
1,5244,1,2005-07-09 13:24:07,12,4.99
1,9571,2,2005-07-31 02:42:18,21,2.99
1,11824,2,2005-08-17 12:37:54,25,4.99
1,15315,1,2005-08-22 20:03:46,32,5.99
2,5755,1,2005-07-10 12:38:56,36,6.99
2,9236,2,2005-07-30 13:47:43,44,10.99
2,11087,1,2005-08-02 07:41:41,51,5.99
2,11177,1,2005-08-02 10:43:48,52,6.99
2,14475,1,2005-08-21 13:24:32,56,4.99
3,1546,1,2005-06-16 01:34:05,62,8.99
3,1911,2,2005-06-17 05:15:15,64,6.99
3,7703,2,2005-07-28 03:59:21,70,7.99
4,1297,1,2005-06-15 09:31:28,86,4.99
4,1707,2,2005-06-16 14:01:27,88,2.99
4,11110,1,2005-08-02 08:20:31,98,2.99
4,15635,2,2005-08-23 07:43:00,107,1.99
5,2570,2,2005-06-19 04:20:13,114,2.99
5,3677,2,2005-07-06 09:11:58,116,4.99
5,6685,2,2005-07-12 12:16:28,124,4.99
5,10609,2,2005-08-01 14:48:45,132,4.99
5,10625,1,2005-08-01 15:27:10,133,0.99
5,11001,2,2005-08-02 04:56:45,134,4.99
5,14053,2,2005-08-20 22:13:59,141,6.99
5,14494,2,2005-08-21 14:02:50,143,2.99
6,1841,2,2005-06-16 23:44:13,150,2.99
6,6211,2,2005-07-11 12:39:01,156,5.99
6,7136,2,2005-07-27 06:38:25,160,2.99
6,10271,1,2005-08-01 03:13:39,162,2.99
6,11853,1,2005-08-17 13:39:32,167,0.99
6,13451,2,2005-08-20 00:18:25,169,6.99
6,15603,2,2005-08-23 06:41:32,173,0.99
7,2250,1,2005-06-18 05:03:36,180,2.99
7,4787,2,2005-07-08 16:16:04,186,5.99
7,4856,1,2005-07-08 18:47:38,187,4.99
7,5441,1,2005-07-09 21:52:05,188,8.99
7,6761,2,2005-07-12 15:17:42,192,3.99
7,10644,2,2005-08-01 15:52:00,198,4.99
7,11542,2,2005-08-17 00:51:32,200,7.99
7,12730,1,2005-08-18 21:55:01,202,2.99
7,13373,2,2005-08-19 21:23:31,203,2.99
8,3114,2,2005-06-20 17:57:47,210,4.99
8,3475,1,2005-07-05 23:01:21,211,5.99
8,11284,2,2005-08-02 14:42:45,225,2.99
8,15374,1,2005-08-22 22:09:09,228,7.99
9,350,2,2005-05-27 05:01:28,231,4.99
9,4748,2,2005-07-08 13:59:38,237,0.99
9,4796,1,2005-07-08 16:35:44,238,1.99
9,5659,1,2005-07-10 07:45:40,239,2.99
9,6165,1,2005-07-11 10:17:29,241,5.99
9,7801,1,2005-07-28 07:51:56,243,2.99
9,14489,2,2005-08-21 13:53:59,252,7.99
10,1801,1,2005-06-16 20:21:53,255,4.99
10,4042,2,2005-07-07 03:06:40,261,4.99
10,7738,1,2005-07-28 05:21:42,267,2.99
10,8188,2,2005-07-28 22:34:12,269,4.99
10,13316,2,2005-08-19 19:23:30,276,4.99
10,13917,2,2005-08-20 16:43:28,277,2.99
10,15370,1,2005-08-22 21:59:29,278,5.99
11,6146,2,2005-07-11 09:09:59,286,6.99
11,7314,1,2005-07-27 13:13:32,287,4.99
11,15120,1,2005-08-22 12:42:47,300,0.99
11,15240,2,2005-08-22 17:46:41,301,2.99
12,1752,2,2005-06-16 17:02:55,305,5.99
12,2500,2,2005-06-18 23:07:12,307,5.99
12,3411,1,2005-06-21 16:31:27,310,0.99
12,3870,1,2005-07-06 17:57:54,311,3.99
12,11497,2,2005-08-16 22:52:30,325,0.99
12,12604,1,2005-08-18 16:58:48,326,4.99
13,6568,1,2005-07-12 05:45:47,337,2.99
13,6870,1,2005-07-12 20:13:45,338,0.99
13,7916,1,2005-07-28 11:49:53,340,2.99
13,9260,2,2005-07-30 14:38:22,343,9.99
13,9664,1,2005-07-31 06:12:08,345,0.99
13,10003,1,2005-07-31 17:48:51,347,4.99
13,11315,2,2005-08-02 16:05:17,349,0.99
13,14252,1,2005-08-21 05:44:07,355,9.99
14,815,2,2005-05-29 20:24:28,362,0.99
14,10526,2,2005-08-01 11:55:33,377,6.99
