assay_id,assay_organism,doc_id,assay_cell_type,src_id,assay_type,src_assay_id,assay_tissue,tissue_id,curated_by,cell_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction
1,,11087,,1,B,,,,Autocuration,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,
2,,684,,1,F,,,,Autocuration,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,
3,,15453,,1,B,,,,Autocuration,,,,,,,
4,Bos taurus,17841,,1,B,,,,Autocuration,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,9913.0,,
5,Homo sapiens,17430,143B,1,F,,,,Intermediate,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,9606.0,,
6,Homo sapiens,17430,143B,1,F,,,,Intermediate,163.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,9606.0,,
7,Mus musculus,13799,143B,1,F,,,,Intermediate,163.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,10090.0,,
8,Homo sapiens,17774,143B,1,F,,,,Expert,163.0,In vitro cell cytotoxicity was determined against 143B cell line,,,9606.0,,
9,Homo sapiens,3801,143B,1,F,,,,Intermediate,163.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,9606.0,,
10,Homo sapiens,17430,143B,1,F,,,,Intermediate,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,9606.0,,
11,Homo sapiens,17430,143B,1,F,,,,Intermediate,163.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,9606.0,,
12,Homo sapiens,17774,143B,1,F,,,,Expert,163.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,9606.0,,
13,Staphylococcus aureus,11324,,1,F,,,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,
14,Staphylococcus aureus,11324,,1,F,,,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,
15,Staphylococcus aureus,11324,,1,F,,,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,
16,Staphylococcus aureus,11324,,1,F,,,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,1280.0,,
