original_language_id,description,rental_rate,replacement_cost,length,title,release_year,rental_duration,language,film_id,rating
,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,0.99,20.99,86,ACADEMY DINOSAUR,2006,6,English,1,PG
,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,4.99,12.99,48,ACE GOLDFINGER,2006,3,English,2,G
,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2.99,18.99,50,ADAPTATION HOLES,2006,7,English,3,NC-17
,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2.99,26.99,117,AFFAIR PREJUDICE,2006,5,English,4,G
,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2.99,22.99,130,AFRICAN EGG,2006,6,English,5,G
,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2.99,17.99,169,AGENT TRUMAN,2006,3,English,6,PG
,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,4.99,28.99,62,AIRPLANE SIERRA,2006,6,English,7,PG-13
,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,4.99,15.99,54,AIRPORT POLLOCK,2006,6,English,8,R
,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2.99,21.99,114,ALABAMA DEVIL,2006,3,English,9,PG-13
,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,4.99,24.99,63,ALADDIN CALENDAR,2006,6,English,10,NC-17
,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,0.99,16.99,126,ALAMO VIDEOTAPE,2006,6,English,11,G
,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,0.99,22.99,136,ALASKA PHANTOM,2006,6,English,12,PG
,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,4.99,21.99,150,ALI FOREVER,2006,4,English,13,PG
,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,0.99,23.99,94,ALICE FANTASIA,2006,6,English,14,NC-17
,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2.99,10.99,46,ALIEN CENTER,2006,5,English,15,NC-17
,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2.99,23.99,180,ALLEY EVOLUTION,2006,6,English,16,NC-17
,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,0.99,14.99,82,ALONE TRIP,2006,3,English,17,R
