city,country_id,city_id
A Coruña (La Coruña),87,1
Abha,82,2
Abu Dhabi,101,3
Acuña,60,4
Adana,97,5
Addis Abeba,31,6
Aden,107,7
Adoni,44,8
Ahmadnagar,44,9
Akishima,50,10
Akron,103,11
al-Ayn,101,12
al-Hawiya,82,13
al-Manama,11,14
al-Qadarif,89,15
al-Qatif,82,16
Alessandria,49,17
Allappuzha (Alleppey),44,18
Allende,60,19
Almirante Brown,6,20
Alvorada,15,21
Ambattur,44,22
Amersfoort,67,23
Amroha,44,24
Angra dos Reis,15,25
Anápolis,15,26
Antofagasta,22,27
Aparecida de Goiânia,15,28
Apeldoorn,67,29
Araçatuba,15,30
Arak,46,31
Arecibo,77,32
Arlington,103,33
Ashdod,48,34
Ashgabat,98,35
Ashqelon,48,36
Asunción,73,37
Athenai,39,38
Atšinsk,80,39
Atlixco,60,40
Augusta-Richmond County,103,41
Aurora,103,42
Avellaneda,6,43
Bagé,15,44
Bahía Blanca,6,45
Baicheng,23,46
Baiyin,23,47
Baku,10,48
Balašiha,80,49
Balikesir,97,50
Balurghat,44,51
Bamenda,19,52
Bandar Seri Begawan,16,53
Banjul,37,54
Barcelona,104,55
Basel,91,56
Bat Yam,48,57
Batman,97,58
Batna,2,59
Battambang,18,60
Baybay,75,61
Bayugan,75,62
Béchar,2,63
Beira,63,64
Bellevue,103,65
Belém,15,66
Benguela,4,67
Beni-Mellal,62,68
Benin City,69,69
Bergamo,49,70
Berhampore (Baharampur),44,71
Bern,91,72
Bhavnagar,44,73
Bhilwara,44,74
Bhimavaram,44,75
Bhopal,44,76
Bhusawal,44,77
Bijapur,44,78
Bilbays,29,79
Binzhou,23,80
Birgunj,66,81
Bislig,75,82
Blumenau,15,83
Boa Vista,15,84
Boksburg,85,85
Botosani,78,86
Botshabelo,85,87
Bradford,102,88
Brasília,15,89
Bratislava,84,90
Brescia,49,91
Brest,34,92
Brindisi,49,93
Brockton,103,94
Bucuresti,78,95
Buenaventura,24,96
Bydgoszcz,76,97
Cabuyao,75,98
Callao,74,99
Cam Ranh,105,100
Cape Coral,103,101
Caracas,104,102
Carmen,60,103
Cavite,75,104
Cayenne,35,105
Celaya,60,106
Chandrapur,44,107
Changhwa,92,108
Changzhou,23,109
Chapra,44,110
Charlotte Amalie,106,111
Chatsworth,85,112
Cheju,86,113
Chiayi,92,114
Chisinau,61,115
Chungho,92,116
Cianjur,45,117
Ciomas,45,118
Ciparay,45,119
Citrus Heights,103,120
Città del Vaticano,41,121
Ciudad del Este,73,122
Clarksville,103,123
Coacalco de Berriozábal,60,124
Coatzacoalcos,60,125
Compton,103,126
Coquimbo,22,127
Córdoba,6,128
Cuauhtémoc,60,129
Cuautla,60,130
Cuernavaca,60,131
Cumaná,104,132
Czestochowa,76,133
Dadu,72,134
Dallas,103,135
Datong,23,136
Daugavpils,54,137
Davao,75,138
Daxian,23,139
Dayton,103,140
Deba Habe,69,141
Denizli,97,142
Dhaka,12,143
Dhule (Dhulia),44,144
Dongying,23,145
Donostia-San Sebastián,87,146
Dos Quebradas,24,147
Duisburg,38,148
Dundee,102,149
Dzerzinsk,80,150
Ede,67,151
Effon-Alaiye,69,152
El Alto,14,153
El Fuerte,60,154
El Monte,103,155
Elista,80,156
Emeishan,23,157
Emmen,67,158
Enshi,23,159
Erlangen,38,160
Escobar,6,161
Esfahan,46,162
Eskisehir,97,163
Etawah,44,164
Ezeiza,6,165
Ezhou,23,166
Faaa,36,167
Fengshan,92,168
Firozabad,44,169
Florencia,24,170
Fontana,103,171
Fukuyama,50,172
Funafuti,99,173
Fuyu,23,174
Fuzhou,23,175
Gandhinagar,44,176
Garden Grove,103,177
Garland,103,178
Gatineau,20,179
Gaziantep,97,180
Gijón,87,181
Gingoog,75,182
Goiânia,15,183
Gorontalo,45,184
Grand Prairie,103,185
Graz,9,186
Greensboro,103,187
Guadalajara,60,188
Guarujá,15,189
Águas Lindas de Goiás,15,190
Gulbarga,44,191
Hagonoy,75,192
Haining,23,193
Haiphong,105,194
Haldia,44,195
Halifax,20,196
Halisahar,44,197
Halle/Saale,38,198
Hami,23,199
Hamilton,68,200
Hanoi,105,201
Hidalgo,60,202
Higashiosaka,50,203
Hino,50,204
Hiroshima,50,205
Hodeida,107,206
Hohhot,23,207
Hoshiarpur,44,208
Hsichuh,92,209
Huai´an,23,210
Hubli-Dharwad,44,211
Huejutla de Reyes,60,212
Huixquilucan,60,213
Huánuco,74,214
Ibirité,15,215
Idfu,29,216
Ife,69,217
Ikerre,69,218
Iligan,75,219
Ilorin,69,220
Imus,75,221
Inegöl,97,222
Ipoh,59,223
Isesaki,50,224
Ivanovo,80,225
Iwaki,50,226
Iwakuni,50,227
Iwatsuki,50,228
Izumisano,50,229
Jaffna,88,230
Jaipur,44,231
Jakarta,45,232
Jalib al-Shuyukh,53,233
Jamalpur,12,234
Jaroslavl,80,235
Jastrzebie-Zdrój,76,236
Jedda,82,237
Jelets,80,238
Jhansi,44,239
Jinchang,23,240
Jining,23,241
Jinzhou,23,242
Jodhpur,44,243
Johannesburg,85,244
Joliet,103,245
José Azueta,60,246
Juazeiro do Norte,15,247
Juiz de Fora,15,248
Junan,23,249
Juárez,60,250
Kabul,1,251
Kaduna,69,252
Kakamigahara,50,253
Kaliningrad,80,254
Kalisz,76,255
Kamakura,50,256
