Fiscal year,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
w0092010,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20093010,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201p,A018652001,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20082010,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092019,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092020,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200p2010,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092020,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
29092010,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
