manufacturer,price,id,title
intuit,38.99,0,learning quickbooks 2007
,8.49,1,superstart ! fun with reading & writing !
intuit,637.99,2,qb pos 6.0 basic software
,12.95,3,math missions : the amazing arcade adventure ( grades 3-5 )
adobe software,805.99,4,production prem cs3 mac upgrad
corel corporation,103.99,5,video studio 11 plus
canopus/grass valley,585.99,6,edius pro 4
intuit,1054.99,7,qb pos 6.0 pro multi store sw
intuit,25.99,8,qb credit card kit 3.0
sony creative software,92.99,9,vegas movie studiodvd +8 plat
intuit,1474.99,10,qb pos 6.0 pro solution hw/sw
,29.95,11,ares rising
,14.99,12,evergirl : pc cd-rom video game
,2068.26,13,cd384-aisk9 = cisco ios advanced ip services complete package cd
,154.6,14,633808063023 wasp bar code fontware complete package 10 users cd win english
,95.12,15,0202-034 axis camera station license 1 additional user
,137.09,16,eu063av aba microsoft windows xp professional license and media 1 user cto english -
,195.53,17,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux
,499.17,18,eqzfn07-201 zetafax business edition license 5 users win
,2021.99,19,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp
,3715.48,20,wg017449 watchguard firebox x5500e utm software suite subscription license 1 year +
,149.43,21,11k2990 international printing for mysap.com complete package 1 client cd englis
,663.22,22,5325302018 snap enterprise data replicator license 1 server linux unix win
,18.88,23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win
,16.09,24,11105106 symantec bindview policy manager v. 1.0 media cd win english
,1054.23,25,25510587 adobe after effects cs3 professional complete package 1 user dvd win c
,751.44,26,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi
,1562.06,27,did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul
,179.03,28,633808035020 wasp nest ccd suite business edition complete package 1 user cd win
,29.93,29,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1
,3992.98,30,01-ssc-6993 sonicwall client/server anti-virus suite subscription license 3 years 50
,61.94,31,buvsag-00000 ulead videostudio 10 complete package 1 user win english
,34.38,32,s71-00009 perfect dark zero complete package 1 user microsoft xbox 360 dvd engli
,93.33,33,c6q-00002 microsoft digital image suite plus complete package 1 pc cd-rom ( mini box )
,72.74,34,ma166z/a ilife '06 complete package 1 user dvd mac
,7022.74,35,s45es-12225sg = cisco ios enterprise services v. 12.2 ( 25 ) sg complete package
,1834.4,36,t74-00004 microsoft windows small business server 2003 license 20 additional user cals
,742.21,37,122103 quarkxpress v. 7 complete package 1 user cd win mac
,2426.1,38,dsv3-swa dsview v. 3 license 5 users 1 hub win
,1589.95,39,366125-002 hp care pack software technical support vmware virtualcenter 1 node 2 process
,17.21,40,378517z lenovo thinkvantage imageultra builder ( non-lenovo systems ) v. 3.0 licen
,3640.84,41,fpm32c070-a08n monarch standard edition v. 7.0 complete package 8 users cd win
,3223.26,42,910519-004 rumba as/400 edition v. 7.4 upgrade license 1 processor tier p10 c
,14.51,43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win
,371.5,44,dm0016009 contivity stateful firewall license 1 switch english
,377.61,45,22030094 adobe encore dvd v. 2.0 complete package 1 user dvd win universa
,1320.64,46,5325302020 snap enterprise data replicator advanced license 1 server linux unix win
,94.08,47,b11-01215 microsoft works suite 2006 license and media 1 user cd win english u
,459.3,48,bb117ac hp storageworks data protector express backup server product upgrade package -
