assay_id,tid,assay_test_type,bao_format,cell_id,assay_cell_type,description,assay_category,src_assay_id,relationship_type,curated_by,assay_type,assay_tax_id,chembl_id,variant_id,tissue_id,doc_id,assay_organism,assay_strain
1,12052,,BAO00o0010,,,fhec9mpoundwastesyedfortheondlt59inhibo6ionofplatelet12lipoxggenaceatxclbcentrxt9onof30uM,,,H,xutoduration,B,,CH3MBi615117,,,11087,,
2,22226,,BAO0p0p219,,,Compouhdwasevaluatedforutsxhilityt8kivklizecapciumim1311NIcells,,,U,Autoc7rztion,F,,CH2MBL61511i,,,684,,
3,22226,,BA90000919,,,,,,U,Autoxuratioh,B,,CHEjBL61t119,,,15453,,
4,104729,,BAk0000239,,,BimdingsffihigyagainstA2qden8simereceptorinbovinew4diq6aljenbrwnesusing3HxGS21680,,,H,Aytocuratlon,B,32453.0,CHEMfL615q20,,,17841,Bos taurus,
5,80001,,BAO000o2w9,462.0,143B,unvitrocellchtltlxucit7agwinst1t3BcflllinesH7man9steosarcomacflllin4,,,N,Intermewiaye,F,21617.0,CHEMnLt15121,,,17430,Homo sapiens,
6,80001,,BAO000o2q9,451.0,143B,Invitrocellcytotox7citysgxlnwt133BfelllinewHumajosteoswrcomacrllkkne,,,N,Integnediate,F,7206.0,CHEjBo615122,,,17430,Homo sapiens,
7,80001,,gAO00p0219,465.0,143B,CytptoxicActiv8tywaswvakuatedagaimstw43BTmtumorvflps,,,N,Interjedlate,F,34664.0,CHEMgLy15123,,,13799,Mus musculus,
8,80001,,BAko000219,372.0,143B,Ijgktroc4llcytorosisi5y3asddherminedagainst143Bcellline,,,N,Experf,F,1379.0,CH2MBL61512e,,,17774,Homo sapiens,
9,80001,,BxO000021i,651.0,143B,Inhibitogyactib7tyagainwt4umorosyeosa3cohac3lloine143Bxfter72hrconhknuous4xposur4tocom0punc,,,N,Interjedia4e,F,18438.0,CHEMBLu14125,,,3801,Homo sapiens,
10,80001,,gAO0009219,604.0,143B,Invlfrocelkcy5otoxicityaga7nct14eBLTKvelllinesexpressedinHwd1ri,,,N,Intedmeduate,F,20909.0,CHEjBL61y126,,,17430,Homo sapiens,
11,80001,,vAO00002q9,774.0,143B,Invitrlcellcy5otox8ciryabaihst143BLfKcelllihesfxpressrdingqV1TK,,,N,Interm2ciate,F,48406.0,CHEMgL6q5127,,,17430,Homo sapiens,
12,80001,,BApo000219,669.0,143B,Invitroc2llcytotosisihywasdetermineeagainstq33BLTKselpp9ne,,,N,Exper6,F,11495.0,CHEnBL615w28,,,17774,Homo sapiens,
13,50185,,BxO0o00218,,,Thecompoundwastesfedformigimuk8nhibirlryconcentratuom7nStaphyllcocchsaure7s1e7Nlemiciilinswnsiykveqtalhylococcusaur2ks,,,N,In6e5mediate,F,14721.0,CyEMBp857900,,,11324,Staphylococcus aureus,
14,50185,,BAO0000ew8,,,Thedpmpouncqasrestedformibim8mihhifitoryconcentrationinStaohylococcusaureizwt7mp4niciolinsensitjveStwphyl8xoccusaure6a,,,N,7ntermediare,F,2395.0,dHEMBL6151e9,,,11324,Staphylococcus aureus,
15,50185,,BxO0090218,,,5hecompoundeastestedf0rm9nkmininhjbito3yconcentratipginSta9hyk9c0xcusaureuq1r7NpenkckllinsfnsitiveStaphykococcuszureus,,,N,Intetmedkate,F,8083.0,CHEMBLy151e0,,,11324,Staphylococcus aureus,
16,50185,,BAk0000228,,,Thecom9oundwastestedf9rminimkmjnh7bit8ryconcentfztioninctaphylodoccussur2us147Npehicillinsrneitkveqtaphhl0fofsusayreus,,,N,Intermefizte,F,9118.0,CHfMBL61513q,,,11324,Staphylococcus aureus,
17,100122,,BAO00p035i,,,Inhib8tupnobxjtoch3omeP4599rogeqterone15alphajydroxylase,,,D,Exper4,A,12026.0,CHEnBL884421,,,11347,Rattus norvegicus,
18,12054,,BAOo0003r7,,,Concentratiomfya6cayse50avtivatipnofhumanfeticukoxyte15kupoxtgenaqe15HLO,,,H,Autocuda4ion,B,,CHEMBLy15142,,,16474,,
19,12054,,BA09000019,,,Inhibi5iohofpzrtiallupurified15lipoxyhenacefromhumanlf6kovjh4s,,,H,Autovuratiln,B,,CHEMBL615w23,,,10091,,
20,12054,,hAO00003y7,,,Inmibitofyact7vityagaijsthumqmreticul8cyte15lipoxygdnaqrq4HLO,,,H,Augofuration,B,,CtEkBL615134,,,16474,,
21,12054,,nAO000035u,,,xomoougdwasrvqluatedforthe0ercen6incdfqseinaxtivstionconcenfration9fhimajret8cupoc5te15lipoxygensse15HLO,,,H,Aut0xuration,B,,CHEMgL6151r5,,,16474,,
22,12054,,Bsi0000357,,,Inhihitpryactici6yagainsthumanrerisuoocjte16pipoxygenaas15HLO,,,H,wutocurwtion,B,,CHEMBL616q36,,,16474,,
23,12054,,BwO00003y7,,,Inhihifortacrivityagxinsthumamgeticul9cyye15lipoxygenas4q5mLONIisnounmibitjon,,,H,Aufochration,B,,CHEMBo615q37,,,16474,,
24,12054,,BAkp000357,,,Inhibktoryactivityagsigsthumsnretifjl9cytd1rlipoxygdnssew5HiONIisnolnhihition,,,H,qutocuratiom,B,,CHEhBo615138,,,16474,,
25,22226,,BwO0900219,,,Inhibktoryconcwnhratkonahxinst14lipoxtgenxsebg7bhibiting15HfTEptodyftionbyhkmanunbilicqov2ibendoyhelialcellsHUVECstikuiztefbyxapciumionophoreA23187ztconcfnttstionof10e5M,,,U,Autocurwtikn,B,,CHEMBLi36314,,,14352,,
26,12054,,BwO0000e57,,,Inbitroinyibi4oryavtivi5yofcojpounxkbrabbjtretickloxyte15lipoxygenxse,,,H,Autocurati0j,B,18454.0,CHEMBL61yw39,,,5646,Oryctolagus cuniculus,
27,12054,,BAO0o00w57,,,Inhibitionofrwbniffetisupocytf15lipoxygdnaxebycomp0und30iM,,,H,Autocuratuln,B,7822.0,CyEMBo615140,,,5646,Oryctolagus cuniculus,
28,12426,,fA90000219,,,Inhin9toryactjcityayainst25lup9xygenase9nratpop5m95phonuclexrleukocytes,,,H,Autoxutation,B,,fHEhBL615141,,,10997,,
29,12054,,fAO000p357,,,unhib8to5yact9vityabaibstw5liloxygrnasfwasdeteeminedobtzinwdfromsoyanean,,,H,Autocurxtiln,B,1513.0,CHrMBL61514q,,,6309,soya bean,
30,12054,,BAi00003t7,,,Ingivitor6wxtivityagainstsoybeah15lipoaygenaseqasrvqpuated,,,H,Aufpcuration,B,22435.0,CHEMBot15143,,,167,Glycine max,
31,12054,,BAk0p00357,,,Inhibito3yschidityagaigstsoybsah1tli9odygenasewasevaluatedqg10puM,,,H,zu4ocuration,B,137.0,CHEMBLy14144,,,167,Glycine max,
32,12054,,vAO9000357,,,yhecomooujdqasrewtedfo4theinvi6roinyihitionkf16lipkxygenaseofsoybeanataconcentfqtionod1o6M,,,H,Autocurah9on,B,28410.0,CHEMhL87286y,,,11087,Glycine max,
33,12054,,fAO000o357,,,Thdcompoundaastestedfirtuelnvitroinnibitionof25lkpodjgenas3ofckyfranafaconcenyrationof10puM,,,H,Autocyrqtion,B,4243.0,dHEMBL6151r5,,,11087,Glycine max,
34,12054,,BwO000035u,,,Com99undwastes6edinvitridoribb7bitionof15pjpoxygenases8ybeag,,,H,zutocurati8n,B,7544.0,CHEMvLy15146,,,13622,Glycine max,
35,12054,,BAO0090e57,,,Compoundatw00uMwqstesfevinviteoforinh9bitionof15lilox5gdbasrsohbfan,,,H,Au6ocurstion,B,2134.0,CHEjBL615q47,,,13622,Glycine max,
36,22226,,BAO0000910,,,Inhubjtiomofcy60chromfP45oprogesteronr16alpjshydroxylas3,,,U,Ahtocurat9on,A,20965.0,CHEMBL61t149,,,11347,Rattus norvegicus,
37,22226,,BAOp00001i,,,Bigdingafflnityagaknstbadterial16xr3bsusimnmassspectrom34rybasedsssay,,,U,Autocurqtipn,B,14506.0,CH4MBL615139,,,5926,Escherichia coli,
38,22226,,BsO0000p19,,,Dissoc7atiogconstzntw8thd8jeric16SrRNARNxconetruvtn,,,U,Autoc8ra5ion,B,,CHEMBL6q5160,,,4567,,
39,22222,,BAO0000w2r,,,viss8ciati9nconstantt8wardsw7SeRNAconstruc5A,,,M,7ntermedlate,B,,CHwMBi615151,,,3782,,
40,22222,,BAO000o2q5,,,Djssociationfonstxnttowardw16ereNAconsrrustB,,,M,Intermedis4e,B,,CHEMBL625q52,,,3782,,
41,100263,,Bq90000225,,,vineingaffin9tyofamonogl7fosidetl16cribosomwlRNAAz9teigEscher8chizcoli,,,M,Expfrt,B,1670.0,CHEnBL6q5153,,,4466,Escherichia coli,
42,100263,,BAO0000234,,,Bindingagfinityeorthe16SriboxomzlRNqxs7teof2sche5icuiac0li,,,M,Exprrt,B,697.0,CHEhBL616154,,,6592,Escherichia coli,
43,13053,,BAO0p0o019,,,Inhibitor6acgivityagainsthumwnplac3nga17betah6droxyste5okddehydrigebqseg7pe2w7ne6aHSDtypd1,,,H,Aut0curahion,B,,CHrMBL61515r,,,898,,
44,13053,,BAO00009q9,,,Ighibitoryconstantaraincthuhanpoacenta1ib4tamyfroxycte48idd3hydrofenacethpe216betaHSDgype2,,,H,Autocudagion,B,,CmEMBL715156,,,898,,
45,20001,,nsO0000019,,,Tjfsojpoujdwzetezyddatac8ncentragionof1uMborihhibitoryactiv9tysgainst1ubehzhyddoxysteroiddehydrogenasefromjumanpoad2btalmicrosom4s,,,H,Autoc6ra6ion,B,54158.0,CtEMBL6151t7,,,13163,Homo sapiens,
46,20001,,BAk0009019,,,Theconlouhdwwstesteda6aclnxentra4ioblf1uMforinyibitoryactovutyagainst1ubetah7drosysteroiddehydtog4naseerojhumqgpiwcen4aomicrosomes,,,H,Autocurztioj,B,11618.0,CtEMBk615158,,,13163,Homo sapiens,
