attore_id,film_id,titolo,descrizione,data_rilascio,lingua,lingua_originale_id,durata_noleggio,tariffa_noleggio,durata,costo_sostituzione,voto,nome,cognome
30,262,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,English,,5,0.99,119,17.99,NC-17,SANDRA,PECK
30,260,DUDE BLINDNESS,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,2006,English,,3,4.99,132,9.99,G,SANDRA,PECK
30,53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,English,,5,2.99,87,25.99,NC-17,SANDRA,PECK
30,69,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,English,,3,2.99,85,21.99,R,SANDRA,PECK
30,87,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,English,,7,0.99,76,14.99,NC-17,SANDRA,PECK
30,732,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,2006,English,,5,0.99,58,17.99,G,SANDRA,PECK
30,838,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,English,,5,4.99,112,25.99,R,SANDRA,PECK
30,1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English,,6,0.99,86,20.99,PG,SANDRA,PECK
30,321,FLASH WARS,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,2006,English,,3,4.99,123,21.99,NC-17,SANDRA,PECK
30,945,VIRGINIAN PLUTO,A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin,2006,English,,5,0.99,164,22.99,R,SANDRA,PECK
30,64,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,English,,6,0.99,151,26.99,PG-13,SANDRA,PECK
30,565,MATRIX SNOWMAN,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,2006,English,,6,4.99,56,9.99,PG-13,SANDRA,PECK
30,292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,English,,3,0.99,51,20.99,G,SANDRA,PECK
80,262,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,English,,5,0.99,119,17.99,NC-17,RALPH,CRUZ
80,260,DUDE BLINDNESS,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,2006,English,,3,4.99,132,9.99,G,RALPH,CRUZ
80,680,PINOCCHIO SIMON,A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California,2006,English,,4,4.99,103,21.99,PG,RALPH,CRUZ
80,342,FUGITIVE MAGUIRE,A Taut Epistle of a Feminist And a Sumo Wrestler who must Battle a Crocodile in Australia,2006,English,,7,4.99,83,28.99,R,RALPH,CRUZ
80,475,JAPANESE RUN,A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback,2006,English,,6,0.99,135,29.99,G,RALPH,CRUZ
80,362,GLORY TRACY,A Amazing Saga of a Woman And a Womanizer who must Discover a Cat in The First Manned Space Station,2006,English,,7,2.99,115,13.99,PG-13,RALPH,CRUZ
80,343,FULL FLATLINERS,A Beautiful Documentary of a Astronaut And a Moose who must Pursue a Monkey in A Shark Tank,2006,English,,6,2.99,94,14.99,PG,RALPH,CRUZ
80,175,CONFUSED CANDLES,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,2006,English,,3,2.99,122,27.99,PG-13,RALPH,CRUZ
80,124,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,2006,English,,3,4.99,163,16.99,PG-13,RALPH,CRUZ
80,807,SLEUTH ORIENT,A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India,2006,English,,4,0.99,87,25.99,NC-17,RALPH,CRUZ
80,688,POLISH BROOKLYN,A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback,2006,English,,6,0.99,61,12.99,PG,RALPH,CRUZ
80,687,POCUS PULP,A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory,2006,English,,6,0.99,138,15.99,NC-17,RALPH,CRUZ
80,979,WITCHES PANIC,A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria,2006,English,,6,4.99,100,10.99,NC-17,RALPH,CRUZ
80,888,THIN SAGEBRUSH,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,2006,English,,5,4.99,53,9.99,PG-13,RALPH,CRUZ
80,280,EMPIRE MALKOVICH,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,2006,English,,7,0.99,177,26.99,G,RALPH,CRUZ
80,619,NEIGHBORS CHARADE,A Fanciful Reflection of a Crocodile And a Astronaut who must Outrace a Feminist in An Abandoned Amusement Park,2006,English,,3,0.99,161,20.99,R,RALPH,CRUZ
80,118,CANYON STOCK,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,2006,English,,7,0.99,85,26.99,R,RALPH,CRUZ
79,262,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,English,,5,0.99,119,17.99,NC-17,MAE,HOFFMAN
79,750,RUN PACIFIC,A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention,2006,English,,3,0.99,145,25.99,R,MAE,HOFFMAN
79,141,CHICAGO NORTH,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,2006,English,,6,4.99,185,11.99,PG-13,MAE,HOFFMAN
79,628,NORTHWEST POLISH,A Boring Character Study of a Boy And a A Shark who must Outrace a Womanizer in The Outback,2006,English,,5,2.99,172,24.99,PG,MAE,HOFFMAN
79,769,SCHOOL JACKET,A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse,2006,English,,5,4.99,151,21.99,PG-13,MAE,HOFFMAN
79,473,JACKET FRISCO,A Insightful Reflection of a Womanizer And a Husband who must Conquer a Pastry Chef in A Baloon,2006,English,,5,2.99,181,16.99,PG-13,MAE,HOFFMAN
79,40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,English,,4,0.99,148,22.99,R,MAE,HOFFMAN
