assay_id,variant_id,assay_tissue,tid,tissue_id,src_assay_id,assay_strain,cell_id,relationship_type,assay_test_type,curated_by,assay_cell_type,assay_subcellular_fraction,confidence_score,src_id,chembl_id,bao_format
7524,,Kidney,50597,2113.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618647,BAO_0000218
7525,,Kidney,50597,2113.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618648,BAO_0000218
7526,,Kidney,50597,2113.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618649,BAO_0000218
7527,,Liver,50597,2107.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618650,BAO_0000218
7528,,Liver,50597,2107.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618651,BAO_0000218
7529,,Liver,50597,2107.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL876497,BAO_0000218
7530,,Lung,50597,2048.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618652,BAO_0000218
7531,,Lung,50597,2048.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618653,BAO_0000218
7532,,Lung,50597,2048.0,,,,N,In vivo,Intermediate,,,1,1,CHEMBL618654,BAO_0000218
7533,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618655,BAO_0000218
7534,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618656,BAO_0000218
7535,,,22229,,,,,U,,Intermediate,,,0,1,CHEMBL618657,BAO_0000100
7536,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618658,BAO_0000218
7537,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618659,BAO_0000218
7538,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618660,BAO_0000218
7539,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618661,BAO_0000218
7540,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL873807,BAO_0000218
7541,,,50597,,,,,N,,Intermediate,,,1,1,CHEMBL618662,BAO_0000218
