film_id,category_id,name,title,description,release_year,language,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating
246,9,Foreign,DOUBTFIRE LABYRINTH,A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert,2006,English,,5,4.99,154,16.99,R
128,9,Foreign,CATCH AMISTAD,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,2006,English,,7,0.99,183,10.99,G
584,9,Foreign,MIXED DOORS,A Taut Drama of a Womanizer And a Lumberjack who must Succumb a Pioneer in Ancient India,2006,English,,6,2.99,180,26.99,PG-13
380,9,Foreign,GREEK EVERYONE,A Stunning Display of a Butler And a Teacher who must Confront a A Shark in The First Manned Space Station,2006,English,,7,2.99,176,11.99,PG
908,9,Foreign,TRAP GUYS,A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert,2006,English,,3,4.99,110,11.99,G
500,9,Foreign,KISS GLORY,A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies,2006,English,,5,4.99,163,11.99,PG-13
531,9,Foreign,LOSE INCH,A Stunning Reflection of a Student And a Technical Writer who must Battle a Butler in The First Manned Space Station,2006,English,,3,0.99,137,18.99,R
567,9,Foreign,MEET CHOCOLATE,A Boring Documentary of a Dentist And a Butler who must Confront a Monkey in A MySQL Convention,2006,English,,3,2.99,80,26.99,G
290,9,Foreign,EVERYONE CRAFT,A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria,2006,English,,4,0.99,163,29.99,PG
640,9,Foreign,OPUS ICE,A Fast-Paced Drama of a Hunter And a Boy who must Discover a Feminist in The Sahara Desert,2006,English,,5,4.99,102,21.99,R
399,9,Foreign,HAPPINESS UNITED,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,2006,English,,6,2.99,100,23.99,G
440,9,Foreign,HUNGER ROOF,A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft,2006,English,,6,0.99,105,21.99,G
689,9,Foreign,POLLOCK DELIVERANCE,A Intrepid Story of a Madman And a Frisbee who must Outgun a Boat in The Sahara Desert,2006,English,,5,2.99,137,14.99,PG
414,9,Foreign,HELLFIGHTERS SIERRA,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,2006,English,,3,2.99,75,23.99,PG
376,9,Foreign,GRAPES FURY,A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia,2006,English,,4,0.99,155,20.99,G
452,9,Foreign,ILLUSION AMELIE,A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft,2006,English,,4,0.99,122,15.99,R
669,9,Foreign,PEARL DESTINY,A Lacklusture Yarn of a Astronaut And a Pastry Chef who must Sink a Dog in A U-Boat,2006,English,,3,2.99,74,10.99,NC-17
533,9,Foreign,LOST BIRD,A Emotional Character Study of a Robot And a A Shark who must Defeat a Technical Writer in A Manhattan Penthouse,2006,English,,4,2.99,98,21.99,PG-13
455,9,Foreign,IMPOSSIBLE PREJUDICE,A Awe-Inspiring Yarn of a Monkey And a Hunter who must Chase a Teacher in Ancient China,2006,English,,7,4.99,103,11.99,NC-17
971,9,Foreign,WHALE BIKINI,A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention,2006,English,,4,4.99,109,11.99,PG-13
148,9,Foreign,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,2006,English,,3,2.99,132,13.99,R
879,12,Music,TELEGRAPH VOYAGE,A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat,2006,English,,3,4.99,148,20.99,PG
936,12,Music,VANISHING ROCKY,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention,2006,English,,3,2.99,123,21.99,NC-17
980,12,Music,WIZARD COLDBLOODED,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,2006,English,,4,4.99,75,12.99,PG
384,12,Music,GROSSE WONDERFUL,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English,,5,4.99,49,19.99,R
411,12,Music,HEAVENLY GUN,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,2006,English,,5,4.99,49,13.99,NC-17
378,12,Music,GREATEST NORTH,A Astounding Character Study of a Secret Agent And a Robot who must Build a A Shark in Berlin,2006,English,,5,2.99,93,24.99,NC-17
516,12,Music,LEGEND JEDI,A Awe-Inspiring Epistle of a Pioneer And a Student who must Outgun a Crocodile in The Outback,2006,English,,7,0.99,59,18.99,PG
51,12,Music,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,English,,5,2.99,75,10.99,NC-17
17,12,Music,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,English,,3,0.99,82,14.99,R
255,12,Music,DRIVING POLISH,A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft,2006,English,,6,4.99,175,21.99,NC-17
797,12,Music,SILENCE KANE,A Emotional Drama of a Sumo Wrestler And a Dentist who must Confront a Sumo Wrestler in A Baloon,2006,English,,7,0.99,67,23.99,R
475,11,Horror,JAPANESE RUN,A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback,2006,English,,6,0.99,135,29.99,G
800,11,Horror,SINNERS ATLANTIS,A Epic Display of a Dog And a Boat who must Succumb a Mad Scientist in An Abandoned Mine Shaft,2006,English,,7,2.99,126,19.99,PG-13
904,11,Horror,TRAIN BUNCH,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,2006,English,,3,4.99,71,26.99,R
995,11,Horror,YENTL IDAHO,A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin,2006,English,,5,4.99,86,11.99,R
495,11,Horror,KENTUCKIAN GIANT,A Stunning Yarn of a Woman And a Frisbee who must Escape a Waitress in A U-Boat,2006,English,,5,2.99,169,10.99,PG
258,11,Horror,DRUMS DYNAMITE,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,2006,English,,6,0.99,96,11.99,PG
804,11,Horror,SLEEPING SUSPECTS,A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention,2006,English,,7,4.99,129,13.99,PG-13
30,11,Horror,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,English,,4,2.99,82,27.99,R
24,11,Horror,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,English,,6,2.99,181,19.99,R
122,11,Horror,CARRIE BUNCH,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,2006,English,,7,0.99,114,11.99,PG
171,11,Horror,COMMANDMENTS EXPRESS,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,2006,English,,6,4.99,59,13.99,R
653,11,Horror,PANIC CLUB,A Fanciful Display of a Teacher And a Crocodile who must Succumb a Girl in A Baloon,2006,English,,3,4.99,102,15.99,G
922,11,Horror,UNDEFEATED DALMATIONS,A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park,2006,English,,7,4.99,107,22.99,PG-13
799,11,Horror,SIMON NORTH,A Thrilling Documentary of a Technical Writer And a A Shark who must Face a Pioneer in A Shark Tank,2006,English,,3,0.99,51,26.99,NC-17
665,11,Horror,PATTON INTERVIEW,A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin,2006,English,,4,2.99,175,22.99,PG
