assay_id,assay_subcellular_fraction,assay_tissue,tid,confidence_score,curated_by,assay_organism,tissue_id,relationship_type,assay_type,assay_tax_id,assay_cell_type,variant_id,src_assay_id,cell_id,chembl_id,assay_category,assay_strain,src_id,bao_format
7524,,Kidney,50597,1,Intermediate,Rattus norvegicus,2113.0,N,A,10116.0,,,,,CHEMBL618647,,,1,BAO_0000218
7525,,Kidney,50597,1,Intermediate,Rattus norvegicus,2113.0,N,A,10116.0,,,,,CHEMBL618648,,,1,BAO_0000218
7526,,Kidney,50597,1,Intermediate,Rattus norvegicus,2113.0,N,A,10116.0,,,,,CHEMBL618649,,,1,BAO_0000218
7527,,Liver,50597,1,Intermediate,Rattus norvegicus,2107.0,N,A,10116.0,,,,,CHEMBL618650,,,1,BAO_0000218
7528,,Liver,50597,1,Intermediate,Rattus norvegicus,2107.0,N,A,10116.0,,,,,CHEMBL618651,,,1,BAO_0000218
7529,,Liver,50597,1,Intermediate,Rattus norvegicus,2107.0,N,A,10116.0,,,,,CHEMBL876497,,,1,BAO_0000218
7530,,Lung,50597,1,Intermediate,Rattus norvegicus,2048.0,N,A,10116.0,,,,,CHEMBL618652,,,1,BAO_0000218
7531,,Lung,50597,1,Intermediate,Rattus norvegicus,2048.0,N,A,10116.0,,,,,CHEMBL618653,,,1,BAO_0000218
7532,,Lung,50597,1,Intermediate,Rattus norvegicus,2048.0,N,A,10116.0,,,,,CHEMBL618654,,,1,BAO_0000218
7533,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618655,,,1,BAO_0000218
7534,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618656,,,1,BAO_0000218
7535,,,22229,0,Intermediate,,,U,P,,,,,,CHEMBL618657,,,1,BAO_0000100
7536,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618658,,,1,BAO_0000218
7537,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618659,,,1,BAO_0000218
7538,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618660,,,1,BAO_0000218
7539,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618661,,,1,BAO_0000218
7540,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL873807,,,1,BAO_0000218
7541,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618662,,,1,BAO_0000218
7542,,,50597,1,Intermediate,Rattus norvegicus,,N,A,10116.0,,,,,CHEMBL618663,,,1,BAO_0000218
