lingua,film_id,durata_noleggio,voto,descrizione,titolo,costo_sostituzione,data_rilascio,lingua_originale_id,durata,tariffa_noleggio
English,755,5,PG,A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert,SABRINA MIDNIGHT,11.99,2006,,99,4.99
English,502,4,PG-13,A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon,KNOCK WARLOCK,21.99,2006,,71,2.99
English,723,3,PG-13,A Emotional Yarn of a Composer And a Man who must Escape a Butler in The Gulf of Mexico,REIGN GENTLEMEN,29.99,2006,,82,2.99
English,318,7,G,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,FIREHOUSE VIETNAM,14.99,2006,,103,0.99
English,892,3,R,A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory,TITANIC BOONDOCK,18.99,2006,,104,4.99
English,158,6,R,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,CLONES PINOCCHIO,16.99,2006,,124,2.99
English,125,5,NC-17,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,CASSIDY WYOMING,19.99,2006,,61,2.99
English,197,4,R,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,CRUSADE HONEY,27.99,2006,,112,2.99
English,731,7,PG-13,A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat,RIGHT CRANES,29.99,2006,,153,4.99
English,61,5,G,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,BEAUTY GREASE,28.99,2006,,175,4.99
English,22,6,G,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,AMISTAD MIDSUMMER,10.99,2006,,85,2.99
English,392,5,NC-17,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,HALL CASSIDY,13.99,2006,,51,4.99
