film_id,nome,cognome,attore_id
880,JULIA,MCQUEEN,27
179,KEVIN,BLOOM,25
978,WILLIAM,HACKMAN,175
957,MINNIE,ZELLWEGER,85
874,GRETA,MALDEN,157
283,BURT,DUKAKIS,36
352,MICHAEL,BENING,174
915,JESSICA,BAILEY,67
590,DEBBIE,AKROYD,182
429,JULIANNE,DENCH,123
793,SISSY,SOBIESKI,31
669,CAMERON,ZELLWEGER,111
231,PENELOPE,MONROE,120
606,KEVIN,BLOOM,25
703,CHRISTIAN,NEESON,61
539,SCARLETT,BENING,124
782,CHRIS,BRIDGES,98
900,REESE,KILMER,45
892,PENELOPE,CRONYN,104
538,KEVIN,BLOOM,25
296,RIP,WINSLET,68
605,JUDE,CRUISE,57
944,JULIA,BARRYMORE,47
431,SISSY,SOBIESKI,31
282,ANNE,CRONYN,49
262,SANDRA,PECK,30
375,GRETA,KEITEL,130
373,WHOOPI,HURT,140
231,MINNIE,KILMER,153
398,JAYNE,NEESON,62
576,RIVER,DEAN,143
602,WILL,WILSON,168
795,NATALIE,HOPKINS,50
421,SPENCER,PECK,87
752,CATE,HARRIS,141
615,JUDY,DEAN,35
49,CUBA,ALLEN,118
314,ALBERT,JOHANSSON,146
662,ROCK,DUKAKIS,188
25,JULIA,BARRYMORE,47
144,UMA,WOOD,13
131,ED,GUINESS,179
633,LIZA,BERGMAN,121
72,MINNIE,ZELLWEGER,85
757,MORGAN,MCDORMAND,114
12,BURT,POSEY,75
619,SCARLETT,DAMON,81
43,AUDREY,OLIVIER,34
553,CUBA,ALLEN,118
966,IAN,TANDY,155
870,ANGELINA,ASTAIRE,76
235,HENRY,BERRY,60
283,CHRISTOPHER,WEST,163
996,JAMES,PITT,84
105,SANDRA,KILMER,23
717,JUDE,CRUISE,57
807,WILL,WILSON,168
637,JULIA,MCQUEEN,27
72,CHRIS,BRIDGES,98
303,NATALIE,HOPKINS,50
306,NATALIE,HOPKINS,50
23,ELVIS,MARX,22
626,CUBA,OLIVIER,15
815,GOLDIE,BRODY,39
983,CHRISTIAN,GABLE,10
849,KENNETH,HOFFMAN,169
131,FAY,WINSLET,147
534,JAYNE,SILVERSTONE,195
785,CHRISTOPHER,WEST,163
745,MORGAN,WILLIAMS,137
1000,NICK,DEGENERES,166
686,HARRISON,BALE,115
273,LISA,MONROE,178
440,MERYL,GIBSON,154
457,DAN,HARRIS,56
905,RITA,REYNOLDS,135
461,MINNIE,ZELLWEGER,85
953,WOODY,HOFFMAN,28
812,CARMEN,HUNT,52
622,RALPH,CRUZ,80
715,PENELOPE,MONROE,120
576,JULIANNE,DENCH,123
288,NATALIE,HOPKINS,50
144,DAN,TORN,18
61,CAMERON,ZELLWEGER,111
406,MARY,KEITEL,198
119,CATE,MCQUEEN,128
467,FAY,WOOD,156
475,RALPH,CRUZ,80
805,JULIA,MCQUEEN,27
995,REESE,WEST,197
689,GROUCHO,SINATRA,78
467,REESE,KILMER,45
468,FRANCES,TOMEI,126
664,ALBERT,NOLTE,125
84,GREGORY,GOODING,191
444,MINNIE,KILMER,153
576,JULIA,BARRYMORE,47
890,VIVIEN,BERGEN,14
796,MARY,KEITEL,198
62,ALBERT,NOLTE,125
322,MORGAN,HOPKINS,113
214,LUCILLE,DEE,138
663,SEAN,GUINESS,90
464,MARY,KEITEL,198
816,WOODY,HOFFMAN,28
636,GREG,CHAPLIN,86
755,CHRISTIAN,AKROYD,58
102,ROCK,DUKAKIS,188
778,RENEE,TRACY,117
443,KIRSTEN,AKROYD,92
410,RICHARD,PENN,133
379,HARRISON,BALE,115
641,KEVIN,GARLAND,127
292,PENELOPE,PINKETT,54
923,JULIA,BARRYMORE,47
463,ED,GUINESS,179
508,BURT,POSEY,75
141,JAYNE,SILVERSTONE,195
509,WHOOPI,HURT,140
966,ALBERT,JOHANSSON,146
719,EWAN,GOODING,139
147,RIP,CRAWFORD,26
121,OPRAH,KILMER,162
165,LUCILLE,TRACY,20
133,ALEC,WAYNE,29
245,HARRISON,BALE,115
637,GRACE,MOSTEL,7
594,CUBA,OLIVIER,15
665,MICHAEL,BOLGER,185
223,JULIANNE,DENCH,123
303,MARY,KEITEL,198
414,ED,MANSFIELD,136
728,KARL,BERRY,12
395,ALBERT,NOLTE,125
476,GOLDIE,BRODY,39
327,NATALIE,HOPKINS,50
381,WARREN,JACKMAN,119
779,JODIE,DEGENERES,41
773,ROCK,DUKAKIS,188
182,BOB,FAWCETT,19
446,JULIANNE,DENCH,123
34,FRANCES,TOMEI,126
354,KENNETH,TORN,94
220,IAN,TANDY,155
207,DARYL,WAHLBERG,95
694,ANGELA,HUDSON,65
473,ANGELA,WITHERSPOON,144
914,KEVIN,BLOOM,25
88,RITA,REYNOLDS,135
600,BURT,DUKAKIS,36
608,JADA,RYDER,142
771,BOB,FAWCETT,19
474,DAN,HARRIS,56
574,HUMPHREY,GARLAND,184
172,JULIA,BARRYMORE,47
8,LUCILLE,DEE,138
235,ALAN,DREYFUSS,173
386,GENE,HOPKINS,134
342,GEOFFREY,HESTON,151
872,OLYMPIA,PFEIFFER,171
964,MICHELLE,MCCONAUGHEY,70
752,REESE,WEST,197
732,JEFF,SILVERSTONE,180
362,CHRISTIAN,NEESON,61
906,RIP,CRAWFORD,26
990,SIDNEY,CROWE,105
529,JAMES,PITT,84
478,HELEN,VOIGHT,17
87,SANDRA,PECK,30
543,MINNIE,ZELLWEGER,85
620,KENNETH,PESCI,88
826,DARYL,CRAWFORD,129
335,RAY,JOHANSSON,64
842,SANDRA,KILMER,23
643,LUCILLE,TRACY,20
379,MARY,KEITEL,198
636,JIM,MOSTEL,99
474,ED,MANSFIELD,136
