nome_categoria,categoria_id,film_id
Horror,11,830
Family,8,528
Children,3,801
Documentary,6,589
Drama,7,521
Sports,15,577
Family,8,175
Classics,4,228
Music,12,244
Travel,16,648
Children,3,59
Drama,7,706
Drama,7,204
Travel,16,903
Comedy,5,555
Documentary,6,945
Action,1,802
Documentary,6,575
Family,8,610
Music,12,540
Games,10,560
Horror,11,658
Foreign,9,769
Drama,7,897
Animation,2,456
Travel,16,41
Documentary,6,576
Family,8,63
Comedy,5,756
Comedy,5,814
Family,8,458
Games,10,747
Games,10,507
Family,8,309
Family,8,715
Animation,2,693
Comedy,5,529
Foreign,9,961
Animation,2,743
Foreign,9,595
Animation,2,651
Sports,15,474
Action,1,664
Children,3,491
Sports,15,671
New,13,216
New,13,465
Horror,11,593
Foreign,9,198
Games,10,227
Action,1,194
Horror,11,702
Family,8,700
Drama,7,979
Games,10,746
Children,3,344
Music,12,636
Animation,2,644
Horror,11,277
Animation,2,241
Documentary,6,670
Comedy,5,410
Travel,16,169
Sports,15,902
Documentary,6,776
Comedy,5,1000
Drama,7,379
Animation,2,433
Foreign,9,900
Sci-Fi,14,863
Foreign,9,821
Games,10,217
Documentary,6,788
New,13,933
Travel,16,785
Foreign,9,770
Horror,11,35
Animation,2,569
Comedy,5,638
Family,8,727
Documentary,6,336
Animation,2,402
Sci-Fi,14,655
New,13,751
Animation,2,89
Family,8,498
Travel,16,57
Horror,11,494
Sports,15,293
Action,1,115
Music,12,877
Action,1,360
Sci-Fi,14,374
Travel,16,894
Children,3,124
Family,8,139
Horror,11,415
Drama,7,272
Children,3,450
Classics,4,652
Animation,2,859
Sports,15,841
Action,1,56
Travel,16,386
Classics,4,341
Action,1,586
Sci-Fi,14,235
Sports,15,777
Games,10,316
Classics,4,484
Sports,15,27
Horror,11,909
Classics,4,862
New,13,267
Foreign,9,460
Sci-Fi,14,151
New,13,847
Drama,7,539
Sports,15,606
Animation,2,820
Foreign,9,459
Animation,2,696
Sci-Fi,14,137
Drama,7,618
Sci-Fi,14,893
Comedy,5,247
Action,1,594
New,13,481
Documentary,6,926
Sports,15,383
Documentary,6,219
Animation,2,243
Comedy,5,613
Family,8,147
Music,12,20
Family,8,603
Comedy,5,660
Family,8,71
Animation,2,326
Travel,16,656
Family,8,975
Classics,4,487
Sci-Fi,14,723
Foreign,9,957
Classics,4,37
Games,10,624
Animation,2,892
Foreign,9,192
Sports,15,628
Animation,2,489
New,13,686
Children,3,761
Action,1,915
Animation,2,510
Sports,15,372
Comedy,5,478
Family,8,345
Sci-Fi,14,285
Children,3,852
Horror,11,8
Action,1,549
Games,10,684
Foreign,9,337
Sci-Fi,14,369
Children,3,853
Horror,11,506
Action,1,111
Sci-Fi,14,26
Animation,2,582
Comedy,5,324
Comedy,5,332
Children,3,993
Drama,7,969
Travel,16,878
Children,3,768
Family,8,43
Sci-Fi,14,73
Sports,15,813
Action,1,825
Children,3,343
Music,12,363
Animation,2,245
Comedy,5,159
New,13,490
Family,8,499
New,13,760
Family,8,829
Action,1,417
New,13,22
Horror,11,4
Games,10,438
Family,8,83
Travel,16,451
Children,3,354
Animation,2,805
Animation,2,154
Foreign,9,726
New,13,806
Music,12,86
New,13,730
Sci-Fi,14,312
Foreign,9,112
Children,3,883
Sports,15,291
Games,10,141
Action,1,271
Sci-Fi,14,390
Children,3,889
Family,8,359
Horror,11,854
Animation,2,816
Animation,2,349
Sci-Fi,14,195
Games,10,310
Action,1,574
Music,12,333
Documentary,6,150
Family,8,437
Drama,7,401
Travel,16,472
Classics,4,874
New,13,163
Documentary,6,888
Travel,16,981
Comedy,5,932
Foreign,9,6
Foreign,9,486
Documentary,6,248
Games,10,556
Comedy,5,522
Foreign,9,100
Foreign,9,929
Classics,4,694
Sports,15,667
Drama,7,775
Drama,7,107
Music,12,752
Family,8,557
Children,3,864
New,13,948
Sports,15,836
Sports,15,254
Classics,4,480
Family,8,231
Sports,15,120
Animation,2,583
Family,8,82
New,13,551
Documentary,6,544
Family,8,50
