noleggio_id,ammontare,cliente_id,pagamento_id,data_pagamento,personale_id
573,0.99,1,2,2005-05-28 10:35:23,1
1476,9.99,1,5,2005-06-15 21:08:46,2
3284,3.99,1,9,2005-06-21 06:24:45,1
5244,4.99,1,12,2005-07-09 13:24:07,1
7273,2.99,1,15,2005-07-27 11:31:22,2
7841,4.99,1,16,2005-07-28 09:04:45,1
11367,0.99,1,24,2005-08-02 18:01:38,1
13068,0.99,1,27,2005-08-19 09:55:16,2
15298,2.99,1,31,2005-08-22 19:41:37,2
15315,5.99,1,32,2005-08-22 20:03:46,1
5636,2.99,2,35,2005-07-10 06:31:24,1
7346,4.99,2,37,2005-07-27 14:30:42,2
7376,5.99,2,38,2005-07-27 15:23:02,1
10136,2.99,2,48,2005-07-31 21:58:56,1
11177,6.99,2,52,2005-08-02 10:43:48,1
11256,2.99,2,53,2005-08-02 13:44:53,2
12963,2.99,2,55,2005-08-19 06:26:04,1
1546,8.99,3,62,2005-06-16 01:34:05,1
1726,6.99,3,63,2005-06-16 15:19:10,1
2628,2.99,3,65,2005-06-19 08:34:53,1
7911,4.99,3,72,2005-07-28 11:46:45,1
9816,4.99,3,78,2005-07-31 11:32:58,2
7660,2.99,4,92,2005-07-28 02:10:10,1
9371,5.99,4,96,2005-07-30 18:58:00,1
11069,0.99,4,97,2005-08-02 07:09:34,2
12294,8.99,4,101,2005-08-18 05:14:44,2
15147,2.99,4,106,2005-08-22 13:58:23,1
15635,1.99,4,107,2005-08-23 07:43:00,2
1085,6.99,5,109,2005-05-31 11:15:43,1
4889,2.99,5,117,2005-07-08 20:04:43,2
5156,1.99,5,120,2005-07-09 08:51:42,2
5721,0.99,5,121,2005-07-10 11:09:35,2
6042,8.99,5,122,2005-07-11 03:17:04,1
7293,0.99,5,125,2005-07-27 12:37:28,2
12797,2.99,5,138,2005-08-19 00:24:08,1
57,4.99,6,146,2005-05-25 08:43:32,2
577,2.99,6,147,2005-05-28 11:09:14,1
3983,0.99,6,153,2005-07-06 23:14:21,2
6686,0.99,6,158,2005-07-12 12:18:38,2
7099,2.99,6,159,2005-07-27 05:03:44,2
