descrizione,durata,durata_noleggio,titolo,tariffa_noleggio,lingua,lingua_originale_id,costo_sostituzione,data_rilascio,film_id,voto
A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,86,6,ACADEMY DINOSAUR,0.99,English,,20.99,2006,1,PG
A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,48,3,ACE GOLDFINGER,4.99,English,,12.99,2006,2,G
A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,50,7,ADAPTATION HOLES,2.99,English,,18.99,2006,3,NC-17
A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,117,5,AFFAIR PREJUDICE,2.99,English,,26.99,2006,4,G
A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,130,6,AFRICAN EGG,2.99,English,,22.99,2006,5,G
A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,169,3,AGENT TRUMAN,2.99,English,,17.99,2006,6,PG
A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,62,6,AIRPLANE SIERRA,4.99,English,,28.99,2006,7,PG-13
A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,54,6,AIRPORT POLLOCK,4.99,English,,15.99,2006,8,R
A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,114,3,ALABAMA DEVIL,2.99,English,,21.99,2006,9,PG-13
A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,63,6,ALADDIN CALENDAR,4.99,English,,24.99,2006,10,NC-17
A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,126,6,ALAMO VIDEOTAPE,0.99,English,,16.99,2006,11,G
A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,136,6,ALASKA PHANTOM,0.99,English,,22.99,2006,12,PG
