assays_ss_d,assays_ss_sbclllr_frctn,assays_cll_d,assays_td,assays_cnfdnc_scr,assays_src_d,assays_src_ss_d,assays_ss_strn,assays_ss_rgnsm,assays_dc_d,assays_chmbl_d,assays_ss_cll_tp,assays_rltnshp_tp,assays_crtd_b,assays_b_frmt,assays_tss_d,assays_vrnt_d
7524,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618647,,N,Intermediate,BAO_0000218,2113.0,
7525,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618648,,N,Intermediate,BAO_0000218,2113.0,
7526,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618649,,N,Intermediate,BAO_0000218,2113.0,
7527,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618650,,N,Intermediate,BAO_0000218,2107.0,
7528,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618651,,N,Intermediate,BAO_0000218,2107.0,
7529,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL876497,,N,Intermediate,BAO_0000218,2107.0,
7530,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618652,,N,Intermediate,BAO_0000218,2048.0,
7531,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618653,,N,Intermediate,BAO_0000218,2048.0,
7532,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618654,,N,Intermediate,BAO_0000218,2048.0,
7533,,,50597,1,1,,,Rattus norvegicus,6351,CHEMBL618655,,N,Intermediate,BAO_0000218,,
7534,,,50597,1,1,,,Rattus norvegicus,1465,CHEMBL618656,,N,Intermediate,BAO_0000218,,
7535,,,22229,0,1,,,,5182,CHEMBL618657,,U,Intermediate,BAO_0000100,,
7536,,,50597,1,1,,,Rattus norvegicus,17847,CHEMBL618658,,N,Intermediate,BAO_0000218,,
7537,,,50597,1,1,,,Rattus norvegicus,15339,CHEMBL618659,,N,Intermediate,BAO_0000218,,
7538,,,50597,1,1,,,Rattus norvegicus,5202,CHEMBL618660,,N,Intermediate,BAO_0000218,,
7539,,,50597,1,1,,,Rattus norvegicus,1088,CHEMBL618661,,N,Intermediate,BAO_0000218,,
7540,,,50597,1,1,,,Rattus norvegicus,3169,CHEMBL873807,,N,Intermediate,BAO_0000218,,
7541,,,50597,1,1,,,Rattus norvegicus,5353,CHEMBL618662,,N,Intermediate,BAO_0000218,,
7542,,,50597,1,1,,,Rattus norvegicus,2864,CHEMBL618663,,N,Intermediate,BAO_0000218,,
7543,,,50597,1,1,,,Rattus norvegicus,2864,CHEMBL618664,,N,Intermediate,BAO_0000218,,
7544,,,50597,1,1,,,Rattus norvegicus,2864,CHEMBL618665,,N,Intermediate,BAO_0000218,,
7545,,,50597,1,1,,,Rattus norvegicus,6362,CHEMBL876498,,N,Intermediate,BAO_0000218,,
7546,,,50597,1,1,,,Rattus norvegicus,6249,CHEMBL618666,,N,Intermediate,BAO_0000218,,
7547,,,50597,1,1,,,Rattus norvegicus,3169,CHEMBL620440,,N,Intermediate,BAO_0000218,,
7548,,,50597,1,1,,,Rattus norvegicus,3169,CHEMBL620441,,N,Intermediate,BAO_0000218,,
7549,,,50597,1,1,,,Rattus norvegicus,3169,CHEMBL620442,,N,Intermediate,BAO_0000218,,
7550,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL620443,,N,Intermediate,BAO_0000218,,
7551,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL620444,,N,Intermediate,BAO_0000218,,
7552,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL620445,,N,Intermediate,BAO_0000218,,
7553,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL620446,,N,Intermediate,BAO_0000218,,
7554,,,50597,1,1,,,Rattus norvegicus,2879,CHEMBL620447,,N,Intermediate,BAO_0000218,1969.0,
7555,,,50597,1,1,,,Rattus norvegicus,2879,CHEMBL621129,,N,Intermediate,BAO_0000218,1969.0,
7556,,,50597,1,1,,,Rattus norvegicus,2879,CHEMBL621130,,N,Intermediate,BAO_0000218,1969.0,
7557,,,50597,1,1,,,Rattus norvegicus,3184,CHEMBL873808,,N,Intermediate,BAO_0000218,,
7558,,,50597,1,1,,,Rattus norvegicus,4891,CHEMBL876598,,N,Intermediate,BAO_0000218,,
7559,,,50597,1,1,,,Rattus norvegicus,429,CHEMBL621131,,N,Intermediate,BAO_0000218,,
7560,,,50597,1,1,,,Rattus norvegicus,5656,CHEMBL621132,,N,Intermediate,BAO_0000218,,
7561,,,50597,1,1,,,Rattus norvegicus,4413,CHEMBL621133,,N,Intermediate,BAO_0000218,,
7562,,,50597,1,1,,,Rattus norvegicus,3598,CHEMBL621312,,N,Expert,BAO_0000218,,
7563,,,50597,1,1,,,Rattus norvegicus,17267,CHEMBL621313,,N,Intermediate,BAO_0000218,,
7564,,,50597,1,1,,,Rattus norvegicus,4727,CHEMBL621314,,N,Intermediate,BAO_0000218,178.0,
7565,,,50597,1,1,,,Rattus norvegicus,17651,CHEMBL621315,,N,Intermediate,BAO_0000218,,
7566,,,50597,1,1,,,Rattus norvegicus,17651,CHEMBL621316,,N,Intermediate,BAO_0000218,,
7567,,,50597,1,1,,,Rattus norvegicus,401,CHEMBL621317,,N,Intermediate,BAO_0000218,,
7568,,,50597,1,1,,,Rattus norvegicus,4942,CHEMBL621318,,N,Intermediate,BAO_0000218,,
7569,,,50597,1,1,,,Rattus norvegicus,17735,CHEMBL621319,,N,Intermediate,BAO_0000218,,
7570,,,50597,1,1,,,Rattus norvegicus,6056,CHEMBL621377,,N,Intermediate,BAO_0000218,,
7571,,,50597,1,1,,,Rattus norvegicus,5213,CHEMBL621378,,N,Intermediate,BAO_0000218,,
7572,,,50597,1,1,,,Rattus norvegicus,6616,CHEMBL876599,,N,Intermediate,BAO_0000218,,
7573,,,50597,1,1,,,Rattus norvegicus,5937,CHEMBL621379,,N,Intermediate,BAO_0000218,,
7574,,,50597,1,1,,,Rattus norvegicus,5819,CHEMBL621380,,N,Intermediate,BAO_0000218,1969.0,
7575,,,50597,1,1,,,Rattus norvegicus,5819,CHEMBL621381,,N,Intermediate,BAO_0000218,1969.0,
7576,,,50597,1,1,,,Rattus norvegicus,6803,CHEMBL618515,,N,Intermediate,BAO_0000218,,
7577,,,50597,1,1,,,Rattus norvegicus,17804,CHEMBL618516,,N,Intermediate,BAO_0000218,,
7578,,,50597,1,1,,,Rattus norvegicus,17804,CHEMBL618517,,N,Intermediate,BAO_0000218,,
7579,,,50597,1,1,,,Rattus norvegicus,5948,CHEMBL618518,,N,Intermediate,BAO_0000218,,
7580,,,50597,1,1,,,Rattus norvegicus,1916,CHEMBL618519,,N,Intermediate,BAO_0000218,,
7581,,,50597,1,1,,,Rattus norvegicus,1916,CHEMBL618698,,N,Intermediate,BAO_0000218,,
7582,,,50597,1,1,,,Rattus norvegicus,1916,CHEMBL618862,,N,Intermediate,BAO_0000218,,
7583,,,50597,1,1,,,Rattus norvegicus,4890,CHEMBL618863,,N,Intermediate,BAO_0000218,,
7584,,,50597,1,1,,,Rattus norvegicus,17764,CHEMBL618864,,N,Intermediate,BAO_0000218,,
7585,,,50597,1,1,,,Rattus norvegicus,4727,CHEMBL618865,,N,Intermediate,BAO_0000218,,
7586,,,50597,1,1,,,Rattus norvegicus,17509,CHEMBL618866,,N,Intermediate,BAO_0000218,,
7587,,,50597,1,1,,,Rattus norvegicus,17509,CHEMBL618867,,N,Intermediate,BAO_0000218,,
7588,,,50597,1,1,,,Rattus norvegicus,6597,CHEMBL875828,,N,Intermediate,BAO_0000218,,
7589,,,50597,1,1,,,Rattus norvegicus,17735,CHEMBL618868,,N,Intermediate,BAO_0000218,,
7590,,,50597,1,1,,,Rattus norvegicus,6597,CHEMBL618869,,N,Intermediate,BAO_0000218,,
7591,,,50597,1,1,,,Rattus norvegicus,17670,CHEMBL618870,,N,Intermediate,BAO_0000218,,
7592,,,50597,1,1,,,Rattus norvegicus,1696,CHEMBL618871,,N,Intermediate,BAO_0000218,1969.0,
7593,,,50597,1,1,,,Rattus norvegicus,1742,CHEMBL618872,,N,Intermediate,BAO_0000218,1969.0,
7594,,,50597,1,1,,,Rattus norvegicus,17800,CHEMBL873816,,N,Intermediate,BAO_0000218,,
7595,,,22224,0,1,,,,12923,CHEMBL618873,,U,Autocuration,BAO_0000218,,
7596,,,22224,0,1,,,,11954,CHEMBL621602,,U,Autocuration,BAO_0000019,,
7597,,,22224,0,1,,,,11954,CHEMBL621603,,U,Autocuration,BAO_0000218,,
7598,,,22224,0,1,,,,11954,CHEMBL621604,,U,Autocuration,BAO_0000218,,
7599,,,22224,0,1,,,,11954,CHEMBL621605,,U,Autocuration,BAO_0000218,,
7600,,,22224,0,1,,,,11954,CHEMBL621606,,U,Autocuration,BAO_0000218,,
7601,,,22224,0,1,,,,11954,CHEMBL621607,,U,Autocuration,BAO_0000218,,
7602,,,22224,0,1,,,,11954,CHEMBL621608,,U,Autocuration,BAO_0000218,,
7603,,,22224,0,1,,,,5237,CHEMBL621609,,U,Autocuration,BAO_0000019,,
7604,,,22224,0,1,,,,4026,CHEMBL621610,,U,Autocuration,BAO_0000218,,
7605,,,50597,1,1,,,Rattus norvegicus,5237,CHEMBL621611,,N,Intermediate,BAO_0000218,,
7606,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL621612,,N,Intermediate,BAO_0000218,,
7607,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622308,,N,Intermediate,BAO_0000218,,
7608,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622309,,N,Intermediate,BAO_0000218,,
7609,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622310,,N,Intermediate,BAO_0000218,,
7610,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622311,,N,Intermediate,BAO_0000218,,
7611,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622312,,N,Intermediate,BAO_0000218,,
7612,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622931,,N,Intermediate,BAO_0000218,,
7613,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622932,,N,Intermediate,BAO_0000218,,
7614,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622736,,N,Intermediate,BAO_0000218,1969.0,
