Fiscal year,Participatory development and good governance,Branch ID,Branch name,CountryRegion ID,Continent name,Organisation sub-class,Section ID,Fund centre name,Regional program (marker),Organisation class,PBA type,Bilateral aid (international marker),Sector name,Climate change adaptation (marker),Project number,Status,Maximum CIDA contribution (project-level),Division ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2009/2010,0,B4100,OGM Asia Pacific,BD,Asia,CONSULTANT,S4122,Bangladesh,0,Individual,Not PBA,1,Democratic participation and civil society,0,A017716001,Closed,8500267.65,D4100,OAD Asia Programming,Bangladesh Section,4122,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4100,OGM Asia Pacific,BD,Asia,CONSULTANT,S4122,Bangladesh,0,Individual,Not PBA,1,Informal/semi-formal financial intermediaries,0,A017716001,Closed,8500267.65,D4100,OAD Asia Programming,Bangladesh Section,4122,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4100,OGM Asia Pacific,BD,Asia,CONSULTANT,S4122,Bangladesh,0,Individual,Not PBA,1,Privatization,0,A017716001,Closed,8500267.65,D4100,OAD Asia Programming,Bangladesh Section,4122,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B3100,"EGM Europe, Middle East and Maghreb",PS,Asia,FEDERAL,S4264,West Bank Gaza,0,Governmental,Not PBA,1,Sectors not specified,0,A018652001,Closed,500458.33,D3100,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,4265,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ML,Africa,FEDERAL,S4215,Mali,0,Governmental,Not PBA,1,Employment policy and administrative management,0,A018893001,Closed,14410076.46,D4207,WWD West & Central Africa,Mali Program Section,4216,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ML,Africa,FEDERAL,S4215,Mali,0,Governmental,Not PBA,1,Construction policy and administrative management,0,A018893001,Closed,14410076.46,D4207,WWD West & Central Africa,Mali Program Section,4216,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ML,Africa,FEDERAL,S4215,Mali,0,Governmental,Not PBA,1,Urban development and management,0,A018893001,Closed,14410076.46,D4207,WWD West & Central Africa,Mali Program Section,4216,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PK,Asia,FEDERAL,S4141,Pakistan,0,Governmental,Not PBA,1,Public sector policy and administrative management,0,A019043001,Closed,13743220.56,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PK,Asia,FEDERAL,S4141,Pakistan,0,Governmental,Not PBA,1,Public finance management,0,A019043001,Closed,13743220.56,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PK,Asia,FEDERAL,S4141,Pakistan,0,Governmental,Not PBA,1,Social/welfare services,0,A019043001,Closed,13743220.56,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
