assays_assay_id,assays_src_id,assays_relationship_type,assays_assay_test_type,assays_assay_tax_id,assays_src_assay_id,assays_curated_by,assays_chembl_id,assays_doc_id,assays_assay_organism,assays_variant_id,assays_assay_subcellular_fraction,assays_tid,assays_confidence_score,assays_cell_id,assays_bao_format,assays_tissue_id
7524,1,N,In vivo,10116.0,,Intermediate,CHEMBL618647,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2113.0
7525,1,N,In vivo,10116.0,,Intermediate,CHEMBL618648,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2113.0
7526,1,N,In vivo,10116.0,,Intermediate,CHEMBL618649,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2113.0
7527,1,N,In vivo,10116.0,,Intermediate,CHEMBL618650,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2107.0
7528,1,N,In vivo,10116.0,,Intermediate,CHEMBL618651,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2107.0
7529,1,N,In vivo,10116.0,,Intermediate,CHEMBL876497,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2107.0
7530,1,N,In vivo,10116.0,,Intermediate,CHEMBL618652,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2048.0
7531,1,N,In vivo,10116.0,,Intermediate,CHEMBL618653,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2048.0
7532,1,N,In vivo,10116.0,,Intermediate,CHEMBL618654,9866,Rattus norvegicus,,,50597,1,,BAO_0000218,2048.0
7533,1,N,,10116.0,,Intermediate,CHEMBL618655,6351,Rattus norvegicus,,,50597,1,,BAO_0000218,
7534,1,N,,10116.0,,Intermediate,CHEMBL618656,1465,Rattus norvegicus,,,50597,1,,BAO_0000218,
7535,1,U,,,,Intermediate,CHEMBL618657,5182,,,,22229,0,,BAO_0000100,
7536,1,N,,10116.0,,Intermediate,CHEMBL618658,17847,Rattus norvegicus,,,50597,1,,BAO_0000218,
7537,1,N,,10116.0,,Intermediate,CHEMBL618659,15339,Rattus norvegicus,,,50597,1,,BAO_0000218,
7538,1,N,,10116.0,,Intermediate,CHEMBL618660,5202,Rattus norvegicus,,,50597,1,,BAO_0000218,
7539,1,N,,10116.0,,Intermediate,CHEMBL618661,1088,Rattus norvegicus,,,50597,1,,BAO_0000218,
7540,1,N,,10116.0,,Intermediate,CHEMBL873807,3169,Rattus norvegicus,,,50597,1,,BAO_0000218,
7541,1,N,,10116.0,,Intermediate,CHEMBL618662,5353,Rattus norvegicus,,,50597,1,,BAO_0000218,
7542,1,N,In vivo,10116.0,,Intermediate,CHEMBL618663,2864,Rattus norvegicus,,,50597,1,,BAO_0000218,
7543,1,N,In vivo,10116.0,,Intermediate,CHEMBL618664,2864,Rattus norvegicus,,,50597,1,,BAO_0000218,
7544,1,N,In vivo,10116.0,,Intermediate,CHEMBL618665,2864,Rattus norvegicus,,,50597,1,,BAO_0000218,
7545,1,N,,10116.0,,Intermediate,CHEMBL876498,6362,Rattus norvegicus,,,50597,1,,BAO_0000218,
7546,1,N,,10116.0,,Intermediate,CHEMBL618666,6249,Rattus norvegicus,,,50597,1,,BAO_0000218,
7547,1,N,,10116.0,,Intermediate,CHEMBL620440,3169,Rattus norvegicus,,,50597,1,,BAO_0000218,
7548,1,N,,10116.0,,Intermediate,CHEMBL620441,3169,Rattus norvegicus,,,50597,1,,BAO_0000218,
7549,1,N,,10116.0,,Intermediate,CHEMBL620442,3169,Rattus norvegicus,,,50597,1,,BAO_0000218,
7550,1,N,In vivo,10116.0,,Intermediate,CHEMBL620443,17260,Rattus norvegicus,,,50597,1,,BAO_0000218,
7551,1,N,In vivo,10116.0,,Intermediate,CHEMBL620444,17260,Rattus norvegicus,,,50597,1,,BAO_0000218,
7552,1,N,In vivo,10116.0,,Intermediate,CHEMBL620445,17260,Rattus norvegicus,,,50597,1,,BAO_0000218,
7553,1,N,In vivo,10116.0,,Intermediate,CHEMBL620446,17260,Rattus norvegicus,,,50597,1,,BAO_0000218,
7554,1,N,,10116.0,,Intermediate,CHEMBL620447,2879,Rattus norvegicus,,,50597,1,,BAO_0000218,1969.0
7555,1,N,,10116.0,,Intermediate,CHEMBL621129,2879,Rattus norvegicus,,,50597,1,,BAO_0000218,1969.0
7556,1,N,,10116.0,,Intermediate,CHEMBL621130,2879,Rattus norvegicus,,,50597,1,,BAO_0000218,1969.0
7557,1,N,In vivo,10116.0,,Intermediate,CHEMBL873808,3184,Rattus norvegicus,,,50597,1,,BAO_0000218,
