Fiscal year,Fund centre name,Biodiversity (marker),CountryRegion ID,Organisation type,Organisation name,Desertification (marker),Sector name,CountryRegion percent,CountryRegion name,Fund centre ID,CFLI (marker),Youth issues (marker),Organisation class,Urban issues (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Bangladesh,0,BD,Canadian Profit Making,Information not available,0,Democratic participation and civil society,1.0,Bangladesh,4122,0,0,Individual,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,Information not available,0,Informal/semi-formal financial intermediaries,1.0,Bangladesh,4122,0,0,Individual,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,Information not available,0,Privatization,1.0,Bangladesh,4122,0,0,Individual,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,8500267.65,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,West Bank Gaza,0,PS,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Sectors not specified,1.0,West Bank Gaza,4265,0,0,Governmental,0,A018652001,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,0,ML,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Employment policy and administrative management,1.0,Mali,4216,0,0,Governmental,1,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,0,ML,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Construction policy and administrative management,1.0,Mali,4216,0,0,Governmental,1,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,0,ML,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Urban development and management,1.0,Mali,4216,0,0,Governmental,1,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,14410076.46,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,1.0,Pakistan,4124,0,0,Governmental,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public finance management,1.0,Pakistan,4124,0,0,Governmental,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Social/welfare services,1.0,Pakistan,4124,0,0,Governmental,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,13743220.56,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
