Fiscal year,Climate change mitigation (marker),Disability issues (marker),Division name,Status,Biodiversity (marker),Programming process (new),FSTC percent,CountryRegion ID,Participatory development and good governance,IRTC percent,Section name,Division ID,Project Browser country ID,Organisation name,Project number,Maximum CIDA contribution (project-level),Branch ID,Branch name,Section ID,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Trade development (marker),Urban issues (marker)
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,BD,0,0.0,Bangladesh Section,D4100,BD,Information not available,A017716001,8500267.65,B4100,OGM Asia Pacific,S4122,0,4122,Bangladesh,8500267.65,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,BD,0,0.0,Bangladesh Section,D4100,BD,Information not available,A017716001,8500267.65,B4100,OGM Asia Pacific,S4122,0,4122,Bangladesh,8500267.65,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,BD,0,0.0,Bangladesh Section,D4100,BD,Information not available,A017716001,8500267.65,B4100,OGM Asia Pacific,S4122,0,4122,Bangladesh,8500267.65,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,0.0,PS,0,0.0,West Bank Gaza & Palestinian Refugees,D3100,PS,Department of Foreign Affairs and International Trade,A018652001,500458.33,B3100,"EGM Europe, Middle East and Maghreb",S4264,0,4265,West Bank Gaza,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,1,0.0,Mali Program Section,D4207,ML,Department of Foreign Affairs and International Trade,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,14410076.46,0,Responsive,1,Not PBA,0,0,0,0,1
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,1,0.0,Mali Program Section,D4207,ML,Department of Foreign Affairs and International Trade,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,14410076.46,0,Responsive,1,Not PBA,0,0,0,0,1
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,1,0.0,Mali Program Section,D4207,ML,Department of Foreign Affairs and International Trade,A018893001,14410076.46,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,14410076.46,0,Responsive,1,Not PBA,0,0,0,0,1
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PK,1,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,PK,Department of Foreign Affairs and International Trade,A019043001,13743220.56,B4100,OGM Asia Pacific,S4141,0,4124,Pakistan,13743220.56,0,Responsive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PK,1,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,PK,Department of Foreign Affairs and International Trade,A019043001,13743220.56,B4100,OGM Asia Pacific,S4141,0,4124,Pakistan,13743220.56,0,Responsive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PK,1,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,PK,Department of Foreign Affairs and International Trade,A019043001,13743220.56,B4100,OGM Asia Pacific,S4141,0,4124,Pakistan,13743220.56,0,Responsive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,JM,0,0.0,Caricom - Adm,D4400,JM,DEVPAR FINANCIAL CONSULTING LTD,A019362001,3441416.83,B4400,NGM Americas,S4429,0,4439,Caribbean Regional - Jamaica,3441416.83,0,Responsive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,JM,0,0.0,Caricom - Adm,D4400,JM,MM LYNCH CONSULTANTS INTERNATIONAL,A019362001,3441416.83,B4400,NGM Americas,S4429,0,4439,Caribbean Regional - Jamaica,3441416.83,0,Responsive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,1.0,EG,1,0.0,Middle East and North Africa,D3100,EG,Cowater International Inc.,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4263,Egypt,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,EDD Europe-Middle East Programming,Closed,0,Uncoded: Pre-APP,0.998334353,DZ,0,0.0,Middle East and North Africa,D3100,DZ,Department of Foreign Affairs and International Trade,A020161001,328400.96,B3100,"EGM Europe, Middle East and Maghreb",S4256,0,4259,*Algeria,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,HT,1,0.0,Ha�ti & Dominican Republic Section,D4400,HT,Department of Foreign Affairs and International Trade,A020195001,4610501.0,B4400,NGM Americas,S4449,0,4452,Haiti,4000000.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,HT,1,0.0,Ha�ti & Dominican Republic Section,D4400,HT,Department of Foreign Affairs and International Trade,A020195001,4610501.0,B4400,NGM Americas,S4449,0,4452,Haiti,4000000.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,ET,1,0.0,"Ethiopia, PanAfrica, SubRegional",D4270,ET,Parliamentary Centre,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,S4227,0,4229,Ethiopia,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,ET,1,0.0,"Ethiopia, PanAfrica, SubRegional",D4270,ET,Parliamentary Centre,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,S4227,0,4229,Ethiopia,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,ET,1,0.0,"Ethiopia, PanAfrica, SubRegional",D4270,ET,Parliamentary Centre,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,S4227,0,4229,Ethiopia,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,ET,1,0.0,"Ethiopia, PanAfrica, SubRegional",D4270,ET,Parliamentary Centre,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,S4227,0,4229,Ethiopia,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,ET,1,0.0,"Ethiopia, PanAfrica, SubRegional",D4270,ET,Parliamentary Centre,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,S4227,0,4229,Ethiopia,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Terminating,0,Uncoded: Pre-APP,1.0,SN,0,0.0,Senegal Program,D4207,SN,Thompson Consultant Inc.,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,S4233,0,4238,Senegal,4518387.69,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Terminating,0,Uncoded: Pre-APP,1.0,SN,0,0.0,Senegal Program,D4207,SN,Information not available,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,S4233,0,4238,Senegal,4518387.69,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Terminating,0,Uncoded: Pre-APP,1.0,SN,0,0.0,Senegal Program,D4207,SN,Thompson Consultant Inc.,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,S4233,0,4238,Senegal,4518387.69,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Terminating,0,Uncoded: Pre-APP,1.0,SN,0,0.0,Senegal Program,D4207,SN,Information not available,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,S4233,0,4238,Senegal,4518387.69,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,GY,0,0.0,Caricom - Adm,D4400,GY,CRC Sogema Inc.,A020252001,7850039.11,B4400,NGM Americas,S4429,0,4438,Caribbean Regional - Guyana,7850039.11,0,Directive,1,Not PBA,0,0,0,0,0
