ss_d,tss_d,crtd_b,ss_tss,td,dscrptn,chmbl_d,rltnshp_tp,cnfdnc_scr,cll_d,ss_cll_tp,ss_strn,ss_sbclllr_frctn,src_d,src_ss_d,b_frmt,vrnt_d
1,,Autocuration,,12052,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,CHEMBL615117,H,8,,,,,1,,BAO_0000019,
2,,Autocuration,,22226,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,CHEMBL615118,U,0,,,,,1,,BAO_0000219,
3,,Autocuration,,22226,,CHEMBL615119,U,0,,,,,1,,BAO_0000019,
4,,Autocuration,,104729,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,CHEMBL615120,H,4,,,,,1,,BAO_0000249,
5,,Intermediate,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615121,N,1,163.0,143B,,,1,,BAO_0000219,
6,,Intermediate,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615122,N,1,163.0,143B,,,1,,BAO_0000219,
7,,Intermediate,,80001,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,CHEMBL615123,N,1,163.0,143B,,,1,,BAO_0000219,
8,,Expert,,80001,In vitro cell cytotoxicity was determined against 143B cell line,CHEMBL615124,N,1,163.0,143B,,,1,,BAO_0000219,
9,,Intermediate,,80001,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,CHEMBL615125,N,1,163.0,143B,,,1,,BAO_0000219,
10,,Intermediate,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615126,N,1,163.0,143B,,,1,,BAO_0000219,
11,,Intermediate,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615127,N,1,163.0,143B,,,1,,BAO_0000219,
12,,Expert,,80001,In vitro cell cytotoxicity was determined against 143B-LTK cell line,CHEMBL615128,N,1,163.0,143B,,,1,,BAO_0000219,
13,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL857900,N,1,,,,,1,,BAO_0000218,
14,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615129,N,1,,,,,1,,BAO_0000218,
