attore_id,film_id
111,489
66,342
75,445
45,895
129,367
56,417
89,970
180,869
45,503
194,940
63,134
191,830
93,453
169,849
110,513
14,258
67,945
113,969
47,734
146,33
52,376
153,480
132,82
182,695
193,80
23,125
49,195
107,392
16,267
168,959
172,639
28,790
25,688
123,151
22,775
72,144
93,120
73,936
191,993
122,300
190,87
81,579
42,867
107,859
172,423
70,92
130,764
105,12
22,483
198,588
185,560
169,505
56,298
59,702
180,847
198,997
125,568
159,680
23,997
65,125
102,605
39,587
133,385
184,615
179,250
75,170
171,761
52,584
192,475
34,794
190,705
64,280
19,152
56,63
40,938
76,870
58,316
16,121
51,678
140,135
14,241
82,242
187,98
75,541
76,122
197,258
114,237
42,798
62,100
79,267
22,111
44,944
4,23
65,46
12,17
13,456
32,401
98,607
65,276
76,765
115,531
90,330
66,951
16,456
53,109
30,945
19,473
15,553
82,870
17,873
191,819
32,84
164,23
29,172
72,956
17,957
92,686
43,410
33,775
71,773
169,954
17,603
95,903
146,945
17,948
75,347
27,805
128,26
84,566
122,961
91,829
115,955
9,903
106,659
103,735
42,24
58,477
187,441
136,414
163,409
3,336
119,49
185,518
138,508
189,512
169,398
139,691
25,564
155,584
125,62
89,254
67,601
143,560
11,597
79,262
23,226
74,203
11,896
108,350
104,39
108,744
41,657
145,527
137,263
20,1
72,969
57,767
4,490
97,312
13,816
147,298
92,838
147,251
106,439
33,135
78,457
187,779
123,926
26,225
183,715
85,475
186,482
179,769
140,77
110,343
159,364
181,921
179,489
51,891
54,84
119,521
181,420
112,231
193,689
55,603
185,694
134,588
49,558
74,872
176,13
28,502
97,358
126,85
136,649
167,107
59,772
123,442
40,887
161,281
110,126
52,341
84,975
50,924
20,531
173,162
166,38
12,593
165,947
197,164
39,456
170,322
73,379
120,682
64,124
44,699
58,68
156,198
49,927
10,191
187,417
144,127
181,83
159,342
72,743
103,903
126,469
59,5
109,700
187,168
187,906
158,121
84,317
41,784
176,521
92,94
49,391
34,502
187,379
5,172
116,956
52,878
117,316
3,827
25,21
191,971
42,527
198,125
188,223
97,656
36,387
57,340
138,8
15,502
102,606
40,747
20,445
95,329
99,250
139,892
105,686
122,227
29,79
130,416
69,914
141,787
5,375
50,504
92,90
110,62
144,785
5,571
10,703
184,661
19,490
196,64
181,539
150,892
181,991
117,178
64,506
149,193
61,518
8,263
73,823
180,12
28,263
187,548
193,119
147,708
40,723
58,549
115,966
185,965
90,858
145,120
65,735
181,152
78,239
87,870
162,164
139,233
58,856
145,402
43,161
188,593
39,222
5,535
146,320
169,778
162,121
193,103
120,715
65,117
108,302
139,529
17,515
47,787
161,714
158,601
115,245
19,673
177,188
33,878
20,366
173,857
96,40
19,428
182,590
117,459
91,190
23,414
172,100
102,845
150,953
66,725
61,433
151,232
197,189
186,729
97,256
142,186
144,18
90,676
130,43
151,665
123,892
107,220
136,933
142,139
144,123
62,42
166,68
175,890
88,170
2,47
189,272
93,856
110,539
91,181
144,79
192,361
53,126
83,217
68,386
78,260
125,623
120,424
158,532
155,459
182,639
139,261
40,34
168,685
101,655
163,719
83,279
121,771
137,249
176,89
117,797
53,9
112,606
82,527
64,980
78,265
133,286
134,219
109,48
79,430
109,786
167,191
192,674
65,39
60,665
153,476
192,819
129,520
19,771
101,289
11,364
155,312
16,218
56,457
76,187
81,613
99,414
73,627
180,628
157,967
22,430
17,313
20,492
21,798
103,199
50,918
70,654
15,500
45,901
112,988
98,710
82,480
95,47
45,66
65,158
7,900
49,151
150,94
134,624
195,130
33,306
73,565
189,266
87,250
196,122
193,807
17,124
184,959
106,108
125,664
36,390
167,628
10,964
163,996
123,148
106,189
25,411
132,904
120,144
4,721
40,177
34,720
189,492
65,347
172,487
165,833
62,719
118,399
143,792
37,853
183,390
66,697
127,333
87,421
116,105
131,479
16,438
50,957
177,827
43,330
46,538
113,723
172,302
150,270
184,492
100,872
137,410
29,928
79,646
144,260
155,997
107,292
89,47
88,819
185,95
92,618
123,245
33,737
