pagamento_id,cliente_id,ppersonale_id,ammontare,data_pagamento,noleggio_id,data_noleggio,inventario_id,data_restituzione,npersonale_id
13852,514,1,4.99,2005-08-18 05:41:39,12302,2005-08-18 05:41:39,765,2005-08-22 06:02:39,1
9053,335,1,7.99,2005-07-12 09:05:50,6624,2005-07-12 09:05:50,3946,2005-07-18 13:59:50,2
9803,362,1,11.99,2005-08-21 23:28:58,14759,2005-08-21 23:28:58,3871,2005-08-31 00:35:58,2
3304,122,1,1.99,2005-08-01 15:32:41,10626,2005-08-01 15:32:41,1042,2005-08-05 18:08:41,1
13257,491,2,2.99,2005-08-20 06:08:42,13607,2005-08-20 06:08:42,2692,2005-08-21 01:59:42,2
4771,176,1,8.99,2005-06-18 00:48:31,2181,2005-06-18 00:48:31,3481,2005-06-25 06:43:31,2
10796,399,2,5.99,2005-07-29 08:11:31,8461,2005-07-29 08:11:31,3373,2005-08-06 09:23:31,1
15109,564,2,4.99,2005-07-29 07:07:48,8426,2005-07-29 07:07:48,1840,2005-08-07 08:56:48,2
1103,40,2,2.99,2005-07-10 13:38:41,5777,2005-07-10 13:38:41,3959,2005-07-17 15:48:41,2
7783,287,2,2.99,2005-08-19 02:30:24,12861,2005-08-19 02:30:24,3115,2005-08-22 08:23:24,1
8525,314,2,6.99,2005-07-30 17:14:30,9318,2005-07-30 17:14:30,2426,2005-08-06 16:53:30,1
4518,167,1,4.99,2005-05-30 12:16:40,927,2005-05-30 12:16:40,1158,2005-05-31 16:20:40,2
167,6,1,0.99,2005-08-17 13:39:32,11853,2005-08-17 13:39:32,3888,2005-08-23 18:44:32,2
12487,462,2,2.99,2005-07-29 19:19:10,8757,2005-07-29 19:19:10,3473,2005-08-02 13:47:10,2
15035,561,1,4.99,2005-07-12 19:14:05,6843,2005-07-12 19:14:05,746,2005-07-20 23:15:05,1
7572,279,2,2.99,2005-08-19 05:20:25,12935,2005-08-19 05:20:25,193,2005-08-21 03:10:25,2
4860,178,1,4.99,2005-08-22 20:22:40,15323,2005-08-22 20:22:40,1153,2005-08-26 00:35:40,1
9382,347,2,4.99,2005-07-28 20:55:49,8153,2005-07-28 20:55:49,2173,2005-08-01 15:56:49,2
983,35,2,4.99,2005-08-21 22:25:09,14735,2005-08-21 22:25:09,950,2005-08-23 21:16:09,1
15219,568,2,0.99,2005-07-28 22:23:49,8185,2005-07-28 22:23:49,2452,2005-07-31 00:07:49,1
10308,381,2,2.99,2005-05-27 13:46:46,406,2005-05-27 13:46:46,2136,2005-05-30 12:43:46,1
10458,386,2,4.99,2005-07-12 13:32:28,6715,2005-07-12 13:32:28,643,2005-07-15 17:01:28,2
3767,139,2,5.99,2005-07-28 06:42:02,7767,2005-07-28 06:42:02,329,2005-08-05 11:19:02,2
3230,120,1,5.99,2005-07-07 00:07:00,4001,2005-07-07 00:07:00,864,2005-07-13 21:27:00,2
3480,129,1,0.99,2005-07-08 06:52:40,4602,2005-07-08 06:52:40,3616,2005-07-10 06:30:40,1
12882,476,2,5.99,2005-08-18 20:59:51,12709,2005-08-18 20:59:51,3878,2005-08-26 01:21:51,2
15533,579,2,0.99,2006-02-14 15:16:03,15794,2006-02-14 15:16:03,3917,,2
990,36,1,0.99,2005-07-09 20:07:09,5403,2005-07-09 20:07:09,3991,2005-07-12 18:33:09,1
1952,72,2,5.99,2005-07-30 21:05:18,9420,2005-07-30 21:05:18,147,2005-08-05 23:52:18,2
12907,478,1,0.99,2005-06-16 14:08:44,1708,2005-06-16 14:08:44,2259,2005-06-19 08:35:44,1
2344,86,2,4.99,2005-07-30 19:11:49,9376,2005-07-30 19:11:49,451,2005-08-04 18:14:49,1
5165,190,2,4.99,2005-08-02 14:28:46,11276,2005-08-02 14:28:46,4226,2005-08-04 14:00:46,1
12362,458,1,0.99,2005-07-10 03:49:00,5572,2005-07-10 03:49:00,2709,2005-07-14 01:25:00,1
968,35,1,4.99,2005-07-11 22:44:34,6401,2005-07-11 22:44:34,1427,2005-07-12 22:18:34,2
15787,589,1,6.99,2005-08-21 05:51:28,14254,2005-08-21 05:51:28,1549,2005-08-29 06:05:28,2
