attore_id,nome,cognome
146,ALBERT,JOHANSSON
74,MILLA,KEITEL
133,RICHARD,PENN
23,SANDRA,KILMER
5,JOHNNY,LOLLOBRIGIDA
136,ED,MANSFIELD
14,VIVIEN,BERGEN
160,CHRIS,DEPP
71,ADAM,GRANT
20,LUCILLE,TRACY
178,LISA,MONROE
84,JAMES,PITT
37,VAL,BOLGER
65,ANGELA,HUDSON
40,JOHNNY,CAGE
7,GRACE,MOSTEL
189,CUBA,BIRCH
64,RAY,JOHANSSON
171,OLYMPIA,PFEIFFER
94,KENNETH,TORN
96,GENE,WILLIS
97,MEG,HAWKE
27,JULIA,MCQUEEN
120,PENELOPE,MONROE
126,FRANCES,TOMEI
66,MARY,TANDY
117,RENEE,TRACY
54,PENELOPE,PINKETT
135,RITA,REYNOLDS
199,JULIA,FAWCETT
125,ALBERT,NOLTE
63,CAMERON,WRAY
17,HELEN,VOIGHT
43,KIRK,JOVOVICH
16,FRED,COSTNER
152,BEN,HARRIS
87,SPENCER,PECK
127,KEVIN,GARLAND
62,JAYNE,NEESON
140,WHOOPI,HURT
1,PENELOPE,GUINESS
6,BETTE,NICHOLSON
83,BEN,WILLIS
134,GENE,HOPKINS
92,KIRSTEN,AKROYD
18,DAN,TORN
98,CHRIS,BRIDGES
131,JANE,JACKMAN
15,CUBA,OLIVIER
52,CARMEN,HUNT
3,ED,CHASE
12,KARL,BERRY
45,REESE,KILMER
168,WILL,WILSON
169,KENNETH,HOFFMAN
195,JAYNE,SILVERSTONE
188,ROCK,DUKAKIS
182,DEBBIE,AKROYD
46,PARKER,GOLDBERG
61,CHRISTIAN,NEESON
78,GROUCHO,SINATRA
179,ED,GUINESS
103,MATTHEW,LEIGH
181,MATTHEW,CARREY
186,JULIA,ZELLWEGER
10,CHRISTIAN,GABLE
32,TIM,HACKMAN
44,NICK,STALLONE
77,CARY,MCCONAUGHEY
162,OPRAH,KILMER
34,AUDREY,OLIVIER
158,VIVIEN,BASINGER
93,ELLEN,PRESLEY
143,RIVER,DEAN
53,MENA,TEMPLE
35,JUDY,DEAN
72,SEAN,WILLIAMS
138,LUCILLE,DEE
67,JESSICA,BAILEY
119,WARREN,JACKMAN
185,MICHAEL,BOLGER
123,JULIANNE,DENCH
31,SISSY,SOBIESKI
107,GINA,DEGENERES
121,LIZA,BERGMAN
81,SCARLETT,DAMON
56,DAN,HARRIS
106,GROUCHO,DUNST
57,JUDE,CRUISE
11,ZERO,CAGE
180,JEFF,SILVERSTONE
197,REESE,WEST
187,RENEE,BALL
115,HARRISON,BALE
33,MILLA,PECK
42,TOM,MIRANDA
141,CATE,HARRIS
192,JOHN,SUVARI
89,CHARLIZE,DENCH
183,RUSSELL,CLOSE
