città_id,città,stato_id,stato
62,Bayugan,75,Philippines
376,Okayama,50,Japan
479,Simferopol,100,Ukraine
398,Parbhani,44,India
160,Erlangen,38,Germany
543,Toulon,34,France
552,Ueda,50,Japan
163,Eskisehir,97,Turkey
131,Cuernavaca,60,Mexico
428,Rancagua,22,Chile
334,Merlo,6,Argentina
56,Basel,91,Switzerland
346,Munger (Monghyr),44,India
508,Sunnyvale,103,United States
181,Gijón,87,Spain
586,Yerevan,7,Armenia
510,Syktyvkar,80,Russian Federation
97,Bydgoszcz,76,Poland
592,Zalantun,23,China
141,Deba Habe,69,Nigeria
518,Taizz,107,Yemen
189,Guarujá,15,Brazil
184,Gorontalo,45,Indonesia
205,Hiroshima,50,Japan
142,Denizli,97,Turkey
542,Touliu,92,Taiwan
322,Manchester,103,United States
460,Santiago de los Caballeros,27,Dominican Republic
260,Kanazawa,50,Japan
561,Valencia,104,Venezuela
68,Beni-Mellal,62,Morocco
399,Pathankot,44,India
253,Kakamigahara,50,Japan
72,Bern,91,Switzerland
452,San Juan Bautista Tuxtepec,60,Mexico
589,York,102,United Kingdom
279,Kowloon and New Kowloon,42,Hong Kong
147,Dos Quebradas,24,Colombia
401,Patras,39,Greece
367,Niznekamsk,80,Russian Federation
587,Yinchuan,23,China
81,Birgunj,66,Nepal
132,Cumaná,104,Venezuela
343,Moscow,80,Russian Federation
233,Jalib al-Shuyukh,53,Kuwait
456,Santa Bárbara d´Oeste,15,Brazil
168,Fengshan,92,Taiwan
109,Changzhou,23,China
208,Hoshiarpur,44,India
373,Ocumare del Tuy,104,Venezuela
27,Antofagasta,22,Chile
83,Blumenau,15,Brazil
10,Akishima,50,Japan
48,Baku,10,Azerbaijan
494,Southampton,102,United Kingdom
404,Peoria,103,United States
462,Sanya,23,China
285,Kurgan,80,Russian Federation
143,Dhaka,12,Bangladesh
396,Pangkal Pinang,45,Indonesia
197,Halisahar,44,India
33,Arlington,103,United States
60,Battambang,18,Cambodia
170,Florencia,24,Colombia
191,Gulbarga,44,India
353,Nador,62,Morocco
51,Balurghat,44,India
77,Bhusawal,44,India
272,Kitwe,109,Zambia
488,Sokoto,69,Nigeria
1,A Coruña (La Coruña),87,Spain
465,Sawhaj,29,Egypt
92,Brest,34,France
500,Stockport,102,United Kingdom
405,Pereira,24,Colombia
551,Udine,49,Italy
295,Laredo,103,United States
516,Tafuna,3,American Samoa
70,Bergamo,49,Italy
64,Beira,63,Mozambique
417,Pune,44,India
519,Talavera,75,Philippines
576,Woodridge,8,Australia
502,Suihua,23,China
262,Kansas City,103,United States
158,Emmen,67,Netherlands
298,Lengshuijiang,23,China
35,Ashgabat,98,Turkmenistan
114,Chiayi,92,Taiwan
450,San Felipe de Puerto Plata,27,Dominican Republic
256,Kamakura,50,Japan
411,Ponce,77,Puerto Rico
380,Omiya,50,Japan
348,Mwene-Ditu,25,"Congo, The Democratic Republic of the"
155,El Monte,103,United States
203,Higashiosaka,50,Japan
484,Smolensk,80,Russian Federation
13,al-Hawiya,82,Saudi Arabia
100,Cam Ranh,105,Vietnam
80,Binzhou,23,China
9,Ahmadnagar,44,India
514,Tabriz,46,Iran
21,Alvorada,15,Brazil
577,Wroclaw,76,Poland
445,Salamanca,60,Mexico
175,Fuzhou,23,China
93,Brindisi,49,Italy
558,Usolje-Sibirskoje,80,Russian Federation
375,Okara,72,Pakistan
536,Tiefa,23,China
355,Nagareyama,50,Japan
331,Matsue,50,Japan
28,Aparecida de Goiânia,15,Brazil
236,Jastrzebie-Zdrój,76,Poland
570,Vilnius,56,Lithuania
24,Amroha,44,India
110,Chapra,44,India
539,Tonghae,86,South Korea
429,Ranchi,44,India
153,El Alto,14,Bolivia
209,Hsichuh,92,Taiwan
46,Baicheng,23,China
556,Uruapan,60,Mexico
271,Kisumu,52,Kenya
234,Jamalpur,12,Bangladesh
550,Udaipur,44,India
102,Caracas,104,Venezuela
472,Shikarpur,72,Pakistan
459,Santiago de Compostela,87,Spain
54,Banjul,37,Gambia
418,Purnea (Purnia),44,India
86,Botosani,78,Romania
302,Liaocheng,23,China
345,Mukatševe,100,Ukraine
225,Ivanovo,80,Russian Federation
124,Coacalco de Berriozábal,60,Mexico
87,Botshabelo,85,South Africa
319,Mahajanga,57,Madagascar
383,Oshawa,20,Canada
296,Lausanne,91,Switzerland
254,Kaliningrad,80,Russian Federation
281,Kütahya,97,Turkey
336,Miraj,44,India
457,Santa Fé,6,Argentina
19,Allende,60,Mexico
478,Siliguri (Shiliguri),44,India
360,Namibe,4,Angola
172,Fukuyama,50,Japan
400,Patiala,44,India
190,Águas Lindas de Goiás,15,Brazil
117,Cianjur,45,Indonesia
476,Shubra al-Khayma,29,Egypt
588,Yingkou,23,China
246,José Azueta,60,Mexico
371,Nuuk,40,Greenland
335,Mexicali,60,Mexico
69,Benin City,69,Nigeria
490,Sorocaba,15,Brazil
447,Salzburg,9,Austria
264,Katihar,44,India
600,Ziguinchor,83,Senegal
434,Ríobamba,28,Ecuador
303,Liepaja,54,Latvia
426,Rajkot,44,India
259,Kamyšin,80,Russian Federation
239,Jhansi,44,India
485,São Bernardo do Campo,15,Brazil
301,Lhokseumawe,45,Indonesia
596,Zaria,69,Nigeria
