pagamento_id,cliente_id,personale_id,noleggio_id,ammontare,data_pagamento
1773,65,2,4635,3.99,2005-07-08 08:42:40
14779,550,2,11757,2.99,2006-02-14 15:16:03
2800,104,1,163,10.99,2005-05-26 02:26:23
10767,397,1,14790,6.99,2005-08-22 00:34:17
14856,554,1,3312,6.99,2005-06-21 08:05:32
8855,328,2,2243,5.99,2005-06-18 04:33:03
8309,306,2,9242,4.99,2005-07-30 14:03:58
9220,341,2,3130,7.99,2005-06-20 19:03:22
11550,427,1,10464,5.99,2005-08-01 09:43:14
11531,426,2,14151,6.99,2005-08-21 02:23:25
767,28,2,9544,2.99,2005-07-31 01:44:51
3724,138,1,2731,7.99,2005-06-19 15:14:55
7941,293,2,9123,2.99,2005-07-30 09:39:15
9184,340,2,1205,4.99,2005-06-15 02:25:56
12332,457,2,1727,0.99,2005-06-16 15:21:47
15672,585,1,4684,9.99,2005-07-08 10:41:06
10526,388,2,14853,5.99,2005-08-22 02:26:33
4249,156,1,9409,6.99,2005-07-30 20:33:53
7387,273,2,9693,3.99,2005-07-31 07:11:50
4179,153,2,15444,7.99,2005-08-23 00:46:52
993,36,1,7647,0.99,2005-07-28 01:35:17
12294,455,2,7905,5.99,2005-07-28 11:26:57
12302,455,1,14294,2.99,2005-08-21 07:07:26
7404,274,2,301,2.99,2005-05-26 21:06:14
10256,379,1,6235,7.99,2005-07-11 14:17:51
1966,72,2,13660,4.99,2005-08-20 08:05:56
1068,39,1,1625,5.99,2005-06-16 07:49:08
11043,408,1,7053,4.99,2005-07-27 03:38:54
6864,254,1,12247,2.99,2005-08-18 03:51:51
5874,216,2,14638,2.99,2005-08-21 19:01:36
411,15,2,14569,0.99,2005-08-21 16:31:22
13738,510,2,2806,0.99,2005-06-19 19:30:48
14649,545,2,9810,2.99,2005-07-31 11:22:41
15735,588,1,576,2.99,2005-05-28 10:56:10
15286,570,2,14768,3.99,2005-08-21 23:44:53
1957,72,1,11630,2.99,2005-08-17 04:27:46
2420,89,2,5144,7.99,2005-07-09 08:09:53
2064,76,2,1487,0.99,2005-06-15 21:27:42
7560,279,1,4476,4.99,2005-07-08 00:34:25
1315,48,2,1689,9.99,2005-06-16 12:18:41
447,17,2,287,2.99,2005-05-26 19:44:54
10348,382,2,3125,4.99,2005-06-20 18:31:58
14171,526,2,11702,4.99,2005-08-17 07:18:56
101,4,2,12294,8.99,2005-08-18 05:14:44
6023,222,2,14350,2.99,2005-08-21 08:58:38
9875,365,2,10717,2.99,2005-08-01 18:53:53
2239,82,1,13032,0.99,2005-08-19 08:31:50
6997,259,1,10510,3.99,2005-08-01 11:28:30
11910,441,2,13739,4.99,2005-08-20 10:45:10
1217,44,2,5909,4.99,2005-07-10 20:46:13
7400,273,2,15372,2.99,2005-08-22 21:59:51
3857,143,1,221,2.99,2005-05-26 10:14:09
7796,288,1,4692,2.99,2005-07-08 11:07:06
13033,482,1,15391,0.99,2005-08-22 23:01:45
10005,370,1,7226,6.99,2005-07-27 09:47:53
5041,185,1,12885,0.99,2005-08-19 03:37:25
2108,77,1,12065,6.99,2005-08-17 21:31:46
2060,75,1,14488,0.0,2006-02-14 15:16:03
3466,128,2,14157,0.99,2005-08-21 02:43:15
11752,436,1,5959,0.99,2005-07-10 23:35:36
9524,352,1,9463,0.99,2005-07-30 22:30:57
6524,241,1,11423,1.99,2005-08-02 19:57:13
13974,519,1,6599,3.99,2005-07-12 07:41:14
245,9,1,10451,0.99,2005-08-01 09:11:25
13463,500,1,389,8.99,2005-05-27 10:45:41
15754,588,2,9326,2.99,2005-07-30 17:30:03
14851,554,1,607,2.99,2005-05-28 15:02:41
1353,49,1,10814,2.99,2005-08-01 22:43:12
13621,505,2,13612,3.99,2005-08-20 06:22:08
8912,330,1,2936,4.99,2005-06-20 05:09:27
5214,192,2,14238,7.99,2005-08-21 05:16:40
7865,290,1,10901,2.99,2005-08-02 01:35:44
2337,86,2,5295,0.99,2005-07-09 15:25:06
5697,210,1,4620,5.99,2005-07-08 08:01:44
2314,85,2,7906,0.99,2005-07-28 11:31:42
6108,226,1,15986,2.99,2005-08-23 20:20:37
3275,121,2,14412,9.99,2005-08-21 11:02:09
11553,427,1,13720,1.99,2005-08-20 10:01:39
