film_id,categoria_id,nome_categoria
980,12,Music
285,14,Sci-Fi
530,1,Action
991,1,Action
628,15,Sports
437,8,Family
917,15,Sports
511,1,Action
785,16,Travel
17,12,Music
839,14,Sci-Fi
854,11,Horror
531,9,Foreign
457,6,Documentary
101,6,Documentary
567,9,Foreign
651,2,Animation
640,9,Foreign
697,1,Action
578,4,Classics
403,7,Drama
263,15,Sports
269,8,Family
576,6,Documentary
172,7,Drama
308,5,Comedy
78,2,Animation
117,10,Games
311,9,Foreign
83,8,Family
334,11,Horror
602,14,Sci-Fi
246,9,Foreign
782,15,Sports
724,8,Family
18,2,Animation
339,16,Travel
124,3,Children
274,6,Documentary
791,6,Documentary
699,10,Games
1000,5,Comedy
66,3,Children
360,1,Action
411,12,Music
192,9,Foreign
449,14,Sci-Fi
79,7,Drama
951,4,Classics
995,11,Horror
560,10,Games
190,4,Classics
999,3,Children
135,15,Sports
532,15,Sports
497,6,Documentary
214,3,Children
845,9,Foreign
504,7,Drama
490,13,New
992,6,Documentary
456,2,Animation
659,1,Action
315,8,Family
957,9,Foreign
523,4,Classics
63,8,Family
634,8,Family
420,15,Sports
918,3,Children
990,11,Horror
757,6,Documentary
505,3,Children
104,9,Foreign
40,6,Documentary
933,13,New
321,13,New
429,15,Sports
924,14,Sci-Fi
778,8,Family
688,3,Children
612,15,Sports
76,12,Music
637,14,Sci-Fi
491,3,Children
477,12,Music
143,7,Drama
733,15,Sports
935,13,New
414,9,Foreign
727,8,Family
328,3,Children
389,15,Sports
358,4,Classics
259,2,Animation
920,13,New
86,12,Music
804,11,Horror
225,7,Drama
975,8,Family
119,5,Comedy
195,14,Sci-Fi
835,10,Games
865,2,Animation
262,8,Family
796,15,Sports
5,8,Family
485,3,Children
217,10,Games
26,14,Sci-Fi
711,14,Sci-Fi
87,16,Travel
509,3,Children
89,2,Animation
526,16,Travel
248,6,Documentary
202,5,Comedy
954,13,New
258,11,Horror
19,1,Action
821,9,Foreign
82,8,Family
193,2,Animation
571,6,Documentary
713,6,Documentary
178,5,Comedy
750,13,New
160,2,Animation
363,12,Music
23,2,Animation
396,7,Drama
665,11,Horror
